SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Intermediate Zone (2022)",
"Crookfur West and Greenlaw West",135,0,0,0,0,132,0,0,0,0,0,127,0,0,0,0,207,0,0,0,0,0,144,257,125,0,0,83,29,8,0,21,32,22,6,0,35,15,2,2,0,0,1,2,21,0,2,2,6,4,267,393,280,318,165,
"Mearns Village, Westacres and Greenfarm",297,0,0,0,0,347,0,0,0,0,0,170,0,0,0,0,308,0,0,0,0,0,149,314,134,0,0,143,51,16,0,50,51,24,4,0,85,16,5,0,0,4,6,6,35,0,13,6,6,4,643,627,373,402,190,
"Whitecraigs and Broom North",229,0,0,0,0,72,0,0,0,0,0,292,0,0,0,0,208,0,0,0,0,0,88,213,94,0,0,88,51,12,0,8,23,1,4,0,21,3,0,0,0,1,2,6,21,0,3,4,5,3,305,538,208,279,134,
"Kirkhill South and Broom South",338,0,0,0,0,138,0,0,0,0,0,281,0,0,0,0,183,0,0,0,0,0,107,225,95,0,0,81,42,3,0,15,34,8,0,0,34,12,1,0,0,1,0,5,18,0,5,8,7,2,481,529,241,287,121,
"Mearnskirk and Maidenhill",140,0,0,0,0,149,0,0,0,0,0,130,0,0,0,0,204,0,0,0,0,0,170,335,134,0,0,72,32,16,0,34,36,12,3,0,24,10,3,0,0,4,0,9,27,0,3,6,7,4,289,400,291,392,180,
"Eaglesham and Waterfoot",339,0,0,0,0,284,0,0,0,0,0,276,0,0,0,0,316,0,0,0,0,0,146,284,113,0,0,115,34,8,0,55,47,5,2,0,60,11,1,0,0,0,2,6,16,0,10,5,4,1,623,719,329,334,140,
"Kirkhill North",218,0,0,0,0,193,0,0,0,0,0,167,0,0,0,0,167,0,0,0,0,0,113,231,74,0,0,67,26,3,0,29,26,12,2,0,34,6,1,1,0,1,3,2,6,0,4,1,0,1,411,401,216,268,87,
"Busby",324,0,0,0,0,286,0,0,0,0,0,124,0,0,0,0,184,0,0,0,0,0,107,174,88,0,0,49,30,4,0,53,47,13,6,0,77,15,0,0,0,3,2,4,4,0,8,1,4,2,610,446,222,225,104,
"Clarkston and Sheddens",321,0,0,0,0,194,0,0,0,0,0,300,0,0,0,0,293,0,0,0,0,0,170,414,124,0,0,167,78,6,0,35,39,12,3,0,60,13,0,0,0,1,6,4,21,0,3,8,4,3,515,692,403,515,158,
"Williamwood",142,0,0,0,0,60,0,0,0,0,0,141,0,0,0,0,171,0,0,0,0,0,117,244,67,0,0,72,29,5,0,20,24,3,1,0,23,15,0,0,0,0,0,2,7,0,8,3,2,0,205,361,231,280,82,
"Stamperland",202,0,0,0,0,149,0,0,0,0,0,158,0,0,0,0,263,0,0,0,0,0,106,217,54,0,0,102,33,6,0,42,22,6,5,0,55,8,4,0,0,0,0,6,6,0,8,0,2,0,354,523,243,265,69,
"Netherlee",426,0,0,0,0,108,0,0,0,0,0,297,0,0,0,0,218,0,0,0,0,0,108,323,90,0,0,121,43,6,0,18,12,2,0,0,37,12,0,0,0,0,1,5,7,0,6,0,3,3,534,580,259,377,108,
"Merrylee and Braidbar",409,0,0,0,0,144,0,0,0,0,0,309,0,0,0,0,255,0,0,0,0,0,127,246,113,0,0,109,57,5,0,18,13,3,5,0,69,7,3,0,0,1,3,11,30,0,7,9,2,4,553,653,266,321,155,
"Lower Whitecraigs and Giffnock South",199,0,0,0,0,42,0,0,0,0,0,225,0,0,0,0,197,0,0,0,0,0,74,186,101,0,0,107,33,6,0,6,11,4,1,0,26,5,1,0,0,0,0,9,14,0,0,6,5,3,241,450,204,234,127,
"Giffnock North and Thornliebank North",537,0,0,0,0,283,0,0,0,0,0,157,0,0,0,0,202,0,0,0,0,0,86,133,65,0,0,74,32,4,0,23,24,5,3,0,54,6,1,0,0,4,2,1,20,0,12,7,4,6,820,450,199,173,95,
"Thornliebank South and Woodfarm",234,0,0,0,0,310,0,0,0,0,0,133,0,0,0,0,201,0,0,0,0,0,94,200,113,0,0,72,33,14,0,37,40,15,8,0,79,18,1,0,0,3,0,10,23,0,15,5,8,6,544,466,232,267,167,
"Dunipace",210,0,0,0,0,372,0,0,0,0,0,137,0,0,0,0,259,0,0,0,0,0,94,112,55,0,0,78,16,9,0,54,49,11,4,0,57,10,0,0,0,2,8,6,16,0,18,5,8,4,580,527,246,151,81,
"Fankerton, Stoneywood and Denny Town",266,0,0,0,0,430,0,0,0,0,0,169,0,0,0,0,495,0,0,0,0,0,183,227,66,0,0,107,39,8,0,57,53,19,9,0,71,10,1,0,0,2,8,10,19,0,12,17,11,4,695,811,378,307,103,
"Denny - Nethermains",272,0,0,0,0,342,0,0,0,0,0,207,0,0,0,0,253,0,0,0,0,0,100,126,64,0,0,100,27,0,0,58,59,27,5,0,91,16,2,0,0,2,6,11,10,0,19,16,4,1,610,630,299,200,86,
"Head of Muir and Dennyloanhead",153,0,0,0,0,147,0,0,0,0,0,137,0,0,0,0,257,0,0,0,0,0,76,124,46,0,0,105,35,5,0,23,17,8,2,0,27,13,3,0,0,0,3,7,9,0,8,7,2,2,300,452,218,178,62,
"Banknock, Haggs and Longcroft",181,0,0,0,0,303,0,0,0,0,0,170,0,0,0,0,294,0,0,0,0,0,88,133,67,0,0,104,34,2,0,42,38,17,7,0,83,19,0,0,0,3,5,7,7,0,15,12,9,2,486,607,266,198,81,
"Bonnybridge",298,0,0,0,0,395,0,0,0,0,0,189,0,0,0,0,398,0,0,0,0,0,122,157,57,0,0,139,42,7,0,56,67,28,10,0,98,14,0,0,0,5,5,14,8,0,26,9,3,3,693,777,353,244,85,
"High Bonnybridge and Greenhill",136,0,0,0,0,245,0,0,0,0,0,112,0,0,0,0,297,0,0,0,0,0,128,195,57,0,0,71,37,3,0,40,44,13,2,0,54,12,0,0,0,2,5,4,7,0,14,12,4,1,380,518,272,247,70,
"Larbert - Inches",76,0,0,0,0,329,0,0,0,0,0,72,0,0,0,0,431,0,0,0,0,0,289,499,100,0,0,94,46,4,0,53,65,8,0,0,35,12,1,0,0,1,4,9,15,0,9,4,4,5,405,605,468,567,131,
"Larbert - North Broomage",176,0,0,0,0,229,0,0,0,0,0,132,0,0,0,0,240,0,0,0,0,0,78,124,50,0,0,74,16,3,0,49,31,5,3,0,40,8,0,0,0,4,3,4,13,0,7,5,6,6,406,472,197,154,73,
"Larbert - South Broomage and Village",223,0,0,0,0,252,0,0,0,0,0,213,0,0,0,0,328,0,0,0,0,0,115,205,60,0,0,97,30,4,0,31,22,3,0,0,43,7,1,0,0,1,3,6,5,0,7,4,5,5,475,619,247,250,70,
"Stenhousemuir West",247,0,0,0,0,291,0,0,0,0,0,95,0,0,0,0,203,0,0,0,0,0,73,87,49,0,0,91,24,5,0,50,68,23,5,0,71,16,0,0,0,1,11,10,15,0,20,11,5,0,541,440,270,148,75,
"Stenhousemuir East",234,0,0,0,0,274,0,0,0,0,0,166,0,0,0,0,300,0,0,0,0,0,79,118,35,0,0,84,20,4,0,56,36,12,4,0,62,18,0,0,0,1,2,4,7,0,10,3,3,0,509,594,219,164,50,
"Stenhousemuir - Antonshill",244,0,0,0,0,199,0,0,0,0,0,223,0,0,0,0,332,0,0,0,0,0,89,121,35,0,0,89,16,4,0,24,19,5,0,0,32,3,0,0,0,2,3,4,9,0,4,8,3,0,441,616,212,152,48,
"Carron",140,0,0,0,0,236,0,0,0,0,0,146,1,0,0,0,255,0,0,0,0,0,73,75,19,0,0,72,13,5,0,35,13,6,2,0,29,2,0,0,0,2,2,5,16,0,5,2,3,5,376,471,167,105,46,
"Carronshore",116,0,0,0,0,204,0,0,0,0,0,77,0,0,0,0,209,0,0,0,0,0,89,92,34,0,0,72,22,2,0,27,38,20,4,0,39,15,0,0,0,5,3,4,13,0,18,7,3,2,324,369,221,140,53,
"Carse and Grangemouth Old Town",141,0,0,0,0,191,0,0,0,0,0,124,0,0,0,0,248,0,0,0,0,0,73,95,37,0,0,57,20,2,0,31,24,8,2,0,36,6,1,2,0,1,2,4,6,0,6,8,4,0,330,445,169,136,51,
"Falkirk - Bainsford and Langlees",239,0,0,0,0,519,0,0,0,0,0,77,0,0,0,0,237,0,0,0,0,0,83,90,48,0,0,78,12,4,0,94,61,17,3,0,94,14,0,0,0,7,3,12,6,0,29,8,4,5,758,538,247,138,63,
"Falkirk - Merchiston and New Carron Village",165,0,0,0,0,446,0,0,0,0,0,111,0,0,0,0,441,0,0,0,0,0,150,194,71,0,0,86,29,0,0,47,27,8,5,0,51,13,1,0,0,1,3,4,13,0,19,4,11,0,611,670,287,250,89,
"Falkirk - Grahamston",273,0,0,0,0,826,0,0,0,0,0,81,0,0,0,0,309,0,0,0,0,0,75,91,34,0,0,49,11,0,0,50,28,4,5,0,52,5,1,0,0,3,4,4,7,0,26,15,1,0,1099,521,177,114,46,
"Falkirk - Westfield",112,0,0,0,0,204,0,0,0,0,0,58,0,0,0,0,135,0,0,0,0,0,56,69,42,0,0,53,14,1,0,25,42,17,8,0,55,16,1,0,0,4,6,5,12,0,16,7,1,1,320,286,180,109,63,
"Falkirk - Middlefield",160,0,0,0,0,358,0,0,0,0,0,74,0,0,0,0,247,0,0,0,0,0,66,75,22,0,0,43,16,0,0,34,22,2,0,0,49,10,3,0,0,2,3,7,6,0,11,8,1,1,518,419,150,103,29,
"Falkirk - Town Centre and Callendar Park",703,0,0,0,0,594,0,0,0,0,0,237,0,0,0,0,290,0,0,0,0,0,53,86,18,0,0,35,6,0,0,22,13,9,2,0,52,5,0,0,0,0,1,0,0,0,21,7,1,1,1297,622,114,101,21,
"Falkirk - Bantaskin",263,0,0,0,0,271,0,0,0,0,0,165,0,0,0,0,307,0,0,0,0,0,104,129,37,0,0,74,17,5,0,49,32,4,3,0,56,15,1,0,0,5,2,8,6,0,13,9,7,3,534,596,239,167,52,
"Falkirk - Camelon East",234,0,0,0,0,618,0,0,0,0,0,74,0,0,0,0,231,0,0,0,0,0,61,53,26,0,0,46,7,1,0,51,36,10,5,0,64,10,0,0,0,3,4,10,4,0,27,11,3,0,852,446,170,75,36,
"Falkirk - Camelon West",148,0,0,0,0,267,0,0,0,0,0,65,0,0,0,0,211,0,0,0,0,0,67,84,39,0,0,58,19,1,0,54,42,16,6,0,59,19,1,0,0,4,3,5,12,0,17,10,0,1,415,408,199,125,60,
"Falkirk - Tamfourhill",271,0,0,0,0,347,0,0,0,0,0,118,0,0,0,0,191,0,0,0,0,0,56,86,21,0,0,79,12,0,0,27,23,8,4,0,61,6,0,0,0,2,3,3,4,0,17,12,3,1,621,416,179,112,30,
"Falkirk - Lochgreen and Lionthorn",150,0,0,0,0,145,0,0,0,0,0,193,0,0,0,0,359,0,0,0,0,0,142,216,44,0,0,106,30,4,0,17,21,3,2,0,28,3,0,0,0,0,2,5,10,0,8,5,4,1,293,601,276,256,62,
"Hallglen and Glen Village",166,0,0,0,0,317,0,0,0,0,0,104,0,0,0,0,222,0,0,0,0,0,66,88,57,0,0,67,27,1,0,75,57,25,8,0,61,15,2,0,0,0,4,15,7,0,24,10,6,0,483,483,220,159,76,
"Shieldhill",117,0,0,0,0,152,0,0,0,0,0,99,0,0,0,0,235,0,0,0,0,0,52,95,27,0,0,63,21,4,0,17,15,19,1,0,40,9,0,0,0,0,2,5,15,0,2,8,1,2,269,396,149,145,49,
"Braes Villages",271,0,0,0,0,312,0,0,0,0,0,151,0,0,0,0,396,0,0,0,0,0,113,167,89,0,0,114,39,6,0,53,53,29,8,0,87,10,5,0,0,2,6,12,22,0,23,15,13,4,583,714,311,265,126,
"Reddingmuirhead and Overton",98,0,0,0,0,213,0,0,0,0,0,102,0,0,0,0,405,0,0,0,0,0,231,369,90,0,0,74,36,2,0,37,28,8,2,0,32,4,0,0,0,0,7,4,15,0,0,7,6,2,311,576,357,423,109,
"Brightons and Wallacestone",215,0,0,0,0,236,0,0,0,0,0,202,0,0,0,0,326,0,0,0,0,0,126,206,56,0,0,111,23,1,0,31,30,10,4,0,53,19,0,0,0,1,2,7,13,0,5,8,2,0,451,621,294,248,76,
"Maddiston and Rumford",225,0,0,0,0,265,0,0,0,0,0,187,0,0,0,0,366,0,0,0,0,0,182,276,84,0,0,101,36,6,0,46,73,16,10,0,74,9,3,0,0,4,4,3,22,0,10,10,11,1,490,685,379,347,122,
"Polmont",319,0,0,0,0,355,0,0,0,0,0,296,0,0,0,0,428,0,0,0,0,0,98,130,20,0,0,98,32,0,0,29,16,1,4,0,47,3,0,0,0,0,5,5,8,0,20,14,5,0,674,821,231,173,31,
"Redding",213,0,0,0,0,190,0,0,0,0,0,148,0,0,0,0,240,0,0,0,0,0,79,120,36,0,0,68,22,5,0,37,35,3,0,0,58,13,1,0,0,3,1,7,8,0,2,6,5,1,402,491,204,157,48,
"Laurieston and Westquarter",234,0,0,0,0,370,0,0,0,0,0,149,0,0,0,0,232,0,0,0,0,0,88,83,38,0,0,86,25,0,0,37,32,12,3,0,56,8,0,0,0,2,4,6,13,0,16,10,4,1,604,495,229,133,57,
"Grangemouth - Newlands",376,0,0,0,0,594,0,0,0,0,0,169,0,0,0,0,399,0,0,0,0,0,139,133,42,0,0,105,32,1,0,81,63,21,6,0,119,17,0,0,0,1,5,6,2,0,22,9,3,1,966,793,341,195,52,
"Grangemouth - Town Centre",351,0,0,0,0,581,0,0,0,0,0,173,0,0,0,0,359,0,0,0,0,0,79,98,37,0,0,69,20,1,0,38,29,6,3,0,54,5,0,0,0,0,4,5,7,0,12,7,2,2,929,637,197,132,49,
"Grangemouth - Kersiebank",306,0,0,0,0,517,0,0,0,0,0,157,0,0,0,0,323,0,0,0,0,0,118,128,47,0,0,107,31,2,0,86,46,21,5,0,74,13,1,0,0,1,7,9,10,0,30,11,6,2,823,667,299,201,66,
"Grangemouth - Bowhouse",307,0,0,0,0,529,0,0,0,0,0,143,0,0,0,0,229,0,0,0,0,0,74,122,46,0,0,92,14,1,0,75,54,19,3,0,77,6,9,0,0,3,3,6,5,0,15,6,3,2,836,539,235,172,56,
"Bo'ness - Kinneil",268,0,0,0,0,296,0,0,0,0,0,261,0,0,0,0,346,0,0,0,0,0,121,171,49,0,0,134,37,2,0,50,53,14,3,0,67,11,0,0,0,2,5,7,9,0,12,6,6,3,564,736,330,236,64,
"Bo'ness - Newtown",213,0,0,0,0,270,0,0,0,0,0,158,0,0,0,0,263,0,0,0,0,0,121,152,62,0,0,87,18,1,0,37,35,16,3,0,44,14,0,0,0,1,4,9,4,0,7,5,1,3,483,510,266,196,72,
"Bo'ness - town centre",232,0,0,0,0,480,0,0,0,0,0,127,0,0,0,0,247,0,0,0,0,0,78,80,41,0,0,47,9,0,0,56,28,9,7,0,59,14,0,0,0,1,7,7,6,0,12,5,8,0,712,502,179,113,56,
"Blackness, Bo'ness - Carriden and Grahamsdyke",315,0,0,0,0,482,0,0,0,0,0,215,0,0,0,0,418,0,0,0,0,0,135,201,61,0,0,101,28,4,0,73,50,11,3,0,70,9,0,0,0,5,2,9,3,0,17,17,8,1,797,797,310,257,71,
"Kincardine",228,0,0,0,0,310,0,0,0,0,0,190,0,0,0,0,312,0,0,0,0,0,71,103,27,0,0,73,14,1,0,35,28,14,0,0,50,9,1,0,0,0,5,5,3,0,14,15,6,1,538,603,203,142,32,
"Comrie and Oakley",165,0,0,0,0,256,0,0,0,0,0,102,0,0,0,0,241,0,0,0,0,0,67,106,52,0,0,71,17,3,0,40,47,23,0,0,59,10,0,0,0,0,9,8,14,0,13,8,5,3,421,456,215,159,74,
"Blairhall Saline and Carnock",237,0,0,0,0,236,0,0,0,0,0,226,0,0,0,0,380,0,0,0,0,0,120,168,63,0,0,100,27,3,0,60,45,16,4,0,56,11,1,0,0,1,6,6,9,0,18,11,6,2,475,737,293,224,78,
"Valleyfield Culross and Torryburn",229,0,0,0,0,372,0,0,0,0,0,167,0,0,0,0,349,0,0,0,0,0,106,134,46,0,0,75,24,0,0,47,49,14,9,0,57,12,0,0,0,8,5,7,12,0,14,12,4,1,604,644,260,185,66,
"Cairneyhill and Crombie",188,0,0,0,0,199,0,0,0,0,0,153,0,0,0,0,236,0,0,0,0,0,95,111,42,0,0,84,29,2,0,33,32,4,0,0,44,9,0,0,0,1,4,6,6,0,8,4,9,1,387,476,226,159,52,
"Crossford Charlestown and Limekilns",339,0,0,0,0,207,0,0,0,0,0,359,0,0,0,0,361,0,0,0,0,0,102,164,49,0,0,71,31,1,0,24,24,3,1,0,54,4,0,0,0,1,0,5,11,0,10,10,8,4,547,809,212,215,67,
"Dunfermline Milesmark and Wellwood",199,0,0,0,0,274,0,0,0,0,0,206,0,0,0,0,421,0,0,0,0,0,147,166,55,0,0,106,31,2,0,37,35,7,1,0,47,9,1,0,0,1,4,12,17,0,13,5,6,0,477,722,307,219,78,
"Dunfermline Baldridgeburn",373,0,0,0,0,772,0,0,0,0,0,87,0,0,0,0,298,0,0,0,0,0,81,97,27,0,0,55,5,2,0,81,41,9,3,0,57,11,1,0,0,3,8,5,2,0,38,15,5,1,1145,566,208,122,35,
"Dunfermline Headwell",280,0,0,0,0,707,0,0,0,0,0,166,0,0,0,0,358,0,0,0,0,0,105,123,59,0,0,90,36,1,0,59,44,20,5,0,84,25,2,0,0,3,2,14,8,0,34,13,7,2,991,704,279,203,78,
"Dunfermline Central",242,0,0,0,0,646,0,0,0,0,0,125,0,0,0,0,358,0,0,0,0,0,73,74,33,0,0,50,15,1,0,24,19,5,0,0,36,5,0,0,0,0,5,7,6,0,37,9,4,0,886,580,161,105,40,
"Dunfermline Brucefield",189,0,0,0,0,376,0,0,0,0,0,113,0,0,0,0,221,0,0,0,0,0,81,97,55,0,0,75,19,2,0,29,33,17,8,0,64,16,1,0,0,3,7,13,16,0,22,10,10,1,565,453,219,157,84,
"Dunfermline Garvock Hill",208,0,0,0,0,127,0,0,0,0,0,200,0,0,0,0,276,0,0,0,0,0,76,133,38,0,0,94,29,2,0,15,16,3,2,0,33,7,0,0,0,1,0,2,8,0,10,9,4,2,335,535,202,173,49,
"Townhill and Kingseat",195,0,0,0,0,200,0,0,0,0,0,167,0,0,0,0,242,0,0,0,0,0,64,103,14,0,0,66,4,2,0,34,21,10,2,0,34,6,1,0,0,3,2,4,8,0,12,11,0,1,395,496,167,121,27,
"Dunfermline Bellyeoman",267,0,0,0,0,193,0,0,0,0,0,226,0,0,0,0,272,0,0,0,0,0,75,110,39,0,0,67,17,1,0,35,24,8,2,0,38,7,0,0,0,0,1,2,8,0,9,7,4,1,460,577,184,141,51,
"Dunfermline Duloch North",33,0,0,0,0,244,0,0,0,0,0,35,0,0,0,0,235,0,0,0,0,0,141,211,89,0,0,48,12,0,0,40,31,14,4,0,33,7,1,0,0,0,5,8,15,0,8,6,3,1,276,347,238,248,109,
"Dunfermline Halbeath and Lynebank",99,0,0,0,0,197,0,0,0,0,0,100,0,0,0,0,325,0,0,0,0,0,192,224,75,0,0,89,27,0,0,41,45,20,10,0,43,6,0,0,0,0,3,13,21,0,7,6,2,2,296,516,343,286,106,
"Dunfermline Touch and Woodmill",194,0,0,0,0,395,0,0,0,0,0,76,0,0,0,0,211,0,0,0,0,0,80,99,54,0,0,51,15,2,0,63,56,13,0,0,78,13,4,0,0,2,6,11,8,0,27,14,9,1,589,457,224,151,64,
"Dunfermline Abbeyview North",236,0,0,0,0,465,0,0,0,0,0,83,0,0,0,0,251,0,0,0,0,0,106,159,69,0,0,79,23,5,0,65,68,33,4,0,91,12,0,0,0,6,8,4,12,0,21,18,9,5,696,517,292,231,97,
"Dunfermline Abbeyview South",171,0,0,0,0,235,0,0,0,0,0,94,0,0,0,0,193,0,0,0,0,0,81,128,41,0,0,76,18,1,0,46,47,12,2,0,52,14,1,0,0,4,3,3,5,0,13,10,2,2,406,403,231,165,49,
"Dunfermline Duloch South",62,0,0,0,0,195,0,0,0,0,0,57,0,0,0,0,252,0,0,0,0,0,153,281,93,0,0,79,29,4,0,26,34,9,2,0,29,3,1,0,0,0,3,6,9,0,9,7,10,3,257,373,275,336,109,
"Dunfermline Masterton",63,0,0,0,0,234,0,0,0,0,0,55,0,0,0,0,358,0,0,0,0,0,214,318,78,0,0,60,14,1,0,41,29,15,7,0,21,4,0,0,0,1,0,1,14,0,10,2,7,2,297,486,309,355,101,
"Dunfermline Pitcorthie East",190,0,0,0,0,160,0,0,0,0,0,224,0,0,0,0,337,0,0,0,0,0,108,171,51,0,0,92,26,3,0,21,13,9,0,0,36,7,0,0,0,0,3,7,12,0,5,9,7,1,350,623,231,220,67,
"Dunfermline Pitcorthie West",188,0,0,0,0,150,0,0,0,0,0,171,0,0,0,0,245,0,0,0,0,0,58,94,21,0,0,74,19,4,0,21,5,2,1,0,35,6,0,0,0,0,8,4,8,0,5,2,5,2,339,478,153,125,39,
"Rosyth North",187,0,0,0,0,231,0,0,0,0,0,112,0,0,0,0,246,0,0,0,0,0,92,104,49,0,0,63,13,4,0,40,32,14,4,0,53,11,1,0,0,4,2,6,2,0,18,9,6,0,418,475,213,146,59,
"Rosyth East",197,0,0,0,0,272,0,0,0,0,0,116,0,0,0,0,260,0,0,0,0,0,78,112,40,0,0,90,28,1,0,49,30,11,1,0,69,10,1,0,0,2,5,7,11,0,21,11,1,4,469,517,220,159,57,
"Rosyth Central",291,0,0,0,0,412,0,0,0,0,0,127,0,0,0,0,290,0,0,0,0,0,90,99,56,0,0,93,23,3,0,75,43,13,3,0,80,12,0,0,0,3,5,7,7,0,24,9,5,1,706,603,252,144,71,
"Rosyth South",57,0,0,0,0,136,0,0,0,0,0,62,0,0,0,0,199,0,0,0,0,0,83,96,63,0,0,54,16,0,0,25,30,19,5,0,37,10,4,0,0,2,3,9,14,0,3,6,10,1,193,328,181,152,83,
"North Queensferry and Inverkeithing West",221,0,0,0,0,486,0,0,0,0,0,153,2,0,0,0,371,0,0,0,0,0,110,138,60,0,0,77,19,2,0,39,35,16,5,0,81,9,3,0,0,3,11,8,11,0,29,19,5,2,707,675,262,189,79,
"Inverkeithing East",213,0,0,0,0,292,0,0,0,0,0,115,0,0,0,0,290,0,0,0,0,0,105,100,64,0,0,77,7,5,0,44,39,17,6,0,52,8,0,0,0,2,3,6,4,0,19,10,1,1,505,522,240,131,81,
"Dalgety Bay West and Hillend",81,0,0,0,0,117,0,0,0,0,0,82,0,0,0,0,229,0,0,0,0,0,96,143,40,0,0,71,22,4,0,9,16,1,0,0,20,6,0,0,0,0,0,4,9,0,7,6,4,3,198,347,196,174,54,
"Dalgety Bay Central",366,0,0,0,0,340,0,0,0,0,0,389,0,0,0,0,379,0,0,0,0,0,85,157,48,0,0,81,30,1,0,46,7,4,0,0,43,3,1,0,0,1,4,7,8,0,13,8,5,2,710,871,197,204,59,
"Dalgety Bay East",185,0,0,0,0,101,0,0,0,0,0,197,0,0,0,0,218,0,0,0,0,0,51,97,30,0,0,67,15,4,0,26,30,3,2,0,35,8,1,0,0,1,0,6,7,0,4,5,3,1,286,481,159,125,45,
"Crossgates and South Knowe",194,0,0,0,0,227,0,0,0,0,0,140,0,0,0,0,316,0,0,0,0,0,131,125,38,0,0,63,27,3,0,27,24,8,1,0,40,7,1,0,0,0,4,4,8,0,6,7,7,3,421,530,233,166,52,
"Hill of Beath",177,0,0,0,0,303,0,0,0,0,0,111,0,0,0,0,264,0,0,0,0,0,99,106,36,0,0,85,13,0,0,54,43,21,7,0,61,11,3,0,0,2,12,13,8,0,22,16,9,3,480,514,267,166,54,
"Cowdenbeath South",229,0,0,0,0,368,0,0,0,0,0,118,0,0,0,0,234,0,0,0,0,0,73,70,32,0,0,73,10,3,0,60,36,17,5,0,60,13,1,0,0,1,6,10,22,0,16,8,8,5,600,494,209,115,64,
"Cowdenbeath North",285,0,0,0,0,406,0,0,0,0,0,190,0,0,0,0,419,0,0,0,0,0,137,220,82,0,0,99,31,5,0,52,55,8,4,0,63,10,3,0,0,0,9,15,10,0,12,11,5,2,688,736,318,282,103,
"Kelty West",130,0,0,0,0,258,0,0,0,0,0,99,0,0,0,0,185,0,0,0,0,0,64,88,54,0,0,73,19,8,0,50,44,20,5,0,47,12,4,0,0,7,6,8,7,0,11,10,6,5,389,399,206,144,77,
"Kelty East and Landward",294,0,0,0,0,413,0,0,0,0,0,161,0,0,0,0,366,0,0,0,0,0,107,157,68,0,0,68,29,3,0,54,44,7,0,0,62,7,2,0,0,3,6,7,9,0,26,6,9,3,707,674,237,208,82,
"Lochore and Crosshill",204,0,0,0,0,255,0,0,0,0,0,98,0,0,0,0,211,0,0,0,0,0,54,65,27,0,0,79,16,2,0,56,41,12,7,0,52,5,4,0,0,0,7,4,11,0,9,9,5,0,459,428,195,106,48,
"Ballingry",138,0,0,0,0,272,0,0,0,0,0,76,0,0,0,0,193,0,0,0,0,0,53,111,62,0,0,65,22,2,0,70,85,40,10,0,67,19,0,0,0,2,9,8,13,0,14,7,6,2,409,424,234,184,88,
"Cardenden",341,0,0,0,0,446,0,0,0,0,0,215,0,0,0,0,371,0,0,0,0,0,133,167,58,0,0,103,23,7,0,94,63,37,17,0,103,15,1,0,0,6,10,15,20,0,19,10,9,2,785,812,338,253,98,
"Lochgelly East",277,0,0,0,0,434,0,0,0,0,0,210,0,0,0,0,423,0,0,0,0,0,119,184,51,0,0,133,29,2,0,60,47,16,5,0,89,13,1,0,0,3,4,5,11,0,12,11,4,2,711,793,325,239,71,
"Lochgelly West and Lumphinnans",197,0,0,0,0,393,0,0,0,0,0,89,0,0,0,0,239,0,0,0,0,0,59,66,36,0,0,60,12,1,0,70,39,10,1,0,69,7,0,0,0,8,5,9,3,0,23,11,2,0,590,500,184,100,43,
"Aberdour and Auchtertool",241,0,0,0,0,290,0,0,0,0,0,184,0,0,0,0,303,0,0,0,0,0,114,133,45,0,0,62,14,3,0,24,21,8,3,0,32,5,0,1,0,0,5,6,8,0,14,10,5,2,530,558,214,166,63,
"Burntisland West",261,0,0,0,0,418,0,0,0,0,0,144,0,0,0,0,270,0,0,0,0,0,103,158,71,0,0,70,14,0,0,40,49,10,3,0,59,10,1,0,0,3,16,6,7,0,22,16,6,2,679,539,264,191,89,
"Burntisland East",208,0,0,0,0,221,0,0,0,0,0,172,0,0,0,0,234,0,0,0,0,0,71,94,16,0,0,51,12,2,0,29,28,8,3,0,41,5,0,0,0,0,5,4,7,0,11,4,2,0,429,488,164,123,27,
"Kinghorn",286,0,0,0,0,257,0,0,0,0,0,180,0,0,0,0,241,0,0,0,0,0,56,90,24,0,0,54,10,0,0,46,21,5,0,0,43,4,2,0,0,2,2,3,4,0,9,3,4,1,543,520,139,114,29,
"Kirkcaldy Linktown and Seafield",289,0,0,0,0,611,0,0,0,0,0,149,0,0,0,0,363,0,0,0,0,0,120,177,62,0,0,80,29,3,0,74,58,18,11,0,58,10,4,0,0,6,7,15,9,0,31,7,6,0,902,680,279,254,85,
