"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Intermediate Zone (2022)",
"Dowanhill",154,134,9,1,4,287,381,16,3,2,27,71,33,0,2,81,288,162,16,4,29,136,90,15,3,7,26,20,9,0,15,27,1,0,0,10,20,10,2,0,3,5,4,2,2,141,119,59,18,1,755,1206,403,63,17,
"Kelvinside and Jordanhill",195,214,9,1,2,131,325,18,2,1,20,153,55,2,1,43,187,162,15,3,24,233,304,42,9,8,39,58,23,11,14,62,4,3,1,10,38,19,2,0,1,3,9,6,3,15,28,14,3,0,460,1281,652,100,31,
"Broomhill",171,137,1,0,1,283,402,17,1,0,27,86,34,1,0,71,243,129,8,1,21,177,118,6,3,7,20,32,24,3,28,47,5,0,0,20,23,9,0,0,3,8,3,2,2,43,31,21,2,1,677,1174,372,42,11,
"Victoria Park",226,133,1,0,0,341,242,10,0,0,27,63,22,5,0,41,125,87,12,0,22,157,156,7,7,11,39,37,21,6,51,53,6,2,0,32,36,20,0,2,5,4,8,2,1,26,29,9,0,3,777,885,356,55,18,
"Scotstoun North and East",154,101,5,0,0,262,168,7,0,3,23,71,19,2,0,25,140,75,7,1,45,203,175,9,2,5,42,43,15,3,37,53,8,3,0,27,37,28,1,0,8,6,8,3,0,19,17,11,3,2,607,843,377,47,13,
"Scotstoun South and West",197,66,0,1,1,760,333,14,1,1,29,26,6,1,0,77,114,23,0,0,71,143,62,1,3,14,24,20,6,1,109,89,11,2,1,91,50,14,1,1,11,19,7,1,0,37,29,6,0,0,1396,890,167,13,7,
"Yoker South",149,64,1,0,0,567,393,11,2,1,21,34,5,1,0,82,156,72,7,0,53,109,79,18,3,16,27,29,12,6,120,99,7,0,0,64,56,11,5,0,13,25,16,2,0,35,29,11,1,3,1124,997,236,46,12,
"Yoker North",114,47,0,0,0,85,79,6,2,1,26,52,7,2,0,11,76,58,5,0,11,86,89,5,6,11,37,38,26,4,35,43,9,3,0,28,35,11,2,0,4,20,13,8,2,9,18,11,2,2,336,493,243,54,15,
"Knightswood West",137,53,3,0,1,164,136,9,0,0,19,30,2,0,0,24,79,43,2,0,23,64,50,9,3,12,16,21,24,9,38,38,6,1,0,35,46,18,2,1,0,17,7,4,0,9,12,14,3,1,455,493,173,47,15,
"Knightswood East",233,106,1,0,1,354,295,12,0,1,32,52,10,1,0,57,137,62,11,3,43,135,112,11,3,13,40,38,17,7,89,66,13,0,1,65,51,21,4,0,12,15,11,3,3,27,19,13,4,1,920,921,294,47,20,
"Knightswood Park West",238,88,0,0,1,339,210,19,1,2,26,41,5,1,0,32,101,57,5,1,21,73,56,6,4,8,17,27,9,6,65,47,7,1,0,35,45,11,1,0,3,8,4,1,0,14,19,7,6,0,783,645,199,31,15,
"Knightswood Park East",161,98,3,2,0,232,215,11,2,1,11,50,7,3,0,34,114,73,4,2,55,110,110,18,4,12,30,27,11,8,34,41,9,1,0,39,31,21,2,0,4,20,5,3,0,23,16,11,3,2,608,725,276,49,14,
"Anniesland East",173,135,4,0,0,337,406,15,4,0,18,66,19,0,0,65,179,105,12,0,36,108,83,9,1,6,20,35,18,6,25,36,3,0,0,18,33,18,5,0,4,7,9,5,2,44,46,24,3,0,724,1037,308,52,11,
"Anniesland West",300,187,5,0,0,441,620,25,3,0,27,70,6,1,0,96,294,162,7,5,53,196,117,17,4,12,45,45,15,9,52,88,11,5,0,67,79,34,4,0,8,13,13,4,0,72,83,34,8,0,1128,1675,454,65,20,
"Blairdardie East",285,100,3,0,1,445,347,14,3,0,39,62,7,0,0,65,197,100,11,1,52,175,117,9,2,22,51,56,25,6,71,121,16,1,0,69,81,26,6,0,13,20,17,4,1,25,22,15,4,2,1084,1179,372,64,12,
"Blairdardie West",100,73,1,0,0,47,82,5,0,0,16,65,22,1,0,12,108,86,7,2,13,85,121,11,8,9,35,62,21,6,9,40,6,0,0,21,36,25,1,1,4,7,15,3,3,10,12,9,1,0,241,539,350,47,25,
"Drumchapel South",88,33,0,1,0,195,96,4,3,4,13,14,0,0,0,20,48,21,0,0,43,69,40,8,0,11,13,16,5,1,98,49,9,0,2,40,34,12,0,0,9,14,3,1,1,6,6,6,0,0,526,381,114,18,8,
"Drumchapel North",126,18,3,0,0,367,144,0,0,0,9,10,2,0,0,49,56,26,0,0,59,104,51,12,0,17,35,25,11,0,136,90,3,4,0,79,49,18,1,0,21,16,9,2,0,21,6,4,1,0,879,531,140,29,0,
"Drumry East",140,27,0,1,0,328,133,3,0,0,23,15,2,0,0,34,50,22,4,0,30,88,45,6,0,9,31,20,6,2,137,117,10,0,0,76,62,18,2,0,25,23,8,3,0,11,9,7,2,1,808,555,141,21,5,
"Drumry West",120,42,2,0,0,216,133,13,0,0,11,22,1,0,0,38,81,50,2,0,33,73,90,26,1,22,32,43,17,8,103,95,12,0,0,71,46,16,4,0,12,12,8,7,5,16,13,6,2,0,638,549,236,57,12,
"Lochaber West",119,227,13,3,1,103,287,41,5,2,12,136,107,14,3,16,183,269,44,8,10,86,186,51,13,4,23,50,46,20,12,46,10,4,2,11,24,19,10,4,1,2,11,6,5,5,12,23,10,6,287,1027,723,193,57,
"Fort William North",191,143,8,0,0,121,215,22,9,1,18,117,57,7,0,27,145,154,19,1,18,147,143,29,11,6,19,48,40,17,34,102,14,1,0,20,43,28,7,1,3,8,8,9,4,5,20,12,11,0,446,954,494,134,37,
"Fort William South",218,171,16,2,1,314,392,45,9,3,20,115,38,3,0,50,184,167,17,5,32,142,156,21,11,8,35,43,40,14,70,124,21,3,1,43,40,28,7,2,5,15,14,4,5,15,31,33,12,4,775,1254,563,118,45,
"Lochaber East and North",130,237,24,2,4,95,295,47,11,3,9,129,91,13,1,11,183,268,52,13,5,84,189,49,18,2,17,41,31,24,11,46,14,1,0,8,40,23,0,1,6,7,10,9,4,6,21,28,16,6,289,1053,739,195,74,
"Badenoch and Strathspey South",96,157,13,0,1,68,207,33,3,2,18,140,63,9,1,4,113,181,50,12,6,59,134,25,7,4,10,34,26,9,6,50,6,0,1,5,25,24,6,4,2,8,7,5,1,2,14,19,9,4,208,783,512,135,44,
"Badenoch and Strathspey Central",146,207,14,3,0,125,311,38,8,2,7,128,84,13,1,15,147,235,48,10,3,91,189,33,13,3,23,51,23,13,29,77,15,4,0,11,38,30,4,1,2,7,12,0,2,5,18,23,2,7,346,1044,688,142,48,
"Badenoch and Strathspey North",111,242,17,1,0,57,218,43,12,2,13,151,114,20,2,10,126,231,52,12,9,81,166,42,22,3,14,41,41,21,10,51,3,4,3,12,21,19,3,2,0,2,14,7,7,5,13,11,9,6,225,922,655,189,80,
"Nairn Rural",55,210,17,5,1,35,244,38,4,4,7,168,126,12,3,8,164,273,79,15,9,84,271,58,21,0,14,34,50,28,10,47,21,4,0,5,22,22,2,1,3,5,13,4,5,1,17,14,6,9,135,973,828,225,86,
"Nairn East",200,160,11,0,0,176,258,24,2,4,30,96,32,4,0,35,142,118,22,3,21,62,78,17,4,4,23,45,24,7,32,62,7,0,0,29,38,17,5,1,3,9,3,6,1,9,10,17,4,3,540,857,352,83,25,
"Nairn West",170,222,12,0,0,135,197,21,6,0,18,165,83,9,5,21,140,157,24,3,13,101,122,18,9,6,30,52,43,16,18,39,9,2,0,15,37,18,5,0,1,6,6,6,2,3,12,13,5,4,400,945,494,116,39,
"Inverness East Rural",74,147,14,3,2,54,290,35,10,3,6,112,94,18,5,7,148,332,84,18,10,111,294,68,24,5,23,63,55,33,13,68,16,6,0,10,40,24,6,4,1,10,18,19,6,2,18,27,8,10,185,959,923,280,105,
"Inverness Culloden and Balloch",96,188,12,0,0,88,223,30,1,0,20,112,51,7,1,11,113,166,20,4,8,100,170,21,6,4,24,45,34,6,21,47,6,2,0,11,33,23,3,2,2,7,15,3,3,6,13,15,7,4,264,862,533,98,28,
"Inverness Smithton",87,100,8,0,0,125,251,17,5,1,10,71,30,2,1,27,115,104,17,8,10,88,81,25,4,3,21,31,22,7,26,61,8,4,0,17,24,15,2,1,1,1,1,4,2,0,7,8,4,2,314,744,303,79,26,
"Inverness Westhill",104,186,12,2,0,111,358,38,2,4,18,161,78,7,0,16,207,301,41,5,10,163,335,48,21,1,30,86,48,17,24,137,15,2,0,11,51,27,6,0,1,9,11,5,4,6,18,20,9,3,299,1316,922,171,52,
"Inverness Inshes",47,125,10,3,0,113,454,51,2,1,10,98,51,3,0,21,188,269,25,5,9,158,379,60,20,1,19,54,34,15,28,142,26,3,1,8,38,36,0,1,0,6,17,10,1,4,15,29,8,8,241,1247,925,150,55,
"Inverness Slackbuie",11,47,6,1,0,81,271,20,3,1,2,30,25,3,0,10,112,200,22,3,9,119,274,44,11,3,9,32,23,9,17,95,16,2,0,2,12,15,5,2,0,8,10,6,4,2,13,21,7,1,142,717,617,111,30,
"Inverness Lochardil and Holm Mains",140,238,13,0,0,107,364,33,2,3,13,216,100,8,0,11,207,272,44,5,12,146,296,51,14,1,29,60,52,16,31,119,18,5,0,13,31,21,8,0,0,9,13,4,0,7,16,24,7,5,334,1375,847,181,44,
"Inverness Drummond",143,112,3,0,1,130,188,19,3,4,16,81,41,8,2,25,102,124,20,5,17,90,108,13,5,8,23,38,18,6,35,80,7,1,0,26,32,25,4,0,2,6,5,5,1,7,12,10,5,1,410,723,380,74,25,
"Inverness Hilton",175,131,3,0,0,215,286,36,0,1,19,71,20,6,1,27,112,75,6,6,21,122,96,12,4,3,25,35,15,4,39,79,14,1,0,36,31,23,4,1,2,10,7,4,0,11,21,9,6,1,548,886,316,52,18,
"Inverness Drakies",53,93,10,0,2,31,111,13,1,1,6,88,22,3,0,4,80,81,9,5,3,75,88,12,1,0,19,42,20,5,2,35,10,0,0,5,23,24,2,0,0,2,8,1,2,5,1,10,4,4,109,529,306,53,21,
"Inverness Central, Raigmore and Longman",122,107,7,0,0,536,363,16,0,1,12,49,20,0,0,77,150,82,8,2,38,148,117,14,4,7,19,20,7,4,30,77,11,0,0,27,38,15,2,1,5,4,5,2,0,31,25,17,0,1,888,980,305,35,14,
"Inverness Crown and Haugh",240,179,12,0,0,202,281,15,3,1,16,155,76,4,3,28,139,117,17,5,17,111,116,8,13,4,26,41,22,10,9,34,0,0,0,18,37,23,2,0,2,6,0,5,3,11,34,25,2,4,544,994,430,61,39,
"Inverness Ballifeary and Dalneigh",261,106,3,0,2,304,261,31,5,0,9,65,13,1,1,44,122,99,13,3,33,124,73,18,2,8,46,48,18,3,78,93,13,1,1,50,50,17,0,0,4,15,10,4,0,21,31,27,6,0,814,914,337,66,11,
"Inverness Muirtown",213,128,2,1,1,454,366,27,2,4,19,71,19,0,2,61,159,108,12,5,15,82,46,14,4,5,16,32,8,3,61,59,6,0,0,31,46,18,3,0,7,12,4,1,0,27,29,23,0,4,898,971,285,42,22,
"Inverness Merkinch",153,47,0,2,0,539,183,12,4,0,13,28,2,0,0,44,91,44,5,0,46,74,41,6,0,11,26,11,3,1,129,106,18,2,0,50,38,12,3,0,12,19,13,1,2,25,22,6,0,0,1015,638,163,26,2,
"Inverness Scorguie",127,134,7,4,0,100,294,29,4,1,9,98,38,5,1,20,148,127,15,1,5,49,80,19,0,2,9,38,18,11,6,29,7,0,0,5,11,18,5,1,0,8,7,3,1,7,8,14,10,1,277,790,362,75,17,
"Inverness Kinmylies and South West",93,100,3,1,0,156,240,24,2,2,13,103,25,3,0,29,163,155,18,3,9,125,184,27,3,2,29,43,33,7,36,85,11,1,0,21,41,18,5,0,3,8,13,4,0,3,14,14,4,0,367,908,484,103,17,
"Inverness West Rural",100,132,12,0,0,76,213,28,3,0,8,115,78,10,3,9,92,168,38,14,6,61,155,27,13,0,15,46,27,11,13,59,7,2,4,11,21,17,1,7,0,4,11,7,7,0,15,12,9,4,223,725,539,125,64,
"Inverness West Strathglass",30,144,13,4,0,24,112,31,2,0,7,89,76,11,4,3,73,168,50,21,7,45,155,47,10,0,14,21,37,26,8,59,7,0,0,4,13,16,7,4,0,5,5,5,1,1,10,13,7,6,84,566,505,170,70,
"Loch Ness",96,209,19,1,0,75,246,55,10,3,13,135,91,7,4,12,171,274,68,18,1,67,151,41,16,3,16,42,41,24,9,55,15,5,0,13,32,30,3,7,2,4,13,9,6,2,17,33,13,8,225,957,721,195,84,
"Lochalsh",62,138,15,0,0,75,224,33,4,0,2,81,45,6,0,11,98,149,29,8,2,49,89,32,7,0,11,29,10,11,8,37,9,0,0,7,30,17,2,0,0,1,1,4,3,1,8,10,4,6,167,680,399,86,34,
"Skye South",89,210,23,0,2,97,271,37,6,2,11,117,80,8,3,3,120,199,30,5,9,41,129,32,10,0,7,31,22,18,4,38,18,2,0,11,24,21,6,1,0,6,2,8,5,3,13,19,11,6,229,854,559,128,52,
"Skye North East",157,172,17,1,2,164,252,38,2,1,15,81,48,5,1,22,95,145,24,4,8,89,110,28,6,2,19,38,23,10,16,42,8,2,0,12,24,19,1,1,0,5,9,2,0,11,18,9,11,2,407,797,437,100,30,
"Skye North West",68,198,15,4,0,45,186,25,11,1,5,118,73,9,2,3,140,222,40,14,0,51,124,47,10,2,16,33,34,20,3,33,7,0,0,3,17,10,1,0,0,1,6,4,3,3,13,27,12,4,134,770,542,163,54,
"Ross and Cromarty South West",87,191,32,1,0,57,230,28,4,2,10,133,77,14,2,2,114,181,25,8,2,40,71,28,5,1,16,26,19,13,1,20,8,0,0,2,16,20,2,3,2,3,11,6,4,0,11,11,9,7,167,774,468,106,45,
"Ross and Cromarty North West",81,183,14,4,0,93,190,30,5,2,7,100,70,14,3,12,115,153,27,4,4,66,120,24,10,4,14,36,21,11,13,32,11,1,0,5,20,18,3,0,0,6,4,4,2,0,15,12,6,7,222,741,456,103,35,
"Ross and Cromarty Central",62,151,17,1,1,29,159,22,4,5,7,97,70,13,2,6,107,185,52,13,2,36,144,43,17,3,14,32,53,22,9,41,19,4,1,7,27,23,2,3,1,5,9,9,5,2,7,4,4,5,125,644,520,176,77,
"Ross and Cromarty East",57,131,7,2,0,30,129,29,3,2,5,103,80,14,2,2,66,170,42,10,4,22,144,37,10,0,13,30,32,16,3,37,5,4,0,2,11,27,6,2,0,7,5,8,3,0,11,17,9,7,103,536,510,155,51,
"Muir of Ord",77,132,10,4,0,72,188,39,8,0,5,101,47,8,1,6,99,184,26,6,5,74,162,36,9,3,12,41,34,20,9,68,14,4,2,8,33,26,6,2,0,1,4,2,4,1,8,13,9,4,191,709,543,136,47,
"Conon",97,166,20,2,0,63,190,20,3,4,10,102,64,8,5,10,101,193,32,11,9,72,184,45,21,2,13,33,35,22,17,79,13,3,2,8,32,28,7,0,0,4,5,7,2,0,6,9,6,4,216,760,569,150,68,
"Dingwall",199,195,10,0,4,241,378,30,7,3,23,152,45,6,2,30,162,167,32,6,12,118,180,39,11,7,25,58,38,25,47,81,11,4,0,18,53,26,6,4,0,9,19,3,5,8,17,16,7,3,585,1189,562,144,60,
"Black Isle South",55,123,12,0,0,32,147,17,4,1,5,79,60,10,3,6,64,166,34,11,4,65,145,27,7,3,10,31,29,16,12,48,2,4,1,5,22,11,7,0,1,2,5,3,0,0,6,15,4,2,124,566,468,118,45,
"Black Isle Fortrose and Avoch",113,205,11,1,0,56,177,28,1,1,21,144,86,13,1,5,94,199,21,13,5,66,196,38,20,1,12,42,35,21,20,65,10,3,0,10,32,27,2,2,0,0,9,5,0,6,10,10,4,2,237,808,618,125,67,
"Black Isle North",62,148,18,1,0,34,142,33,4,2,7,106,111,14,3,8,91,195,39,17,2,33,163,48,23,4,14,41,53,35,7,37,12,7,2,4,13,28,6,2,0,0,7,3,2,1,8,17,6,7,132,598,625,184,95,
"Alness",219,196,6,0,0,280,305,35,9,1,32,144,52,4,1,28,169,193,24,7,27,174,197,45,7,14,27,43,34,12,76,156,28,5,0,32,61,25,13,1,0,19,24,4,3,8,25,19,4,4,720,1275,622,139,36,
"Invergordon",142,139,12,0,0,214,248,30,4,0,13,104,38,5,0,30,133,160,21,1,20,118,135,22,15,4,27,36,38,17,41,110,16,6,0,21,25,24,9,0,1,11,11,1,2,7,11,15,6,2,493,931,472,116,41,
"Seaboard",101,201,10,3,1,94,253,44,4,3,9,139,103,15,1,18,127,233,52,10,7,68,167,40,21,1,16,32,29,23,41,61,19,4,0,7,22,17,4,4,3,2,5,3,7,4,15,13,10,6,287,904,637,162,72,
"Tain",136,142,3,0,1,150,229,21,2,4,14,116,49,0,0,12,99,132,27,3,17,88,124,32,10,1,19,28,21,8,49,81,13,3,0,8,25,16,6,0,5,5,5,2,3,4,7,21,0,0,392,811,418,88,32,
"Sutherland South",171,372,39,7,0,92,357,59,13,3,8,200,169,19,6,10,205,347,65,17,5,81,167,70,30,2,23,46,49,30,14,64,14,2,0,7,52,44,12,0,2,7,13,8,4,7,22,30,13,6,317,1384,930,266,98,
"Sutherland East",191,241,20,5,1,141,247,36,2,3,21,148,81,8,1,23,157,172,30,13,9,79,109,25,11,4,18,23,32,19,13,59,18,2,0,13,21,28,2,0,2,1,4,5,6,6,8,16,8,4,421,977,501,127,61,
"Caithness South",74,131,26,3,1,45,160,29,6,2,13,113,59,10,4,8,108,169,28,8,1,55,119,37,12,0,16,31,39,16,10,24,3,3,0,5,13,11,6,0,1,4,2,5,2,3,10,8,9,2,167,640,458,146,46,
"Wick South",166,107,5,0,0,258,235,27,4,3,20,80,16,2,2,23,127,95,6,4,24,106,90,26,4,3,15,35,18,6,47,68,11,3,0,26,28,12,4,0,0,2,4,5,0,10,10,3,0,1,576,770,299,75,20,
"Wick North",134,108,2,1,0,149,196,21,0,0,17,85,22,2,0,15,123,110,3,5,7,81,109,16,8,2,23,34,23,8,36,53,8,2,2,16,15,21,4,0,2,4,2,2,3,5,14,5,2,0,380,699,323,56,25,
"Caithness North East",94,174,25,0,1,58,188,40,4,5,13,120,83,15,4,5,79,186,64,15,2,43,130,55,36,0,12,27,47,34,6,36,11,2,2,4,19,19,4,0,0,5,7,4,3,0,15,15,3,3,182,691,548,203,101,
"Caithness North West",93,207,14,6,0,118,289,46,6,5,10,156,103,11,3,21,127,265,56,21,6,70,235,63,25,2,20,43,58,29,16,41,13,5,2,4,27,24,6,2,1,0,5,6,3,4,13,7,5,7,277,958,755,224,98,
"Thurso East",221,151,8,0,1,302,365,40,6,0,23,134,39,4,2,44,159,112,27,6,13,94,97,21,4,4,30,25,26,6,49,89,17,1,0,27,35,14,7,0,6,7,1,1,1,1,13,7,0,0,687,1083,363,89,21,
"Thurso West",89,123,2,0,0,105,174,17,5,2,10,83,27,3,0,14,108,108,12,5,9,75,115,18,5,3,23,28,17,7,23,52,6,1,0,16,15,10,2,0,2,3,4,2,0,3,7,6,2,0,271,661,323,61,19,
"Sutherland North and West",83,199,30,3,3,92,244,42,9,3,8,85,81,5,5,10,130,172,45,11,4,36,96,27,15,2,20,33,24,14,6,33,9,2,2,5,14,16,3,1,0,2,6,6,2,2,6,15,6,9,212,775,497,130,59,
"Kilmacolm Central",127,208,8,1,0,44,150,14,0,1,15,96,87,7,3,6,48,139,33,10,3,51,161,33,11,4,10,19,33,16,3,34,5,3,0,6,22,13,3,2,0,0,2,2,2,0,7,8,4,0,208,628,455,124,45,
"Kilmacolm, Quarriers, Greenock Upper East/Central",19,76,8,3,1,24,95,20,3,0,5,60,73,7,0,5,54,146,23,5,4,38,123,36,7,10,1,13,24,6,2,13,8,1,0,4,9,10,7,1,2,2,2,1,5,0,4,11,1,2,78,351,414,103,29,
"Inverkip and Wemyss Bay",87,160,9,4,0,45,210,30,3,1,12,156,123,3,0,12,188,309,35,8,4,94,355,99,22,3,33,91,113,39,0,58,9,1,1,6,28,34,8,5,1,7,27,10,3,0,6,13,9,5,172,940,1003,285,82,
"West Braeside and West Gourock",67,121,7,0,0,15,90,11,0,0,14,111,76,6,0,2,79,139,13,1,1,21,101,27,8,1,14,32,37,12,1,11,4,1,0,2,9,14,2,0,0,4,0,4,1,0,2,9,4,2,104,464,387,97,24,
"Gourock Upper and West Central",197,176,4,1,0,162,254,11,1,1,19,118,47,2,0,35,149,164,16,3,12,121,148,25,10,7,29,58,33,11,22,62,11,2,0,10,51,23,4,0,0,3,16,6,0,3,8,10,3,1,466,969,496,93,25,
"Gourock Central and Upper East",277,146,3,0,2,231,297,19,2,5,35,96,25,0,0,32,155,118,11,2,13,71,95,25,5,11,28,50,28,7,21,57,8,0,0,30,38,34,2,0,1,6,8,3,0,7,11,7,5,1,656,905,363,74,22,
"Braeside, Branchton, Ravenscraig",113,75,9,0,0,98,114,10,1,1,23,57,22,3,0,31,108,89,7,1,16,84,106,23,6,14,29,53,33,8,42,86,11,3,0,36,47,13,4,0,1,15,11,3,1,10,7,13,3,1,384,626,338,79,19,
"Larkfield",141,40,2,0,0,178,103,8,0,0,28,47,6,0,0,37,89,58,4,0,33,98,110,18,6,20,43,41,22,7,101,113,21,3,2,53,73,31,4,1,10,15,13,7,1,11,12,0,0,2,608,632,288,66,18,
"Bow Farm, Fancy Farm and Mallard Bowl",236,93,0,0,0,287,241,11,6,0,44,71,7,0,0,45,144,113,3,0,28,125,137,18,3,17,74,57,36,8,82,174,17,6,0,71,58,42,7,2,6,25,14,3,1,16,20,11,1,0,832,1028,411,80,16,
"Gourock East, Greenock West and Lyle Road",189,245,5,0,0,63,185,17,1,0,26,202,117,7,2,9,139,221,23,1,4,90,197,38,13,6,26,79,54,26,6,28,6,2,1,10,23,26,5,2,1,2,11,5,4,2,11,15,5,1,317,947,692,140,49,
"Greenock West and Central",384,211,6,0,0,447,400,30,0,0,46,126,22,1,0,71,183,127,10,3,31,116,126,18,3,7,45,64,16,8,57,106,6,4,0,58,76,22,5,0,3,5,14,1,1,13,25,11,4,1,1117,1299,428,61,17,
"Gateside, Pennyfern, Cowdenknowes, Overton and upper Drumfrochar",163,99,6,2,0,126,176,11,5,0,16,108,23,0,0,20,128,143,9,0,12,100,138,21,9,7,41,87,49,15,17,60,4,3,0,24,54,26,7,0,5,10,8,3,1,7,10,5,4,2,400,783,455,99,26,
"Greenock Upper Central",339,139,1,0,0,616,328,15,4,0,42,67,6,0,1,54,114,47,0,1,28,74,69,7,4,14,32,33,10,5,87,63,7,1,1,61,43,21,6,0,2,8,3,4,0,11,12,4,2,0,1255,883,214,39,12,
"Greenock Town Centre and East Central",453,135,1,1,1,704,350,15,2,1,52,73,9,0,0,76,150,67,1,2,33,103,79,18,6,14,50,35,13,5,91,94,8,0,1,69,64,15,0,0,12,15,5,0,2,19,19,9,0,0,1525,1056,243,38,19,
"Greenock Upper East",110,50,1,0,0,146,134,9,1,0,20,55,8,0,0,26,84,76,6,1,17,95,106,18,5,8,28,45,24,9,77,81,9,0,1,59,40,24,3,0,11,21,5,0,0,9,13,6,5,1,488,598,288,57,17,
"Greenock Lower East",147,72,1,0,0,275,203,16,0,2,22,48,12,1,0,38,121,95,7,4,17,90,136,17,4,7,35,40,23,8,71,105,25,1,0,42,35,26,4,0,10,9,4,2,1,5,12,6,2,0,632,727,358,55,20,
"Port Glasgow Upper, West and Central",289,161,3,0,1,338,270,17,0,4,39,125,42,0,0,39,160,145,14,4,29,111,190,26,4,15,42,71,53,9,59,80,21,4,1,34,54,27,6,0,4,12,17,5,0,14,25,20,3,1,864,1042,556,109,24,
"Port Glasgow Mid, East and Central",222,92,0,1,0,213,163,10,0,2,39,79,7,0,0,32,134,71,9,3,19,97,105,18,3,23,41,50,22,7,78,88,16,0,0,60,61,29,5,1,5,13,13,4,3,9,15,9,3,0,703,786,307,59,17,
"Port Glasgow Upper East",265,88,2,0,0,194,165,9,0,0,55,98,14,1,0,31,108,91,5,1,28,113,138,40,4,20,59,66,35,8,80,98,12,0,0,67,64,22,8,0,10,17,15,13,2,18,22,11,5,1,771,829,382,102,19,
"Rural South Midlothian",56,91,9,0,0,40,175,26,5,1,8,57,62,7,2,5,107,208,30,11,8,106,249,39,19,0,11,51,32,11,4,50,8,2,1,10,21,18,2,1,1,7,15,5,6,4,13,15,8,7,137,643,659,128,62,
"Penicuik Southeast",207,125,5,1,1,156,218,9,2,5,26,141,64,3,1,26,121,143,12,3,14,98,115,19,7,4,19,40,28,8,19,52,10,1,0,16,36,20,2,0,2,4,13,2,4,12,19,10,3,4,485,832,426,74,32,
"Penicuik Southwest",106,126,4,0,0,74,114,14,0,0,22,156,63,6,0,17,113,108,14,2,12,97,151,19,8,2,23,55,57,6,15,59,2,1,1,22,38,19,7,1,3,4,10,3,0,7,12,8,6,3,277,745,433,111,22,
"Penicuik East",115,56,2,0,0,81,93,4,1,0,24,73,10,1,0,22,80,66,9,1,15,88,77,12,7,11,29,38,18,6,22,57,7,0,1,18,32,16,3,3,4,8,4,2,0,2,7,9,5,0,309,522,233,47,20,
"Penicuik North",97,101,5,1,0,45,101,9,1,1,21,110,40,4,0,14,120,127,11,1,7,84,136,30,4,5,35,45,44,7,18,53,8,0,0,13,27,24,1,3,4,3,16,5,4,4,10,8,2,2,228,641,411,97,24,
"Pentland",33,67,5,0,0,46,177,22,3,1,4,78,52,9,1,20,167,205,20,2,8,209,309,41,13,0,18,38,35,19,21,50,4,1,0,8,19,16,2,0,3,9,13,2,1,4,12,14,7,2,142,806,681,121,35,
"Roslin and Bilston",96,111,8,0,2,68,174,17,2,0,15,98,44,3,0,6,131,133,8,2,12,125,137,30,9,3,27,37,16,11,9,41,4,4,0,12,28,22,3,4,2,15,8,5,3,7,12,12,6,0,232,758,424,77,32,
