SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,"One person household: Aged under 66",,,,"One family household: All aged 66 and over",,,,"One family household: Couple family: No children",,,,"One family household: Couple family: With dependent children",,,,"One family household: Couple family: All children non-dependent",,,,"One family household: Lone parent: With dependent children",,,,"One family household: Lone parent: All children non-dependent",,,,"Other household types: With dependent children",,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,"Total",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Intermediate Zone (2022)",
"Peterhead Ugieside",314,0,0,0,319,0,0,0,0,209,0,0,0,371,0,0,0,292,0,0,0,155,0,0,0,0,83,0,0,0,64,0,0,0,0,27,0,0,0,18,633,1027,147,45,
"Longside and Rattray South",122,0,0,0,228,0,0,0,0,129,0,0,0,377,0,0,0,583,0,0,0,103,0,0,0,0,79,0,0,0,29,0,0,0,0,20,0,0,0,17,350,1192,105,37,
"Longside and Rattray North",170,0,0,0,254,0,0,0,0,175,0,0,0,333,0,0,0,302,0,0,0,130,0,0,0,0,62,0,0,0,50,0,0,0,0,26,0,0,0,28,424,940,112,56,
"Rosehearty, Sandhaven and Tyrie",178,0,0,0,223,0,0,0,0,125,0,0,0,273,0,0,0,319,0,0,0,88,0,0,0,0,75,0,0,0,49,0,0,0,0,16,0,0,0,22,401,807,124,37,
"Cairnbulg/Inverallochy and Memsie",245,0,0,0,223,0,0,0,0,182,0,0,0,286,0,0,0,279,0,0,0,126,0,0,0,0,54,0,0,0,56,0,0,0,0,9,0,0,0,8,471,871,114,22,
"Fraserburgh Smiddyhill",232,0,0,0,215,0,0,0,0,244,0,0,0,325,0,0,0,359,0,0,0,162,0,0,0,0,57,0,0,0,66,0,0,0,0,15,0,0,0,12,445,1091,123,23,
"Fraserburgh Lochpots",134,0,0,0,274,0,0,0,0,97,0,0,0,161,0,0,0,163,0,0,0,53,0,0,0,0,124,0,0,0,64,0,0,0,0,9,0,0,0,31,409,474,188,35,
"Fraserburgh Central-Academy",274,0,0,0,338,0,0,0,0,111,0,0,0,185,0,0,0,167,0,0,0,75,0,0,0,0,80,0,0,0,69,0,0,0,0,19,0,0,0,34,612,538,146,49,
"Fraserburgh Harbour and Broadsea",286,0,0,0,597,0,0,0,0,85,0,0,0,197,0,0,0,206,0,0,0,71,0,0,0,0,172,0,0,0,70,0,0,0,0,35,0,0,0,41,885,556,242,76,
"South Angus",382,0,0,0,253,0,0,0,0,308,0,0,0,510,0,0,0,439,0,0,0,194,0,0,0,0,72,0,0,0,50,0,0,0,0,36,0,0,0,42,635,1450,122,78,
"Monikie and Wellbank",154,0,0,0,150,0,0,0,0,197,0,0,0,303,0,0,0,433,0,0,0,128,0,0,0,0,49,0,0,0,45,0,0,0,0,32,0,0,0,13,304,1062,98,45,
"Barry and Panbride",92,0,0,0,144,0,0,0,0,140,0,0,0,266,0,0,0,355,0,0,0,92,0,0,0,0,82,0,0,0,22,0,0,0,0,17,0,0,0,9,236,857,104,26,
"Monifieth West",235,0,0,0,172,0,0,0,0,245,0,0,0,201,0,0,0,209,0,0,0,95,0,0,0,0,64,0,0,0,53,0,0,0,0,16,0,0,0,19,408,752,114,37,
"Monifieth East",548,0,0,0,342,0,0,0,0,392,0,0,0,365,0,0,0,373,0,0,0,158,0,0,0,0,114,0,0,0,70,0,0,0,0,15,0,0,0,32,893,1288,186,47,
"Carnoustie West",412,0,0,0,542,0,0,0,0,250,0,0,0,460,0,0,0,410,0,0,0,151,0,0,0,0,191,0,0,0,112,0,0,0,0,33,0,0,0,33,952,1271,302,66,
"Carnoustie East",416,0,0,0,310,0,0,0,0,447,0,0,0,408,0,0,0,380,0,0,0,189,0,0,0,0,108,0,0,0,85,0,0,0,0,23,0,0,0,31,726,1419,196,50,
"Arbroath Landward",138,0,0,0,214,0,0,0,0,186,0,0,0,350,0,0,0,223,0,0,0,91,0,0,0,0,47,0,0,0,21,0,0,0,0,16,0,0,0,18,353,850,68,30,
"Arbroath Kirkton",367,0,0,0,434,0,0,0,0,275,0,0,0,394,0,0,0,426,0,0,0,192,0,0,0,0,147,0,0,0,109,0,0,0,0,16,0,0,0,34,798,1287,256,46,
"Arbroath Keptie",309,0,0,0,394,0,0,0,0,233,0,0,0,311,0,0,0,222,0,0,0,95,0,0,0,0,66,0,0,0,64,0,0,0,0,17,0,0,0,26,703,861,130,43,
"Arbroath Harbour",505,0,0,0,1017,0,0,0,0,144,0,0,0,362,0,0,0,223,0,0,0,70,0,0,0,0,162,0,0,0,68,0,0,0,0,22,0,0,0,52,1522,803,233,74,
"Arbroath Cliffburn",275,0,0,0,438,0,0,0,0,202,0,0,0,363,0,0,0,393,0,0,0,143,0,0,0,0,231,0,0,0,132,0,0,0,0,42,0,0,0,41,716,1104,363,83,
"Arbroath Warddykes",306,0,0,0,503,0,0,0,0,196,0,0,0,311,0,0,0,349,0,0,0,114,0,0,0,0,176,0,0,0,88,0,0,0,0,28,0,0,0,31,809,969,264,59,
"Lunan",230,0,0,0,263,0,0,0,0,161,0,0,0,273,0,0,0,214,0,0,0,67,0,0,0,0,64,0,0,0,32,0,0,0,0,14,0,0,0,15,493,715,100,29,
"Montrose South",515,0,0,0,1002,0,0,0,0,213,0,0,0,399,0,0,0,293,0,0,0,88,0,0,0,0,193,0,0,0,95,0,0,0,0,22,0,0,0,51,1517,990,288,74,
"Montrose North",350,0,0,0,510,0,0,0,0,244,0,0,0,358,0,0,0,334,0,0,0,149,0,0,0,0,130,0,0,0,89,0,0,0,0,15,0,0,0,23,860,1085,221,38,
"Hillside",217,0,0,0,199,0,0,0,0,206,0,0,0,325,0,0,0,338,0,0,0,105,0,0,0,0,87,0,0,0,56,0,0,0,0,16,0,0,0,17,416,975,143,33,
"Friockheim",214,0,0,0,215,0,0,0,0,214,0,0,0,396,0,0,0,256,0,0,0,101,0,0,0,0,45,0,0,0,43,0,0,0,0,17,0,0,0,27,429,967,80,44,
"Brechin East",245,0,0,0,506,0,0,0,0,115,0,0,0,263,0,0,0,267,0,0,0,67,0,0,0,0,117,0,0,0,62,0,0,0,0,22,0,0,0,23,751,712,179,45,
"Brechin West",357,0,0,0,391,0,0,0,0,225,0,0,0,368,0,0,0,249,0,0,0,91,0,0,0,0,112,0,0,0,67,0,0,0,0,18,0,0,0,13,744,935,179,31,
"Letham and Glamis",391,0,0,0,347,0,0,0,0,410,0,0,0,637,0,0,0,425,0,0,0,182,0,0,0,0,76,0,0,0,71,0,0,0,0,37,0,0,0,44,738,1658,146,81,
"Forfar East",355,0,0,0,391,0,0,0,0,299,0,0,0,380,0,0,0,334,0,0,0,115,0,0,0,0,111,0,0,0,48,0,0,0,0,22,0,0,0,33,746,1131,159,55,
"Forfar Central",468,0,0,0,620,0,0,0,0,158,0,0,0,323,0,0,0,289,0,0,0,91,0,0,0,0,177,0,0,0,86,0,0,0,0,29,0,0,0,32,1088,861,263,61,
"Forfar West",424,0,0,0,484,0,0,0,0,242,0,0,0,425,0,0,0,278,0,0,0,131,0,0,0,0,182,0,0,0,87,0,0,0,0,18,0,0,0,20,908,1079,273,38,
"Kirriemuir Landward",174,0,0,0,221,0,0,0,0,146,0,0,0,299,0,0,0,211,0,0,0,94,0,0,0,0,34,0,0,0,35,0,0,0,0,13,0,0,0,26,391,750,69,39,
"Kirriemuir",502,0,0,0,645,0,0,0,0,363,0,0,0,493,0,0,0,409,0,0,0,170,0,0,0,0,176,0,0,0,95,0,0,0,0,27,0,0,0,31,1148,1435,268,58,
"Angus Glens",247,0,0,0,247,0,0,0,0,215,0,0,0,391,0,0,0,240,0,0,0,113,0,0,0,0,50,0,0,0,42,0,0,0,0,23,0,0,0,19,494,958,92,45,
"Mull, Iona, Coll and Tiree",373,0,0,0,361,0,0,0,0,226,0,0,0,433,0,0,0,297,0,0,0,95,0,0,0,0,55,0,0,0,50,0,0,0,0,28,0,0,0,49,734,1048,105,77,
"Oban South",466,0,0,0,713,0,0,0,0,185,0,0,0,441,0,0,0,419,0,0,0,143,0,0,0,0,135,0,0,0,115,0,0,0,0,32,0,0,0,79,1179,1188,250,111,
"Oban North",207,0,0,0,428,0,0,0,0,99,0,0,0,231,0,0,0,168,0,0,0,71,0,0,0,0,59,0,0,0,55,0,0,0,0,16,0,0,0,29,635,572,114,41,
"Benderloch Trail",198,0,0,0,165,0,0,0,0,140,0,0,0,251,0,0,0,205,0,0,0,62,0,0,0,0,26,0,0,0,42,0,0,0,0,16,0,0,0,26,363,658,68,42,
"Glen Lonan",235,0,0,0,231,0,0,0,0,170,0,0,0,334,0,0,0,259,0,0,0,95,0,0,0,0,80,0,0,0,45,0,0,0,0,26,0,0,0,51,466,858,125,77,
"Loch Awe",207,0,0,0,173,0,0,0,0,152,0,0,0,322,0,0,0,135,0,0,0,56,0,0,0,0,30,0,0,0,36,0,0,0,0,15,0,0,0,22,380,661,70,37,
"Mid Argyll",253,0,0,0,235,0,0,0,0,196,0,0,0,379,0,0,0,219,0,0,0,75,0,0,0,0,53,0,0,0,22,0,0,0,0,21,0,0,0,29,488,869,77,50,
"Greater Lochgilphead",344,0,0,0,488,0,0,0,0,159,0,0,0,326,0,0,0,262,0,0,0,92,0,0,0,0,120,0,0,0,71,0,0,0,0,12,0,0,0,21,829,839,191,36,
"Knapdale",263,0,0,0,275,0,0,0,0,151,0,0,0,295,0,0,0,155,0,0,0,65,0,0,0,0,46,0,0,0,33,0,0,0,0,8,0,0,0,23,538,669,79,31,
"Whisky Isles",346,0,0,0,368,0,0,0,0,184,0,0,0,341,0,0,0,251,0,0,0,104,0,0,0,0,47,0,0,0,57,0,0,0,0,21,0,0,0,38,710,884,107,53,
"Kintyre Trail",264,0,0,0,221,0,0,0,0,205,0,0,0,336,0,0,0,199,0,0,0,109,0,0,0,0,28,0,0,0,38,0,0,0,0,17,0,0,0,48,484,848,66,65,
"Campbeltown",511,0,0,0,624,0,0,0,0,206,0,0,0,341,0,0,0,309,0,0,0,105,0,0,0,0,111,0,0,0,71,0,0,0,0,16,0,0,0,33,1134,961,182,53,
"Bute",339,0,0,0,216,0,0,0,0,229,0,0,0,273,0,0,0,131,0,0,0,62,0,0,0,0,25,0,0,0,27,0,0,0,0,13,0,0,0,31,559,690,55,44,
"Rothesay Town",488,0,0,0,597,0,0,0,0,148,0,0,0,268,0,0,0,198,0,0,0,64,0,0,0,0,104,0,0,0,53,0,0,0,0,19,0,0,0,29,1085,677,156,48,
"Cowal South",572,0,0,0,436,0,0,0,0,414,0,0,0,621,0,0,0,281,0,0,0,128,0,0,0,0,45,0,0,0,64,0,0,0,0,29,0,0,0,53,1008,1444,107,82,
"Hunter's Quay",517,0,0,0,538,0,0,0,0,322,0,0,0,407,0,0,0,290,0,0,0,113,0,0,0,0,137,0,0,0,105,0,0,0,0,33,0,0,0,48,1054,1132,242,81,
"Dunoon",417,0,0,0,623,0,0,0,0,195,0,0,0,356,0,0,0,284,0,0,0,85,0,0,0,0,144,0,0,0,80,0,0,0,0,25,0,0,0,40,1040,920,224,65,
"Garelochhead",269,0,0,0,345,0,0,0,0,221,0,0,0,422,0,0,0,320,0,0,0,125,0,0,0,0,96,0,0,0,67,0,0,0,0,23,0,0,0,37,612,1088,161,60,
"Helensburgh West and Rhu",316,0,0,0,282,0,0,0,0,334,0,0,0,395,0,0,0,363,0,0,0,142,0,0,0,0,87,0,0,0,53,0,0,0,0,16,0,0,0,34,598,1233,140,49,
"Helensburgh North",251,0,0,0,159,0,0,0,0,288,0,0,0,316,0,0,0,346,0,0,0,135,0,0,0,0,71,0,0,0,58,0,0,0,0,23,0,0,0,35,410,1085,129,54,
"Helensburgh Centre",432,0,0,0,584,0,0,0,0,185,0,0,0,287,0,0,0,124,0,0,0,72,0,0,0,0,71,0,0,0,51,0,0,0,0,10,0,0,0,33,1016,671,120,43,
"Helensburgh East",263,0,0,0,371,0,0,0,0,143,0,0,0,336,0,0,0,387,0,0,0,128,0,0,0,0,118,0,0,0,77,0,0,0,0,24,0,0,0,41,636,991,197,65,
"Lomond Shore",235,0,0,0,250,0,0,0,0,254,0,0,0,386,0,0,0,298,0,0,0,121,0,0,0,0,48,0,0,0,46,0,0,0,0,38,0,0,0,48,482,1059,94,86,
"Balerno",369,0,0,0,250,0,0,0,0,415,0,0,0,381,0,0,0,633,0,0,0,168,0,0,0,0,78,0,0,0,56,0,0,0,0,22,0,0,0,48,619,1597,137,68,
"Currie West",241,0,0,0,220,0,0,0,0,190,0,0,0,325,0,0,0,472,0,0,0,119,0,0,0,0,78,0,0,0,55,0,0,0,0,19,0,0,0,27,458,1103,133,46,
"Currie East",235,0,0,0,151,0,0,0,0,217,0,0,0,249,0,0,0,364,0,0,0,108,0,0,0,0,47,0,0,0,38,0,0,0,0,15,0,0,0,22,386,938,83,38,
"Baberton and Juniper Green",341,0,0,0,192,0,0,0,0,299,0,0,0,318,0,0,0,354,0,0,0,109,0,0,0,0,44,0,0,0,55,0,0,0,0,15,0,0,0,27,533,1081,99,43,
"Bonaly and The Pentlands",260,0,0,0,200,0,0,0,0,283,0,0,0,326,0,0,0,554,0,0,0,126,0,0,0,0,54,0,0,0,39,0,0,0,0,16,0,0,0,24,460,1289,90,44,
"Colinton and Kingsknowe",335,0,0,0,142,0,0,0,0,255,0,0,0,303,0,0,0,384,0,0,0,76,0,0,0,0,36,0,0,0,38,0,0,0,0,21,0,0,0,28,481,1021,74,49,
"Clovenstone and Wester Hailes South",72,0,0,0,446,0,0,0,0,14,0,0,0,146,0,0,0,274,0,0,0,67,0,0,0,0,211,0,0,0,92,0,0,0,0,49,0,0,0,81,518,501,303,127,
"The Calders",248,0,0,0,714,0,0,0,0,72,0,0,0,224,0,0,0,229,0,0,0,87,0,0,0,0,244,0,0,0,121,0,0,0,0,57,0,0,0,111,962,612,362,168,
"Murrayburn and Wester Hailes North",184,0,0,0,730,0,0,0,0,42,0,0,0,166,0,0,0,178,0,0,0,53,0,0,0,0,220,0,0,0,119,0,0,0,0,41,0,0,0,76,914,439,339,117,
"Parkhead and Sighthill",169,0,0,0,273,0,0,0,0,131,0,0,0,211,0,0,0,226,0,0,0,86,0,0,0,0,103,0,0,0,65,0,0,0,0,25,0,0,0,74,442,656,169,97,
"Broomhouse and Bankhead",176,0,0,0,345,0,0,0,0,55,0,0,0,230,0,0,0,331,0,0,0,101,0,0,0,0,124,0,0,0,128,0,0,0,0,57,0,0,0,90,523,716,252,151,
"Stenhouse and Saughton Mains",441,0,0,0,1054,0,0,0,0,110,0,0,0,487,0,0,0,371,0,0,0,92,0,0,0,0,167,0,0,0,137,0,0,0,0,41,0,0,0,211,1495,1060,300,254,
"Longstone",249,0,0,0,392,0,0,0,0,158,0,0,0,298,0,0,0,310,0,0,0,131,0,0,0,0,109,0,0,0,81,0,0,0,0,36,0,0,0,93,641,897,190,126,
"Slateford and Chesser",365,0,0,0,913,0,0,0,0,120,0,0,0,545,0,0,0,282,0,0,0,74,0,0,0,0,97,0,0,0,98,0,0,0,0,22,0,0,0,237,1278,1024,195,259,
"Gorgie West",176,0,0,0,1597,0,0,0,0,41,0,0,0,596,0,0,0,226,0,0,0,52,0,0,0,0,95,0,0,0,50,0,0,0,0,18,0,0,0,305,1773,915,145,320,
"Gorgie East",87,0,0,0,1117,0,0,0,0,10,0,0,0,455,0,0,0,119,0,0,0,11,0,0,0,0,36,0,0,0,32,0,0,0,0,8,0,0,0,309,1204,598,68,317,
"Shandon",290,0,0,0,795,0,0,0,0,114,0,0,0,633,0,0,0,378,0,0,0,55,0,0,0,0,70,0,0,0,42,0,0,0,0,9,0,0,0,260,1081,1180,107,273,
"Craiglockhart",332,0,0,0,230,0,0,0,0,314,0,0,0,424,0,0,0,453,0,0,0,110,0,0,0,0,50,0,0,0,53,0,0,0,0,19,0,0,0,74,560,1301,103,94,
"Morningside West and Craighouse",349,0,0,0,547,0,0,0,0,160,0,0,0,417,0,0,0,385,0,0,0,62,0,0,0,0,75,0,0,0,30,0,0,0,0,7,0,0,0,148,896,1027,109,155,
"Greenbank and The Braids",291,0,0,0,165,0,0,0,0,302,0,0,0,333,0,0,0,465,0,0,0,121,0,0,0,0,43,0,0,0,38,0,0,0,0,12,0,0,0,31,461,1220,81,44,
"Colinton Mains and Firrhill",321,0,0,0,502,0,0,0,0,80,0,0,0,293,0,0,0,296,0,0,0,88,0,0,0,0,164,0,0,0,94,0,0,0,0,29,0,0,0,82,825,756,258,111,
"Oxgangs",194,0,0,0,380,0,0,0,0,62,0,0,0,182,0,0,0,191,0,0,0,69,0,0,0,0,105,0,0,0,82,0,0,0,0,12,0,0,0,84,574,504,187,92,
"Comiston and Swanston",343,0,0,0,202,0,0,0,0,357,0,0,0,457,0,0,0,518,0,0,0,149,0,0,0,0,57,0,0,0,64,0,0,0,0,28,0,0,0,33,549,1482,117,61,
"Fairmilehead",231,0,0,0,135,0,0,0,0,329,0,0,0,385,0,0,0,679,0,0,0,138,0,0,0,0,66,0,0,0,61,0,0,0,0,23,0,0,0,25,366,1530,125,48,
"Gilmerton South and the Murrays",136,0,0,0,323,0,0,0,0,91,0,0,0,436,0,0,0,450,0,0,0,106,0,0,0,0,158,0,0,0,57,0,0,0,0,34,0,0,0,51,461,1083,215,81,
"Burdiehouse South and Broomhills",65,0,0,0,226,0,0,0,0,54,0,0,0,393,0,0,0,399,0,0,0,52,0,0,0,0,85,0,0,0,48,0,0,0,0,26,0,0,0,37,291,895,136,67,
"Mortonhall and Anwickhill",256,0,0,0,228,0,0,0,0,168,0,0,0,236,0,0,0,145,0,0,0,74,0,0,0,0,24,0,0,0,44,0,0,0,0,14,0,0,0,36,484,624,68,44,
"Gracemount, Southhouse and Burdiehouse",318,0,0,0,621,0,0,0,0,105,0,0,0,341,0,0,0,394,0,0,0,142,0,0,0,0,265,0,0,0,148,0,0,0,0,77,0,0,0,124,943,983,416,201,
"Hyvots and Gilmerton",269,0,0,0,436,0,0,0,0,87,0,0,0,258,0,0,0,270,0,0,0,106,0,0,0,0,168,0,0,0,82,0,0,0,0,38,0,0,0,64,709,716,250,102,
"Fernieside and Moredun South",269,0,0,0,360,0,0,0,0,121,0,0,0,252,0,0,0,272,0,0,0,121,0,0,0,0,109,0,0,0,96,0,0,0,0,34,0,0,0,71,628,766,204,105,
"Moredun and Craigour",187,0,0,0,459,0,0,0,0,80,0,0,0,177,0,0,0,172,0,0,0,79,0,0,0,0,122,0,0,0,69,0,0,0,0,28,0,0,0,67,646,508,190,95,
"Liberton East",202,0,0,0,214,0,0,0,0,172,0,0,0,287,0,0,0,197,0,0,0,106,0,0,0,0,24,0,0,0,38,0,0,0,0,15,0,0,0,42,416,762,63,57,
"Liberton West",233,0,0,0,234,0,0,0,0,214,0,0,0,330,0,0,0,276,0,0,0,88,0,0,0,0,38,0,0,0,42,0,0,0,0,16,0,0,0,33,467,908,84,49,
"The Inch",312,0,0,0,585,0,0,0,0,115,0,0,0,349,0,0,0,355,0,0,0,118,0,0,0,0,141,0,0,0,104,0,0,0,0,38,0,0,0,210,897,939,247,248,
"Blackford, West Mains and Mayfield Road",492,0,0,0,393,0,0,0,0,276,0,0,0,470,0,0,0,608,0,0,0,155,0,0,0,0,94,0,0,0,69,0,0,0,0,30,0,0,0,205,889,1510,160,235,
"Prestonfield",277,0,0,0,446,0,0,0,0,111,0,0,0,298,0,0,0,189,0,0,0,66,0,0,0,0,55,0,0,0,49,0,0,0,0,17,0,0,0,205,723,664,104,224,
"Newington and Dalkeith Road",158,0,0,0,424,0,0,0,0,86,0,0,0,324,0,0,0,238,0,0,0,38,0,0,0,0,36,0,0,0,28,0,0,0,0,19,0,0,0,489,582,685,64,508,
"The Grange",472,0,0,0,394,0,0,0,0,313,0,0,0,417,0,0,0,487,0,0,0,109,0,0,0,0,58,0,0,0,23,0,0,0,0,17,0,0,0,252,871,1321,81,269,
"Marchmont East and Sciennes",177,0,0,0,465,0,0,0,0,77,0,0,0,317,0,0,0,218,0,0,0,27,0,0,0,0,60,0,0,0,33,0,0,0,0,18,0,0,0,625,642,635,97,643,
"Marchmont West",145,0,0,0,245,0,0,0,0,88,0,0,0,226,0,0,0,312,0,0,0,47,0,0,0,0,45,0,0,0,28,0,0,0,0,15,0,0,0,683,390,673,73,698,
"Morningside East",292,0,0,0,530,0,0,0,0,216,0,0,0,510,0,0,0,447,0,0,0,72,0,0,0,0,63,0,0,0,39,0,0,0,0,19,0,0,0,228,822,1253,102,247,
"Merchiston and Greenhill",348,0,0,0,436,0,0,0,0,225,0,0,0,421,0,0,0,374,0,0,0,52,0,0,0,0,47,0,0,0,46,0,0,0,0,26,0,0,0,218,784,1072,90,248,
"Bruntsfield",263,0,0,0,681,0,0,0,0,91,0,0,0,550,0,0,0,346,0,0,0,57,0,0,0,0,76,0,0,0,32,0,0,0,0,17,0,0,0,540,943,1044,108,557,
"Polwarth",174,0,0,0,1073,0,0,0,0,53,0,0,0,580,0,0,0,194,0,0,0,30,0,0,0,0,57,0,0,0,28,0,0,0,0,13,0,0,0,358,1247,855,85,371,
"Dalry",131,0,0,0,804,0,0,0,0,8,0,0,0,343,0,0,0,126,0,0,0,7,0,0,0,0,43,0,0,0,24,0,0,0,0,14,0,0,0,357,938,486,67,366,
"Fountainbridge",103,0,0,0,1241,0,0,0,0,18,0,0,0,415,0,0,0,96,0,0,0,5,0,0,0,0,51,0,0,0,29,0,0,0,0,7,0,0,0,288,1344,523,73,295,
"Tollcross",201,0,0,0,1163,0,0,0,0,37,0,0,0,530,0,0,0,134,0,0,0,22,0,0,0,0,72,0,0,0,47,0,0,0,0,11,0,0,0,818,1363,723,119,830,
"Southside",94,0,0,0,339,0,0,0,0,20,0,0,0,191,0,0,0,41,0,0,0,14,0,0,0,0,24,0,0,0,17,0,0,0,0,10,0,0,0,652,433,263,45,666,
"Meadows",113,0,0,0,825,0,0,0,0,35,0,0,0,260,0,0,0,135,0,0,0,34,0,0,0,0,65,0,0,0,24,0,0,0,0,7,0,0,0,437,938,465,93,444,
"Old Town, Princes Street and Leith Street",210,0,0,0,1050,0,0,0,0,24,0,0,0,339,0,0,0,65,0,0,0,19,0,0,0,0,37,0,0,0,30,0,0,0,0,8,0,0,0,629,1259,447,67,641,
"Canongate, St. Leonards and Dumbiedykes",275,0,0,0,1236,0,0,0,0,35,0,0,0,375,0,0,0,116,0,0,0,23,0,0,0,0,90,0,0,0,81,0,0,0,0,12,0,0,0,689,1511,551,175,698,
"Abbeyhill",163,0,0,0,729,0,0,0,0,27,0,0,0,310,0,0,0,65,0,0,0,17,0,0,0,0,28,0,0,0,28,0,0,0,0,8,0,0,0,160,892,419,56,168,
"Meadowbank and Abbeyhill North",251,0,0,0,1276,0,0,0,0,53,0,0,0,772,0,0,0,223,0,0,0,40,0,0,0,0,74,0,0,0,37,0,0,0,0,20,0,0,0,234,1527,1088,108,254,
"Willowbrae and Duddingston Village",342,0,0,0,561,0,0,0,0,208,0,0,0,572,0,0,0,398,0,0,0,101,0,0,0,0,71,0,0,0,64,0,0,0,0,25,0,0,0,162,903,1281,136,187,
"Greendykes",56,0,0,0,433,0,0,0,0,9,0,0,0,352,0,0,0,389,0,0,0,38,0,0,0,0,121,0,0,0,49,0,0,0,0,33,0,0,0,75,489,789,169,109,
"Craigmillar",133,0,0,0,607,0,0,0,0,24,0,0,0,308,0,0,0,296,0,0,0,54,0,0,0,0,191,0,0,0,83,0,0,0,0,42,0,0,0,106,737,681,276,144,
"Niddrie",225,0,0,0,628,0,0,0,0,54,0,0,0,217,0,0,0,331,0,0,0,98,0,0,0,0,254,0,0,0,119,0,0,0,0,63,0,0,0,81,853,702,373,144,
"Bingham, Magdalene and The Christians",287,0,0,0,504,0,0,0,0,91,0,0,0,171,0,0,0,179,0,0,0,95,0,0,0,0,168,0,0,0,104,0,0,0,0,31,0,0,0,61,791,536,272,95,
"Jewel, Brunstane and Newcraighall",163,0,0,0,366,0,0,0,0,129,0,0,0,536,0,0,0,468,0,0,0,138,0,0,0,0,127,0,0,0,68,0,0,0,0,47,0,0,0,61,529,1275,195,106,
"Joppa",431,0,0,0,365,0,0,0,0,242,0,0,0,384,0,0,0,443,0,0,0,135,0,0,0,0,75,0,0,0,81,0,0,0,0,28,0,0,0,59,796,1201,160,87,
"Portobello",315,0,0,0,735,0,0,0,0,114,0,0,0,504,0,0,0,335,0,0,0,70,0,0,0,0,143,0,0,0,56,0,0,0,0,18,0,0,0,71,1050,1024,201,89,
"Duddingston and Durhams",288,0,0,0,138,0,0,0,0,249,0,0,0,247,0,0,0,401,0,0,0,123,0,0,0,0,52,0,0,0,45,0,0,0,0,25,0,0,0,27,429,1019,101,52,
"Mountcastle",261,0,0,0,156,0,0,0,0,150,0,0,0,174,0,0,0,210,0,0,0,92,0,0,0,0,44,0,0,0,34,0,0,0,0,14,0,0,0,32,420,628,81,49,
"Northfield and Piershill",269,0,0,0,466,0,0,0,0,89,0,0,0,287,0,0,0,220,0,0,0,66,0,0,0,0,118,0,0,0,82,0,0,0,0,23,0,0,0,101,735,658,204,124,
"Craigentinny",239,0,0,0,114,0,0,0,0,203,0,0,0,248,0,0,0,208,0,0,0,90,0,0,0,0,20,0,0,0,53,0,0,0,0,22,0,0,0,30,353,750,73,52,
"Restalrig (Loganlea) and Craigentinny West",249,0,0,0,732,0,0,0,0,65,0,0,0,295,0,0,0,183,0,0,0,53,0,0,0,0,103,0,0,0,70,0,0,0,0,17,0,0,0,90,981,596,173,107,
"Restalrig and Lochend",253,0,0,0,786,0,0,0,0,67,0,0,0,288,0,0,0,247,0,0,0,74,0,0,0,0,140,0,0,0,103,0,0,0,0,34,0,0,0,95,1039,676,242,132,
"Leith (Hermitage and Prospect Bank)",252,0,0,0,448,0,0,0,0,157,0,0,0,533,0,0,0,363,0,0,0,111,0,0,0,0,74,0,0,0,64,0,0,0,0,17,0,0,0,74,700,1164,138,94,
"Western Harbour and Leith Docks",172,0,0,0,923,0,0,0,0,94,0,0,0,744,0,0,0,388,0,0,0,57,0,0,0,0,142,0,0,0,74,0,0,0,0,28,0,0,0,151,1095,1282,215,179,
"North Leith and Newhaven",305,0,0,0,1091,0,0,0,0,77,0,0,0,545,0,0,0,286,0,0,0,53,0,0,0,0,143,0,0,0,94,0,0,0,0,41,0,0,0,163,1396,959,237,204,
"The Shore and Constitution Street",171,0,0,0,1210,0,0,0,0,49,0,0,0,789,0,0,0,199,0,0,0,28,0,0,0,0,134,0,0,0,63,0,0,0,0,14,0,0,0,251,1381,1063,197,268,
"Great Junction Street",180,0,0,0,928,0,0,0,0,51,0,0,0,407,0,0,0,172,0,0,0,20,0,0,0,0,112,0,0,0,67,0,0,0,0,24,0,0,0,217,1104,650,175,241,
"South Leith",369,0,0,0,1148,0,0,0,0,58,0,0,0,662,0,0,0,169,0,0,0,49,0,0,0,0,92,0,0,0,52,0,0,0,0,24,0,0,0,276,1514,938,144,300,
