SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,,"Two people",,,,,"Three people",,,,,"Four people",,,,,"Five or more people",,,,,"Total",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Intermediate Zone (2022)",
"Gallowgate North and Bellgrove",139,160,725,293,13,57,90,257,363,12,12,23,106,68,0,2,10,53,25,0,0,5,53,8,0,212,288,1192,757,22,
"City Centre East",350,244,959,626,46,126,131,205,675,22,14,24,61,171,3,5,10,40,35,2,11,3,28,10,0,510,414,1290,1514,70,
"City Centre West",212,152,607,376,54,87,117,102,453,19,32,32,57,121,4,5,17,33,77,6,10,11,14,33,4,341,329,813,1061,86,
"City Centre South",157,141,407,353,19,51,84,81,379,18,10,23,35,129,1,4,9,19,36,2,0,1,14,13,1,222,261,557,912,42,
"Anderston",159,196,399,321,16,114,147,175,398,10,24,48,108,160,2,4,34,73,67,0,2,6,39,13,1,300,431,787,959,25,
"Finnieston and Kelvinhaugh",132,154,200,154,10,109,146,95,278,10,22,55,40,131,1,5,29,20,67,1,5,11,10,41,2,270,399,369,666,20,
"Yorkhill",154,173,285,267,20,53,121,64,390,7,17,33,36,79,0,5,22,15,32,1,1,1,4,9,1,226,348,404,777,29,
"Woodlands",131,139,110,136,10,125,152,52,277,20,36,55,20,106,3,11,44,18,52,3,17,10,15,33,0,318,399,212,600,39,
"Kelvinbridge South",108,100,116,139,8,88,132,37,297,7,30,56,21,165,4,16,26,15,98,2,14,15,15,20,0,252,333,204,719,20,
"Woodside",104,111,544,179,26,60,83,132,242,12,20,22,76,37,2,8,10,37,33,0,6,8,17,13,0,195,238,803,504,36,
"Firhill",319,263,688,320,37,139,190,238,393,25,39,73,129,75,2,14,37,97,34,2,9,16,59,19,1,522,579,1213,842,67,
"Keppochhill",85,88,789,76,28,64,53,347,119,12,28,35,172,39,6,13,21,112,29,0,6,6,69,14,2,196,203,1489,277,51,
"Ruchill",205,260,248,203,18,133,196,72,355,8,20,54,27,61,1,7,33,16,12,1,4,2,11,14,0,364,552,378,649,28,
"Ruchill Park",93,121,433,175,18,58,90,185,172,3,21,34,119,36,0,8,31,51,17,3,4,8,37,11,0,188,285,821,411,24,
"Possil Park",271,133,888,117,28,188,164,348,80,4,80,103,175,40,7,39,80,102,18,4,13,41,71,13,0,589,521,1588,268,43,
"Milton West",190,118,477,81,17,155,122,234,61,8,48,97,151,32,1,15,82,82,14,6,8,22,75,13,5,416,441,1016,196,38,
"Milton East",125,56,403,35,17,106,77,168,24,4,36,59,117,24,2,24,47,86,8,5,13,20,54,12,2,304,256,828,101,30,
"Summerston Central and West",214,139,320,53,13,224,159,106,30,7,67,143,81,18,2,31,145,68,9,0,9,47,28,16,6,542,632,603,122,29,
"Summerston North",229,135,319,68,14,202,123,128,57,9,68,71,61,31,0,21,65,41,13,2,8,24,33,2,2,532,418,579,172,29,
"Maryhill East",140,84,519,33,18,78,72,186,67,14,24,51,137,21,2,11,48,84,13,6,6,8,57,11,8,262,266,980,148,48,
"Maryhill West",108,96,425,59,11,70,85,120,64,8,30,62,86,34,1,10,43,47,20,1,5,15,30,17,0,219,301,711,197,21,
"Wyndford",147,85,1066,79,24,62,51,256,95,11,19,22,155,31,1,8,22,97,14,4,2,4,45,10,2,238,185,1619,231,44,
"Kelvindale",501,230,45,169,16,469,304,17,201,7,104,153,5,60,4,57,161,9,44,2,27,59,6,16,0,1158,907,83,490,31,
"North Kelvin",272,184,90,193,21,218,224,40,253,9,53,117,11,64,3,19,88,10,31,0,13,24,2,22,0,579,637,157,563,33,
"Kelvingrove and University",316,180,145,277,32,206,216,52,510,11,69,99,24,224,2,28,73,19,157,0,13,27,12,80,2,635,592,252,1248,48,
"Hillhead",300,265,628,430,29,119,182,202,738,16,39,48,83,108,7,12,33,36,23,0,5,6,21,8,0,474,533,970,1307,57,
"Glasgow Harbour and Partick South",308,393,309,649,26,141,231,119,482,10,21,53,54,64,2,13,17,23,34,0,4,5,10,23,0,488,699,516,1252,40,
"Partick",228,238,497,363,23,103,147,157,324,4,28,54,52,74,1,9,20,43,22,0,4,8,14,8,0,372,463,763,793,29,
"Partickhill and Hyndland",531,337,145,297,23,354,311,17,457,6,61,131,9,111,3,35,112,3,51,3,16,25,1,15,0,990,912,175,933,38,
"Dowanhill",439,244,46,239,19,340,272,14,274,8,60,114,6,116,4,22,91,8,77,0,15,26,1,15,1,872,744,74,724,31,
"Kelvinside and Jordanhill",490,179,116,92,15,442,214,17,98,15,120,185,7,40,2,61,248,9,21,1,27,103,2,16,1,1146,925,148,268,37,
"Broomhill",412,243,199,143,17,299,230,56,178,6,60,118,20,46,0,37,129,15,16,2,9,36,1,3,2,810,755,293,382,29,
"Victoria Park",293,114,419,114,14,226,129,112,83,5,81,110,77,24,2,37,140,27,12,1,12,41,10,6,0,650,533,642,239,23,
"Scotstoun North and East",227,96,307,55,11,218,149,95,44,4,68,121,85,15,3,45,153,54,13,1,6,37,57,16,3,568,558,597,140,20,
"Scotstoun South and West",165,151,818,225,19,73,79,312,128,5,30,36,143,18,2,9,37,88,21,1,4,23,88,6,4,278,323,1446,392,31,
"Yoker South",183,206,588,193,14,113,146,237,136,17,33,75,170,41,0,15,60,72,14,3,6,19,58,9,4,350,506,1130,393,37,
"Yoker North",149,54,108,15,4,167,99,75,20,1,61,89,39,25,1,26,85,29,12,1,16,37,19,7,2,422,367,268,79,8,
"Knightswood West",139,85,239,31,8,120,90,97,26,3,30,74,54,14,0,25,58,27,16,0,5,13,14,9,0,322,319,431,99,12,
"Knightswood East",288,153,478,64,19,190,156,189,61,6,62,133,106,29,3,17,96,59,17,2,4,34,20,9,1,564,576,850,181,31,
"Knightswood Park West",224,124,482,42,24,133,126,154,36,3,42,75,53,19,0,7,51,29,7,1,5,17,10,4,1,419,393,728,104,29,
"Knightswood Park East",228,121,323,44,16,157,120,99,63,6,36,87,51,15,3,26,93,44,2,6,7,32,86,3,4,450,454,605,127,37,
"Anniesland East",457,266,103,231,13,236,208,20,179,8,57,105,22,41,2,28,73,2,35,0,12,28,5,6,0,789,680,149,493,18,
"Anniesland West",538,443,311,264,27,265,304,167,285,11,63,165,70,93,6,33,111,43,35,2,19,45,34,12,0,922,1065,619,689,47,
"Blairdardie East",354,197,554,76,20,248,248,173,74,14,80,129,122,32,2,24,121,87,27,1,16,39,49,7,6,724,737,986,221,43,
"Blairdardie West",180,53,56,13,6,230,118,45,22,1,73,135,22,4,1,27,118,18,9,1,13,31,15,7,0,526,459,156,51,7,
"Drumchapel South",74,52,269,16,10,55,59,131,23,2,23,37,82,14,3,6,31,70,9,9,4,10,47,9,2,157,190,599,74,27,
"Drumchapel North",42,26,564,17,9,35,33,311,22,0,8,28,206,6,3,1,31,114,13,4,2,14,79,5,4,90,132,1274,63,20,
"Drumry East",35,26,537,19,14,20,43,306,17,2,14,27,197,11,2,2,20,114,6,5,1,11,94,5,1,75,123,1250,60,22,
"Drumry West",67,74,348,30,7,62,97,211,17,2,25,68,165,12,0,12,77,98,7,1,3,38,68,2,0,169,354,886,73,10,
"Lochaber West",390,71,191,113,29,498,179,94,99,44,104,111,39,31,10,56,94,20,22,6,29,30,15,9,3,1080,482,363,276,95,
"Fort William North",284,96,270,43,18,335,152,171,48,12,60,136,105,12,0,36,125,50,9,4,7,54,33,3,1,722,563,635,115,35,
"Fort William South",329,204,501,119,16,325,199,240,92,15,77,125,129,34,1,27,120,95,18,0,11,30,26,7,3,766,686,991,271,38,
"Lochaber East and North",385,121,222,83,46,499,205,106,66,32,98,107,43,24,8,46,120,32,15,10,18,39,16,10,3,1043,592,421,197,99,
"Badenoch and Strathspey South",287,67,128,75,25,406,141,61,73,19,70,65,34,25,1,23,78,13,21,6,11,42,10,3,0,798,390,246,197,48,
"Badenoch and Strathspey Central",358,125,240,111,25,413,187,131,123,10,70,106,52,30,3,37,112,34,19,4,12,39,17,7,1,892,569,471,293,43,
"Badenoch and Strathspey North",341,100,139,88,32,484,163,77,95,19,91,96,29,33,9,42,108,14,21,4,19,45,11,19,1,977,507,273,250,64,
"Nairn Rural",317,99,65,105,31,551,217,34,125,27,75,146,26,43,6,44,173,25,29,1,19,59,17,15,2,1005,689,167,317,69,
"Nairn East",330,112,222,148,21,308,133,100,86,6,55,77,45,43,2,16,70,26,13,0,2,12,18,5,0,714,402,412,292,32,
"Nairn West",372,87,228,56,20,462,149,72,36,8,84,96,39,24,0,47,115,19,8,2,7,35,18,8,1,976,486,377,132,31,
"Inverness East Rural",283,142,93,100,23,448,285,79,119,24,106,168,56,30,6,57,171,51,38,15,34,73,24,18,4,929,843,296,308,71,
"Inverness Culloden and Balloch",336,143,71,81,9,381,167,30,54,3,81,111,15,13,0,25,162,14,14,0,5,59,7,4,1,828,642,140,165,11,
"Inverness Smithton",186,121,126,147,17,202,159,68,59,1,48,74,48,20,1,9,85,25,13,0,5,30,13,4,2,451,469,280,243,20,
"Inverness Westhill",347,242,132,82,14,501,352,86,93,7,123,234,64,40,0,55,228,29,18,1,11,78,17,6,2,1037,1136,328,239,21,
"Inverness Inshes",245,304,78,165,10,314,344,76,157,8,76,226,53,36,2,48,275,38,35,1,14,71,28,8,0,696,1223,269,401,21,
"Inverness Slackbuie",110,175,81,73,4,144,230,52,104,4,40,173,12,38,5,26,211,13,16,2,11,61,11,8,1,333,849,171,243,16,
"Inverness Lochardil and Holm Mains",480,207,97,101,14,570,316,53,95,8,117,212,31,33,5,36,246,20,22,1,9,83,8,10,1,1217,1069,211,256,28,
"Inverness Drummond",268,116,171,40,8,282,131,95,64,3,55,92,65,27,2,17,76,25,17,4,9,29,13,3,0,632,445,373,147,15,
"Inverness Hilton",253,177,263,135,16,210,120,101,85,2,58,98,59,24,0,18,90,39,23,1,4,22,19,6,0,539,504,479,273,24,
"Inverness Drakies",204,74,1,28,8,241,117,0,28,1,66,87,2,18,1,15,82,2,10,0,5,18,2,4,1,531,380,9,84,11,
"Inverness Central, Raigmore and Longman",314,160,382,273,24,175,114,127,173,6,28,55,48,82,1,13,75,28,64,1,8,18,26,29,1,538,422,611,617,33,
"Inverness Crown and Haugh",461,160,117,180,17,389,143,37,109,7,83,83,12,38,0,33,116,8,20,1,20,22,0,6,1,987,524,175,354,28,
"Inverness Ballifeary and Dalneigh",345,171,344,89,30,202,142,178,92,3,64,84,106,37,3,20,75,57,23,2,6,27,34,8,0,637,493,723,248,40,
"Inverness Muirtown",296,203,434,239,26,218,158,163,163,7,32,61,35,35,0,17,45,29,17,0,2,18,7,11,0,567,486,667,465,33,
"Inverness Merkinch",104,77,691,61,14,72,72,327,38,3,17,26,151,9,1,3,15,82,10,4,2,11,53,4,1,194,195,1310,120,24,
"Inverness Scorguie",350,164,42,130,10,298,149,15,66,4,63,73,8,17,1,25,64,2,6,0,6,21,0,5,1,743,471,68,223,16,
"Inverness Kinmylies and South West",225,142,194,52,7,284,186,121,67,7,60,147,53,25,1,14,144,36,18,4,7,49,16,4,0,598,672,422,174,17,
"Inverness West Rural",271,96,102,77,18,370,160,40,64,11,85,116,25,26,2,29,94,11,16,3,15,34,5,7,0,770,504,185,190,34,
"Inverness West Strathglass",193,74,41,42,13,356,126,33,58,10,91,78,19,14,2,42,89,24,15,3,8,43,12,10,3,691,410,129,142,23,
"Loch Ness",367,107,119,94,32,520,231,55,83,40,89,99,25,38,5,48,111,16,22,0,26,34,9,15,1,1050,582,224,248,78,
"Lochalsh",237,61,174,54,25,304,104,55,36,9,48,51,33,12,2,25,50,25,6,2,7,19,14,5,3,621,286,304,115,42,
"Skye South",380,89,179,65,20,458,129,68,28,10,74,61,24,14,4,45,59,28,20,3,21,26,8,3,1,978,364,308,134,38,
"Skye North East",314,102,294,80,17,269,123,124,31,4,62,73,43,9,4,29,63,43,11,1,7,35,19,6,5,681,396,515,141,34,
"Skye North West",327,77,77,47,27,478,139,25,35,16,96,72,20,12,1,44,71,10,10,6,25,39,5,3,1,970,398,135,109,51,
"Ross and Cromarty South West",348,67,133,53,33,426,103,45,51,16,50,32,25,19,10,26,47,10,8,4,11,27,7,7,2,858,277,217,140,68,
"Ross and Cromarty North West",316,82,129,57,18,383,86,54,51,17,74,59,33,16,8,44,57,15,12,7,10,20,14,5,1,830,297,247,139,50,
"Ross and Cromarty Central",253,56,53,65,23,367,140,47,80,22,76,66,31,20,7,41,69,14,16,6,21,45,13,8,1,761,377,158,191,63,
"Ross and Cromarty East",207,70,38,53,21,351,125,29,44,11,70,82,17,20,2,37,79,19,15,3,9,37,13,1,0,674,393,114,133,41,
"Muir of Ord",222,108,128,52,12,301,172,94,49,7,52,113,42,18,3,29,109,21,15,1,8,36,21,10,0,613,538,306,145,24,
"Conon",281,89,131,37,21,355,165,91,48,8,80,111,52,11,1,44,106,41,7,0,9,46,19,4,3,769,521,334,111,32,
"Dingwall",358,166,346,163,27,392,169,167,67,14,84,115,84,36,4,41,129,45,22,0,14,46,24,18,2,892,622,666,306,48,
"Black Isle South",238,58,47,42,10,294,142,36,35,9,68,82,40,23,5,30,88,20,12,0,8,28,0,4,0,641,399,145,114,24,
"Black Isle Fortrose and Avoch",316,76,121,55,26,437,144,70,62,7,102,110,30,31,1,37,112,18,14,0,17,51,8,5,1,907,493,247,167,37,
"Black Isle North",243,70,53,63,16,460,137,42,38,15,122,87,23,21,2,48,103,7,12,1,22,42,8,7,1,891,435,133,141,34,
"Alness",318,133,501,68,31,349,210,302,56,9,66,135,169,30,4,23,127,104,23,5,7,38,77,6,5,765,643,1150,186,48,
"Invergordon",263,91,332,75,25,318,142,195,48,7,73,81,74,21,1,36,121,53,14,0,7,30,40,8,1,693,465,694,164,34,
"Seaboard",299,84,184,122,18,479,154,103,72,20,86,87,54,20,3,40,90,30,15,0,15,48,25,16,0,916,461,395,245,45,
"Tain",235,107,248,75,24,298,112,119,53,8,45,80,70,26,1,19,83,34,18,2,9,45,24,5,0,606,427,499,177,38,
"Sutherland South",581,136,243,107,48,768,206,124,104,35,149,103,40,33,7,55,101,26,25,8,23,39,14,16,4,1576,584,447,283,100,
"Sutherland East",435,86,247,86,36,478,120,95,67,16,78,72,35,8,6,30,71,34,7,6,10,36,14,6,4,1034,389,429,174,68,
"Caithness South",272,56,90,43,26,393,114,34,36,14,87,71,21,7,3,48,80,9,7,2,13,22,4,8,2,808,343,156,107,47,
"Wick South",262,86,341,98,24,235,112,130,32,10,55,84,61,13,1,26,67,34,8,2,6,32,26,5,0,589,378,588,160,33,
"Wick North",231,94,221,46,15,278,97,83,21,8,60,67,41,7,4,28,92,24,2,1,9,28,15,7,1,606,378,387,84,28,
"Caithness North East",335,78,109,51,20,450,125,49,41,10,86,89,19,15,1,59,84,12,7,3,33,48,4,5,0,957,422,193,116,34,
"Caithness North West",358,109,179,117,28,563,198,61,59,19,117,126,21,15,4,73,135,14,19,4,25,52,7,7,4,1136,621,282,217,59,
"Thurso East",355,175,401,136,26,379,127,166,52,9,60,89,68,7,1,30,75,37,4,0,4,21,23,3,0,824,485,691,207,36,
"Thurso West",247,78,128,50,9,243,90,78,22,4,49,52,48,16,2,25,94,27,5,1,11,19,28,7,0,571,333,309,104,15,
"Sutherland North and West",384,58,160,64,40,403,105,44,36,30,84,47,38,17,9,35,37,13,8,7,11,24,12,10,0,917,269,267,134,86,
"Kilmacolm Central",354,80,40,67,7,307,135,17,50,6,56,105,7,21,0,31,112,3,12,0,8,42,1,1,0,753,474,68,156,14,
"Kilmacolm, Quarriers, Greenock Upper East/Central",128,47,18,46,7,261,110,12,40,2,38,75,10,12,1,22,82,2,5,3,12,24,4,5,0,463,341,47,112,12,
"Inverkip and Wemyss Bay",302,127,21,83,16,600,289,10,45,1,154,278,3,23,1,79,342,3,8,0,17,73,2,4,1,1152,1107,39,165,19,
"West Braeside and West Gourock",241,46,0,20,4,363,95,3,13,1,54,74,2,4,0,25,84,3,5,0,6,30,0,0,0,689,332,8,42,4,
"Gourock Upper and West Central",453,163,47,125,18,378,195,33,81,7,71,149,22,31,3,41,158,12,22,0,13,37,0,4,0,951,702,115,259,28,
"Gourock Central and Upper East",352,193,210,212,10,314,160,81,85,3,73,103,32,18,0,30,91,8,8,0,5,24,3,1,0,775,574,335,326,13,
"Braeside, Branchton, Ravenscraig",177,83,134,20,4,239,129,106,34,2,73,104,64,23,4,31,99,40,9,0,4,32,26,2,0,527,444,374,89,11,
"Larkfield",171,54,213,24,9,177,84,191,37,1,54,92,139,28,0,22,74,86,28,0,8,33,69,20,0,428,337,695,134,11,
"Bow Farm, Fancy Farm and Mallard Bowl",278,130,383,78,11,255,179,228,62,4,100,144,165,35,0,30,92,94,23,0,6,24,45,6,0,669,569,911,203,15,
"Gourock East, Greenock West and Lyle Road",471,93,50,81,11,606,185,13,24,13,107,138,8,16,4,50,185,2,14,1,11,52,3,7,1,1245,653,78,138,29,
"Greenock West and Central",499,239,441,277,24,345,196,146,172,6,78,131,47,57,2,37,105,11,34,0,10,45,7,10,3,967,715,652,553,35,
"Gateside, Pennyfern, Cowdenknowes, Overton and upper Drumfrochar",282,112,122,57,13,338,160,59,38,2,97,162,27,9,3,53,140,17,8,0,13,34,5,4,0,787,606,230,113,18,
"Greenock Upper Central",314,135,737,245,25,163,85,232,78,3,54,62,75,17,2,33,66,23,14,1,10,20,8,12,0,574,363,1075,360,26,
"Greenock Town Centre and East Central",352,175,843,267,23,208,113,270,99,2,56,73,91,50,3,30,62,58,30,1,8,27,25,11,1,654,447,1290,456,30,
"Greenock Upper East",149,62,192,42,4,170,94,162,24,5,63,86,124,19,1,20,71,53,22,1,4,18,54,6,0,406,331,585,113,13,
"Greenock Lower East",134,87,431,58,4,113,147,246,47,3,54,121,97,9,2,11,102,56,12,2,0,25,22,5,0,314,483,852,131,12,
"Port Glasgow Upper, West and Central",340,158,392,171,25,369,215,125,72,0,107,164,72,42,3,37,145,28,25,0,12,53,28,13,1,863,735,644,324,29,
"Port Glasgow Mid, East and Central",250,99,296,53,9,231,137,210,34,1,71,88,112,18,2,20,82,59,9,1,4,28,41,13,2,579,434,718,127,15,
"Port Glasgow Upper East",275,119,279,42,10,272,150,188,43,3,92,129,118,34,0,27,118,61,32,1,20,46,38,9,0,687,560,681,163,15,
"Rural South Midlothian",134,101,94,60,5,230,235,63,60,11,55,162,26,35,2,27,194,20,25,0,19,49,7,8,0,465,741,212,185,21,
"Penicuik Southeast",260,123,246,83,15,325,169,95,71,0,61,100,46,17,0,27,98,32,13,0,14,30,10,9,0,687,523,431,192,16,
"Penicuik Southwest",244,76,86,25,7,372,141,71,29,4,82,128,29,16,0,36,131,27,14,1,8,33,18,5,0,743,509,231,89,13,
"Penicuik East",112,44,165,19,8,154,100,121,18,2,42,75,59,14,1,15,67,39,14,0,4,19,29,11,0,327,303,417,75,11,
"Penicuik North",198,85,60,8,4,302,167,66,24,3,67,135,25,11,0,27,126,24,5,1,7,28,14,9,0,602,541,189,60,11,
"Pentland",142,128,41,42,4,259,268,62,73,6,56,189,25,47,2,26,246,8,54,3,6,64,10,25,0,489,895,149,240,15,
"Roslin and Bilston",209,89,131,40,10,257,156,80,34,12,58,94,52,22,2,20,130,31,8,3,13,56,24,1,0,557,522,313,105,27,
"Straiton",274,59,83,23,6,246,100,71,23,2,46,68,32,11,0,24,72,14,9,0,10,20,11,1,0,600,323,211,71,9,
"Loanhead",262,120,177,36,12,311,144,111,51,0,45,123,64,28,0,29,102,36,15,0,14,38,14,7,0,658,526,401,135,16,
"Poltonhall",214,90,203,16,10,324,199,187,48,6,56,149,126,23,2,24,123,45,13,0,10,51,28,9,0,625,612,587,109,18,
"Bonnyrigg North",353,134,268,75,20,441,246,137,64,7,95,155,83,31,2,30,163,59,30,2,16,44,33,13,0,935,748,582,215,35,
"Hopefield",113,164,26,21,8,167,262,29,45,5,43,235,36,19,0,44,342,29,10,1,14,105,36,3,1,377,1108,154,100,19,
"Dalhousie",151,53,32,9,5,281,213,22,17,2,81,232,22,22,1,47,242,13,12,0,11,87,8,6,0,571,831,99,67,7,
"Eskbank and Newbattle",329,121,50,46,11,582,251,20,63,4,100,194,16,11,2,53,225,4,15,1,10,60,5,4,1,1075,853,91,143,18,
"Danderhall, Shawfair and Midlothian North",220,115,164,36,11,288,342,120,61,2,84,260,66,16,4,36,249,49,25,2,4,64,27,12,0,628,1029,427,157,18,
"Woodburn",177,116,243,47,8,225,237,193,60,11,63,176,131,21,1,29,201,73,13,0,7,52,41,5,0,496,778,681,145,20,
"Dalkeith",141,82,328,77,15,132,87,180,58,4,16,56,77,26,1,17,38,59,28,4,4,17,27,4,0,306,280,665,193,21,
"Rural North East Midlothian",146,87,132,49,6,268,217,87,51,6,51,164,57,21,3,34,185,37,22,1,19,59,30,8,1,518,715,341,151,19,
"Pathhead and Rural South East Midlothian",101,57,75,34,7,207,220,68,47,11,49,161,36,15,0,13,179,29,21,2,13,54,13,7,0,383,671,221,120,18,
"Easthouses",135,69,125,20,7,161,108,118,20,4,32,72,94,12,2,12,93,63,17,1,4,29,67,9,1,340,371,459,78,16,
"Mayfield",200,101,314,29,11,191,151,232,32,1,51,135,140,24,3,20,95,109,20,1,6,34,73,10,0,468,513,869,111,22,
"Newtongrange",222,114,278,48,4,262,179,179,66,5,58,101,80,21,0,25,113,52,14,0,9,24,29,11,1,573,534,620,164,9,
"North Gorebridge",104,110,229,50,10,109,167,132,47,5,27,124,113,21,0,16,86,80,13,0,6,45,41,9,0,259,532,594,137,16,
"Gorebridge and Birkenside",133,102,163,35,9,178,129,129,34,1,49,111,88,20,0,19,106,71,10,0,7,35,54,7,1,388,482,503,102,11,
"Aberlour, South Speyside and the Cabrach",359,99,166,93,41,503,142,81,86,33,89,83,40,36,8,45,105,17,17,5,17,39,19,11,2,1013,468,321,243,89,
"Rothes and North Speyside",216,58,132,47,22,289,106,51,50,21,51,74,24,21,6,27,67,13,8,3,7,22,14,11,1,589,327,234,133,54,
"Rural Keith and Strathisla",218,52,35,50,21,325,116,20,41,12,61,76,11,24,3,44,84,8,16,3,22,31,4,4,4,671,359,78,131,40,
"Keith and Fife Keith",381,153,329,112,35,409,147,127,55,10,72,90,64,29,1,43,94,44,14,0,10,32,27,12,1,915,512,590,228,46,
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",349,80,144,47,27,570,176,98,39,12,99,84,55,22,8,37,95,21,7,1,9,40,15,4,0,1064,477,336,116,45,
"Buckie Central East",244,81,278,31,16,319,107,146,38,6,56,73,72,9,4,21,101,48,18,1,8,33,20,0,0,647,397,564,98,28,
"Buckie West, Buckpool and Mains of Buckie",351,168,277,104,24,449,207,105,44,9,73,145,57,25,1,43,199,58,14,6,6,67,37,7,0,922,783,533,192,40,
"Mosstodloch, Portgordon, Urquhart and seaward",318,101,103,44,10,531,207,84,56,18,88,112,39,24,3,48,102,24,19,0,7,38,17,10,0,994,555,265,153,32,
"Fochabers, Aultmore, Clochan and Ordiquish",190,43,108,48,14,251,85,64,38,6,40,63,32,13,0,20,68,9,7,3,9,25,8,8,0,513,284,224,114,25,
"Heldon West, Miltonduff and Fogwatt to Inchberry",131,41,7,34,9,311,130,4,62,9,50,68,3,12,1,31,75,2,11,0,8,40,1,4,2,528,353,17,126,21,
"Lhanbryde, Troves, Pitgavney and seaward",152,69,138,46,11,200,113,96,35,5,35,59,32,8,0,14,56,21,9,0,1,15,8,9,0,404,314,297,107,16,
"Elgin Central East, Kingsmills, Ashgrove and Pinefield",231,128,402,149,25,216,121,221,118,6,27,68,111,45,4,9,51,70,37,1,3,10,36,12,0,486,378,840,361,33,
"New Elgin East and The Wards",223,163,335,102,11,292,222,145,91,3,66,191,81,40,1,24,179,52,24,0,8,48,45,17,0,613,805,663,268,12,
"New Elgin West",254,155,170,57,14,356,204,95,58,4,85,175,34,37,0,27,175,24,20,0,6,43,15,7,1,731,752,337,185,20,
"Elgin Central West",302,76,75,111,18,386,105,13,60,5,67,86,5,22,1,23,96,4,13,3,10,32,1,10,1,783,395,90,218,28,
"Elgin Bishopmill East, Ladyhill and High Street",251,115,244,172,12,229,157,103,75,4,52,113,57,35,0,16,84,34,22,0,6,14,19,5,0,555,483,457,306,18,
"Elgin Bishopmill West and Newfield",163,68,180,61,14,252,129,63,111,9,51,112,32,87,0,24,149,19,74,0,8,44,22,47,1,498,502,312,378,24,
"Lossiemouth East and Seatown",273,99,117,120,16,340,157,65,64,9,55,82,27,17,2,12,93,12,19,0,6,32,8,4,0,686,460,229,226,32,
"Lossiemouth West",150,102,155,61,6,211,117,111,63,5,42,76,67,44,2,9,90,37,54,2,6,24,22,25,1,425,406,391,246,17,
"Burghead, Roseisle and Laich",395,96,84,71,26,520,193,51,59,11,97,139,20,28,2,41,132,19,20,4,19,53,12,7,1,1075,610,194,185,41,
"Kinloss, Alves and Pluscarden Valley",110,62,32,62,10,173,97,24,86,8,25,65,12,47,3,18,73,13,55,2,5,43,3,27,0,335,340,84,277,22,
"Forres Central East",494,104,311,152,25,435,114,69,73,6,62,82,24,8,0,25,90,13,10,0,11,27,7,10,0,1027,416,424,256,31,
"Forres South West, Pilmuir and Mannachie",361,146,296,100,19,455,273,202,114,8,94,163,93,40,3,28,193,79,20,3,7,44,55,10,1,945,815,724,288,34,
"Findhorn, Rafford, Dallas, Dyke to Dava",304,67,43,114,15,447,140,13,112,21,81,59,9,35,7,37,90,8,27,8,19,25,8,15,1,894,380,82,303,53,
"Barra and South Uist",372,57,129,47,20,303,70,53,36,10,82,52,25,18,2,52,43,18,11,2,34,40,6,5,1,843,262,229,117,39,
"Benbecula and North Uist",324,58,134,50,15,283,81,45,20,8,84,55,13,8,5,45,59,15,11,3,23,24,12,7,4,762,277,217,96,35,
"South Lewis",601,66,166,47,46,518,128,55,32,17,111,73,34,13,2,56,80,27,3,1,20,38,8,4,10,1304,385,290,99,76,
"Northwest Lewis",466,65,123,43,27,467,127,38,18,15,119,62,26,9,8,65,79,10,4,5,33,37,6,7,6,1146,366,203,78,61,
"Broadbay",289,74,73,31,22,292,110,72,16,13,88,102,36,10,1,56,122,26,7,2,23,63,6,4,0,750,466,213,72,35,
"Stornoway West",292,130,334,76,18,217,88,95,35,14,48,54,28,11,2,11,72,29,4,0,10,17,15,3,0,580,357,498,130,35,
"Stornoway East",272,98,180,50,24,214,95,90,25,13,54,50,41,13,4,30,53,22,5,1,6,15,10,3,0,582,313,341,96,44,
"Point to Sandwick",256,87,94,12,18,301,104,39,14,15,77,69,32,7,1,30,89,16,3,2,15,34,4,2,0,679,386,184,35,36,
"Arran",477,95,172,87,32,571,144,77,69,20,103,66,37,28,7,48,90,29,19,3,26,42,14,8,1,1229,433,326,211,64,
"Springside and Rural",152,50,139,36,11,219,107,70,24,8,47,66,29,25,1,18,51,13,13,1,4,15,7,10,0,440,292,265,108,20,
