SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household composition - 10 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over","One person household: Aged under 66","One family household: All aged 66 and over","One family household: Couple family: No children","One family household: Couple family: With dependent children","One family household: Couple family: All children non-dependent","One family household: Lone parent: With dependent children","One family household: Lone parent: All children non-dependent","Other household types: With dependent children","Other household types: Other (including all full-time students and all aged 66 and over)","Total",
"Data Zone (2022)",
"S01013844",46,63,34,96,79,30,12,10,0,7,371,
"S01013845",39,59,22,54,29,20,7,12,0,4,242,
"S01013846",19,34,29,63,60,23,8,6,3,5,245,
"S01013847",23,37,24,48,81,20,9,6,4,2,251,
"S01013848",15,25,25,56,81,15,3,3,1,4,231,
"S01013849",2,21,2,26,76,13,17,10,3,6,179,
"S01013850",2,7,3,31,141,7,8,4,4,1,209,
"S01013851",5,20,6,41,89,15,22,7,7,1,215,
"S01013852",4,12,3,26,99,6,7,7,2,2,166,
"S01013853",26,70,18,71,99,19,36,21,4,11,370,
"S01013854",65,51,29,65,54,29,18,18,7,4,337,
"S01013855",31,20,43,49,55,15,4,7,2,5,230,
"S01013856",38,34,37,103,111,29,10,9,3,4,372,
"S01013857",57,56,68,91,101,20,21,9,4,6,434,
"S01013858",29,28,36,97,88,24,9,6,3,4,330,
"S01013859",35,32,30,68,83,17,12,7,7,2,295,
"S01013860",62,45,50,112,125,25,10,8,7,11,453,
"S01013861",26,21,29,65,58,28,4,7,4,8,251,
"S01013862",62,46,66,107,79,31,9,3,6,5,414,
"S01013863",59,57,15,31,21,11,20,14,0,4,234,
"S01013864",12,22,12,63,127,8,10,4,1,1,258,
"S01013865",66,58,51,65,68,19,16,6,0,5,345,
"S01013866",70,57,25,46,61,9,22,11,4,1,306,
"S01013867",18,57,6,51,130,12,37,13,8,1,332,
"S01013868",83,117,64,87,71,17,12,9,2,11,480,
"S01013869",42,8,51,41,45,15,6,5,4,1,218,
"S01013870",57,30,72,64,48,19,6,5,0,7,308,
"S01013871",78,60,53,92,116,36,15,17,1,8,465,
"S01013872",38,30,42,65,45,20,7,7,0,2,256,
"S01013873",35,43,36,57,81,31,11,4,5,0,303,
"S01013874",15,15,36,51,74,13,14,1,1,5,232,
"S01013875",119,44,98,75,95,22,6,4,3,12,478,
"S01013876",39,57,42,79,78,23,13,8,5,8,356,
"S01013877",74,60,47,55,66,15,15,6,3,6,335,
"S01013878",45,76,60,88,88,27,13,13,5,11,421,
"S01013879",44,54,57,130,109,32,9,3,8,9,458,
"S01013880",50,81,36,71,51,21,6,3,2,7,330,
"S01013881",47,36,35,66,42,17,9,5,1,10,268,
"S01013882",16,31,23,76,83,20,22,4,2,6,286,
"S01013883",23,32,39,65,48,16,4,0,3,6,237,
"S01013884",102,49,45,59,45,19,11,11,2,3,345,
"S01013885",44,41,35,50,48,15,7,9,0,0,249,
"S01013886",31,55,21,49,108,12,32,10,0,2,320,
"S01013887",43,56,59,106,107,26,7,17,5,6,435,
"S01013888",38,88,40,47,84,14,30,6,3,1,351,
"S01013889",13,24,27,67,51,12,6,1,2,2,211,
"S01013890",25,43,33,72,82,23,10,11,5,4,310,
"S01013891",47,70,43,41,56,26,32,24,5,6,347,
"S01013892",71,44,54,62,61,24,17,13,5,3,352,
"S01013893",58,63,31,87,126,23,28,14,6,4,443,
"S01013894",39,82,29,50,73,15,24,15,3,7,336,
"S01013895",23,34,31,52,41,16,19,5,2,1,228,
"S01013896",102,88,81,83,58,21,22,9,2,6,470,
