SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Type of accomodation and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached",,,"Whole house or bungalow: Semi-detached",,,"Whole house or bungalow: Terraced (including end-terrace)",,,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",,,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",,,"Flat, maisonette or apartment: In a commercial building",,,"Caravan or other mobile or temporary structure",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Pathhead and Rural South East Midlothian",576,11,56,281,88,42,171,67,33,9,57,11,9,0,2,0,0,0,0,0,0,1050,221,146,
"Easthouses",84,32,12,347,157,37,240,156,24,37,112,20,1,2,0,2,0,2,2,0,0,711,459,94,
"Mayfield",95,32,7,240,175,36,587,377,48,56,281,38,0,0,2,4,4,0,0,0,0,985,869,131,
"Newtongrange",184,50,27,336,120,43,384,272,38,195,169,58,2,4,4,6,1,4,2,1,0,1110,620,171,
"North Gorebridge",196,23,2,199,209,23,225,97,23,165,268,101,4,0,8,1,0,0,0,0,0,791,594,153,
"Gorebridge and Birkenside",228,7,15,339,172,31,155,101,13,132,223,50,12,0,6,3,0,1,1,0,0,870,503,116,
"Aberlour, South Speyside and the Cabrach",797,20,178,461,120,84,178,96,35,35,79,21,3,8,4,6,0,9,1,0,0,1481,321,332,
"Rothes and North Speyside",516,5,99,238,103,45,136,113,31,15,13,9,5,0,3,3,0,4,6,0,0,916,234,191,
"Rural Keith and Strathisla",832,2,117,151,66,42,38,8,3,3,2,7,0,0,3,0,0,0,10,0,4,1033,78,174,
"Keith and Fife Keith",606,28,46,497,201,101,272,251,61,18,107,44,11,2,9,21,1,10,3,0,0,1427,590,273,
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",928,13,78,492,204,51,94,71,18,10,43,12,5,5,4,8,0,0,1,0,0,1541,336,164,
"Buckie Central East",391,20,16,456,137,48,163,253,22,13,147,23,19,6,12,0,0,4,0,0,0,1044,564,126,
"Buckie West, Buckpool and Mains of Buckie",800,29,39,652,287,67,188,76,26,49,138,70,8,4,25,8,0,5,0,0,0,1705,533,232,
"Mosstodloch, Portgordon, Urquhart and seaward",974,9,103,407,160,66,143,64,9,16,29,5,8,5,4,0,0,0,1,0,0,1553,265,185,
"Fochabers, Aultmore, Clochan and Ordiquish",530,9,56,171,104,44,76,66,20,11,44,13,2,0,3,3,0,3,4,0,0,797,224,140,
"Heldon West, Miltonduff and Fogwatt to Inchberry",715,4,86,126,10,45,21,0,11,4,0,1,1,0,0,0,0,0,14,0,2,881,17,147,
"Lhanbryde, Troves, Pitgavney and seaward",355,11,44,185,66,37,129,135,10,44,84,24,3,1,6,0,0,1,2,0,1,718,297,123,
"Elgin Central East, Kingsmills, Ashgrove and Pinefield",163,41,36,172,244,113,291,195,51,179,349,178,17,11,10,2,0,2,37,0,2,861,840,394,
"New Elgin East and The Wards",476,31,26,654,282,72,186,69,30,98,272,139,6,6,12,2,0,0,0,0,0,1418,663,283,
"New Elgin West",561,12,38,602,173,79,236,74,31,82,73,51,3,2,2,0,0,2,0,0,0,1479,337,205,
"Elgin Central West",755,8,36,257,17,40,76,23,32,69,47,106,19,0,27,0,0,4,0,0,0,1178,90,246,
"Elgin Bishopmill East, Ladyhill and High Street",249,19,21,350,145,61,318,106,57,96,179,147,13,5,21,11,0,16,1,0,0,1038,457,324,
"Elgin Bishopmill West and Newfield",586,11,112,218,70,195,136,76,38,57,154,53,2,2,6,0,0,2,0,0,0,1000,312,402,
"Lossiemouth East and Seatown",409,16,30,391,97,57,246,69,43,76,46,100,19,1,20,2,0,3,6,0,0,1149,229,253,
"Lossiemouth West",245,13,42,291,151,153,232,174,31,56,52,31,8,0,6,0,1,0,0,0,0,828,391,261,
"Burghead, Roseisle and Laich",1075,6,99,396,114,61,159,54,24,36,15,33,8,4,8,6,0,4,6,0,2,1685,194,230,
"Kinloss, Alves and Pluscarden Valley",300,4,74,159,46,158,200,27,30,10,2,21,0,0,5,2,1,0,3,3,7,675,84,299,
"Forres Central East",702,7,44,405,45,68,152,88,50,137,277,106,12,8,14,31,0,8,1,0,1,1443,424,287,
"Forres South West, Pilmuir and Mannachie",728,19,42,581,271,83,379,296,70,76,131,125,0,5,6,0,1,0,2,0,0,1760,724,321,
"Findhorn, Rafford, Dallas, Dyke to Dava",920,1,229,166,57,65,69,16,33,16,7,16,8,0,6,3,0,2,93,0,8,1277,82,356,
"Barra and South Uist",972,17,106,102,148,31,21,35,11,0,23,0,1,2,0,3,2,3,4,0,0,1105,229,152,
"Benbecula and North Uist",856,14,82,92,117,32,84,67,13,5,19,0,0,0,1,2,0,2,3,2,0,1041,217,131,
"South Lewis",1521,18,138,130,181,28,27,67,1,0,23,0,2,1,0,0,0,6,7,0,0,1689,290,175,
"Northwest Lewis",1407,2,129,97,184,5,2,10,2,3,8,0,0,0,0,0,0,2,3,0,0,1512,203,135,
"Broadbay",1113,16,89,87,177,15,12,14,1,2,6,0,1,0,0,2,0,0,0,0,0,1216,213,107,
"Stornoway West",459,13,38,213,137,23,179,83,31,79,249,54,3,2,7,5,4,10,2,0,0,937,498,166,
"Stornoway East",385,42,34,269,133,47,177,81,24,63,87,30,0,1,5,0,0,0,0,0,0,895,341,140,
"Point to Sandwick",904,15,58,130,155,12,30,14,2,1,4,1,1,0,0,0,0,1,0,0,0,1065,184,70,
"Arran",1170,7,133,335,167,74,111,96,29,13,54,11,13,2,11,7,0,9,13,0,9,1662,326,275,
"Springside and Rural",307,12,26,202,82,54,152,107,32,28,66,15,4,2,0,0,0,0,33,0,3,732,265,125,
"Irvine Tarryholme",462,8,13,431,72,12,75,47,13,117,101,40,1,0,2,0,0,0,0,0,0,1091,229,83,
"Dreghorn",223,7,13,311,80,26,459,200,66,64,81,52,5,0,2,1,0,4,0,0,0,1061,368,161,
"Irvine Broomlands",20,9,9,79,59,22,510,262,124,6,46,18,1,3,0,0,0,2,0,0,0,614,381,177,
"Irvine Bourtreehill",19,19,7,55,86,29,363,305,90,2,24,10,1,2,2,0,10,0,0,0,0,436,446,137,
"Irvine Girdle Toll and Staneca",202,16,12,404,114,51,520,258,92,85,75,57,3,1,0,0,0,0,0,0,0,1208,464,208,
"Irvine Perceton and Lawthorn",1131,14,25,329,143,41,297,272,39,21,24,7,3,2,1,0,5,1,1,0,0,1781,456,114,
"Irvine Castlepark North",133,11,12,78,64,29,485,267,152,67,178,61,0,1,0,2,0,1,8,6,0,775,527,255,
"Irvine Castlepark South",13,18,9,171,123,50,391,393,117,56,151,69,0,8,1,1,0,0,0,0,0,630,688,246,
"Irvine East",43,21,5,285,137,43,382,173,72,99,161,74,2,0,2,1,0,1,0,0,0,809,492,197,
"Irvine Central",220,12,9,281,80,27,206,195,49,188,187,183,23,13,5,2,1,12,0,0,2,919,488,286,
"Irvine Fullarton",42,13,8,52,93,20,115,213,23,271,346,132,9,12,3,6,1,4,0,1,0,495,679,188,
"Stevenston Ardeer",235,11,4,258,144,25,198,164,21,68,79,58,4,0,5,0,0,0,1,0,2,761,398,115,
"Saltcoats Central",68,11,12,219,109,24,135,107,36,378,489,305,43,2,15,9,0,11,0,0,0,851,720,401,
"Ardrossan Central",118,26,6,232,43,24,107,61,16,195,614,175,34,20,10,2,2,8,2,0,0,691,761,235,
"Ardrossan North West",501,3,17,418,41,30,110,54,25,152,131,84,15,2,4,0,2,0,1,0,1,1202,232,162,
"Ardrossan North East",177,35,9,510,230,62,303,347,70,30,149,19,1,4,2,0,0,0,2,0,0,1023,765,160,
"Saltcoats North West",639,15,15,345,17,22,85,17,8,148,83,66,9,0,5,0,0,0,0,0,0,1226,129,114,
"Saltcoats North East",175,22,7,591,284,89,356,293,80,57,83,36,5,0,1,0,0,0,0,0,0,1185,684,214,
"Stevenston North West",261,33,10,292,53,24,218,146,42,89,191,82,10,2,5,7,1,6,0,0,0,873,426,172,
"Stevenston Hayocks",124,19,7,303,218,58,330,290,63,109,191,67,2,2,1,0,0,1,0,0,0,870,716,198,
"Kilwinning Whitehirst Park and Woodside",1059,4,29,563,11,54,181,58,31,111,6,50,4,0,0,0,0,1,1,0,0,1914,79,167,
"Kilwinning Pennyburn",31,19,7,113,127,22,437,368,97,22,46,16,4,0,0,0,0,2,0,0,0,606,562,143,
"Kilwinning West and Blacklands",212,32,8,367,235,46,295,329,74,113,334,55,1,7,2,2,0,1,0,0,0,994,939,184,
"Kilwinning Central and North",330,11,10,385,217,40,159,134,38,115,262,114,10,6,7,5,4,6,0,0,0,1004,631,216,
"Dalry East and Rural",312,17,25,235,111,31,156,144,20,113,160,55,22,3,6,14,2,13,3,0,0,857,439,148,
"Dalry West",326,15,10,282,109,35,170,175,52,46,34,46,14,4,4,1,1,3,0,0,0,839,338,150,
"Fairlie and Rural",547,1,33,213,96,31,103,56,19,84,34,27,26,0,5,0,0,3,24,0,1,999,187,122,
"West Kilbride and Seamill",934,4,24,502,91,26,142,103,22,228,103,107,45,2,13,12,0,5,1,0,2,1867,304,198,
"Largs South",376,3,14,258,11,18,318,29,34,561,95,163,58,0,16,3,0,0,1,0,0,1575,138,243,
"Largs Central and Cumbrae",295,13,19,250,106,38,214,85,28,696,294,387,77,3,30,13,0,12,0,0,0,1556,499,517,
"Largs North",899,0,16,313,7,29,107,15,13,394,43,92,31,1,5,2,0,1,1,0,0,1747,63,153,
"Skelmorlie and Rural",559,7,38,129,44,14,82,24,8,244,8,57,80,1,12,1,0,0,2,0,0,1099,84,129,
"Kilbirnie North",250,13,12,339,225,29,156,163,42,100,76,52,18,4,1,6,2,3,0,0,0,866,483,142,
"Kilbirnie South and Longbar",84,25,5,265,242,25,430,356,59,204,219,88,13,0,4,0,0,0,0,0,0,1002,842,184,
"Beith West",343,11,12,329,121,25,178,150,35,57,76,34,4,0,5,0,0,2,2,0,0,911,358,111,
"Beith East and Rural",572,11,27,314,109,25,285,140,39,116,93,49,17,0,12,7,1,3,14,0,1,1322,357,157,
"Overtown",291,13,13,357,87,26,111,87,15,101,316,48,1,3,0,2,0,0,0,0,0,865,505,105,
"Netherton and Kirkhill",245,10,8,255,43,24,392,132,49,112,170,58,1,1,1,0,0,0,0,0,0,1010,355,138,
"Muirhouse",371,12,10,168,54,14,242,146,22,46,533,47,0,5,0,0,2,5,1,2,0,829,752,98,
"Muirhouse and Knowetop",417,3,12,356,30,15,151,32,19,215,141,81,7,0,3,0,0,1,2,0,2,1148,199,133,
"Flemington",303,5,7,229,37,13,135,41,15,146,802,62,8,3,0,0,4,3,2,1,3,828,893,103,
"Craigneuk Wishaw",164,20,13,250,186,38,212,316,25,142,671,155,1,11,1,2,1,9,0,0,0,773,1200,239,
"Pather",140,13,12,306,131,55,265,307,43,109,223,95,1,4,1,6,14,12,1,0,0,827,692,218,
"Wishaw South",330,9,13,274,153,39,297,225,43,203,567,146,18,13,3,15,5,14,0,0,1,1138,974,260,
"Wishaw North",488,4,27,676,137,61,416,193,52,295,380,197,20,0,2,8,3,8,0,0,0,1901,718,345,
"Coltness",222,14,6,403,149,41,380,241,63,11,113,13,1,4,0,0,0,0,0,0,0,1017,519,128,
"Wishaw East",206,4,3,521,45,44,167,80,30,27,130,28,0,0,1,2,0,0,0,0,0,923,255,106,
"Newmains",336,25,18,445,221,76,418,232,55,175,391,112,8,4,3,2,0,4,0,0,0,1392,871,268,
"Allanton - Newmains Rural",427,1,9,168,21,14,94,35,17,70,128,20,0,0,0,1,0,0,0,0,0,767,185,60,
"Shotts",233,21,12,354,135,32,406,337,69,134,190,79,4,0,0,6,0,3,1,0,0,1137,683,196,
"Stane",287,6,12,217,84,30,190,154,38,72,264,60,4,2,2,2,0,0,0,0,0,769,513,139,
"Harthill and Salsburgh",134,26,17,400,212,42,262,176,43,49,220,49,9,3,1,1,0,1,0,1,0,852,639,149,
"Salsburgh",481,3,10,175,10,21,110,65,4,139,189,37,3,0,0,1,0,2,0,1,0,911,271,70,
"Cleland",360,9,9,217,89,25,225,150,31,61,111,45,0,1,1,2,0,0,1,0,0,863,359,111,
"Dalziel and Hartwood",549,0,19,349,43,16,172,29,15,17,30,10,2,0,0,0,0,0,2,0,0,1089,99,60,
"Newarthill",138,2,8,366,92,32,226,156,26,120,145,58,2,0,2,3,0,2,0,0,0,855,396,127,
"Carfin North",340,17,18,311,107,20,341,252,33,55,99,43,0,1,0,0,0,0,0,1,0,1049,475,114,
"Clydesdale and New Stevenston",374,5,18,246,77,10,295,185,35,65,152,75,0,1,3,1,0,0,0,0,0,981,419,146,
"Carfin and Cleekhimin",496,10,16,337,142,23,226,191,31,207,376,140,2,3,5,1,1,0,1,0,0,1271,721,212,
"Motherwell South",60,6,6,142,34,11,227,109,39,179,982,220,3,7,2,5,3,19,0,0,0,616,1141,295,
"Ladywell",536,5,19,763,4,32,71,4,9,441,81,103,3,0,4,0,0,4,0,0,0,1814,94,175,
"Motherwell West",237,17,10,279,115,42,301,226,49,178,210,98,0,5,7,0,0,0,1,0,0,997,577,206,
"Motherwell North",119,15,9,250,155,20,167,202,26,47,163,27,1,5,4,0,2,0,0,0,0,583,541,80,
"Forgewood",124,9,10,359,146,38,250,168,23,187,656,225,5,8,3,0,4,3,0,0,0,926,993,299,
"Holytown",300,11,16,566,121,46,542,198,73,138,252,103,2,2,2,6,0,8,0,0,0,1557,583,250,
"Milnwood",86,15,6,600,129,40,339,159,37,202,446,122,8,4,0,0,0,6,0,0,0,1233,749,211,
"Orbiston",146,22,5,359,111,36,549,362,60,110,436,110,0,1,11,0,0,0,0,0,0,1165,926,225,
"Bellshill South",118,13,2,225,114,21,424,345,65,240,427,181,2,6,4,8,1,16,0,0,0,1017,906,292,
"Hattonrigg",208,4,9,150,23,22,356,129,22,46,27,39,1,0,0,0,0,0,0,0,0,761,184,94,
"Bellshill Central",175,7,16,274,98,43,205,151,40,175,399,129,2,1,1,3,1,1,0,0,0,835,658,230,
"Fallside",477,8,21,577,124,46,197,102,36,139,336,108,2,3,1,0,0,1,0,0,0,1394,570,213,
"Viewpark",79,35,10,304,223,28,667,563,72,88,124,35,0,1,0,1,0,0,0,0,0,1137,949,146,
"Birkenshaw",470,3,9,771,31,42,288,62,49,25,29,17,10,0,0,0,0,0,0,0,0,1565,129,113,
"Kirkwood and Bargeddie",366,31,11,265,129,25,576,307,65,281,347,69,4,4,2,1,0,0,0,0,0,1497,822,173,
"Kirkshaws",90,29,10,440,275,50,684,411,78,70,260,37,2,4,0,1,4,2,0,0,0,1288,979,172,
"Dundyvan",208,14,14,355,83,33,383,157,45,440,744,202,4,8,5,8,6,12,0,0,1,1395,1013,310,
"Drumpellier and Langloan",236,2,16,273,6,14,89,18,4,90,197,75,2,0,0,0,0,0,0,0,0,690,222,109,
"Coatbridge West",225,8,9,268,24,12,194,74,34,382,383,196,29,6,6,3,2,2,0,0,0,1097,501,260,
"Townhead",51,12,9,458,190,49,319,191,26,251,327,78,4,11,0,1,2,0,0,0,0,1083,733,168,
"Sunnyside and Cliftonville",125,4,4,205,9,14,215,30,16,476,557,303,36,0,11,2,3,14,0,0,0,1056,601,359,
"Cliftonville",90,3,5,267,20,25,100,10,19,242,177,98,2,1,3,6,1,2,0,0,0,704,212,154,
"Shawhead and Whifflet",201,15,10,219,39,20,443,134,59,127,234,41,1,0,0,0,0,2,0,0,0,991,426,131,
"Greenend and Carnbroe",620,9,33,798,81,53,143,97,25,122,343,69,1,0,2,2,3,0,0,0,1,1686,533,186,
"Calderbank and Brownsburn",249,14,10,348,66,19,270,154,39,100,146,41,5,3,1,0,0,1,0,0,2,971,387,112,
"Chapelhall West",135,5,4,286,52,28,285,114,23,63,57,26,0,0,0,0,0,0,0,0,0,772,229,80,
"Chapelhall East",505,7,29,255,58,26,294,46,55,81,101,45,1,0,0,0,0,5,0,0,0,1137,215,158,
"Craigneuk Airdrie",470,3,18,347,59,24,302,74,35,61,36,26,1,0,0,0,0,0,1,0,0,1182,172,103,
"Petersburn",63,25,7,226,227,41,352,403,64,40,139,56,1,6,0,0,0,2,0,0,0,678,800,169,
"Gartlea",69,9,4,170,46,20,103,62,16,326,355,117,2,1,2,1,0,0,0,0,0,675,467,158,
"Cairnhill",423,4,12,894,47,47,168,20,34,87,184,80,6,7,4,4,0,6,0,0,0,1582,261,181,
"Coatdyke and Whinhall",422,5,18,619,80,44,229,73,41,280,430,191,21,0,4,10,0,13,0,0,0,1581,588,315,
"Thrashbush",278,22,17,415,81,35,443,166,81,162,600,145,18,4,1,2,4,0,1,0,0,1318,871,272,
"Airdrie North",96,22,6,237,123,35,323,181,59,231,731,161,4,0,3,4,0,2,0,0,0,895,1058,265,
"Drumgelloch",337,11,14,389,65,37,201,71,25,280,317,146,20,0,6,3,0,3,0,0,0,1230,469,230,
"Caldercruix and Plains",527,36,53,352,185,44,474,281,71,84,224,102,3,4,2,0,1,2,2,0,0,1437,735,273,
"Glenmavis and Greengairs",1052,7,28,526,31,28,287,121,30,208,139,71,8,0,0,2,0,0,1,0,2,2089,298,166,
"Gartcosh",1063,2,15,304,18,10,280,59,16,100,59,36,4,0,0,4,0,0,1,0,0,1763,138,78,
"Marnoch and Glenboig",584,8,27,181,34,10,251,84,13,103,123,26,1,1,0,2,0,0,0,0,0,1118,250,76,
"Cardowan and Millerston",758,5,24,561,37,26,159,47,14,174,106,78,0,0,0,1,0,1,32,0,3,1685,195,146,
"Stepps",544,0,13,349,45,14,155,44,7,117,55,49,8,1,5,0,0,1,0,0,0,1173,145,87,
"Chryston and Muirhead",460,10,11,472,60,18,170,50,11,274,225,67,4,0,0,5,0,2,0,0,0,1385,348,111,
"Moodiesburn West",115,10,0,438,83,32,351,222,36,80,240,42,2,4,2,0,1,0,1,0,0,989,560,113,
"Moodiesburn East",379,4,10,465,18,19,180,44,17,50,69,26,2,0,0,0,0,0,0,0,0,1077,134,77,
"Westfield",383,5,10,247,88,15,451,114,44,45,50,16,0,0,0,1,0,0,0,0,0,1127,256,87,
"Broadwood",580,4,12,205,19,12,265,98,30,29,15,11,1,0,0,0,0,0,0,0,0,1080,136,64,
"Condorrat",268,3,6,435,53,19,720,160,69,154,83,73,5,0,1,2,0,2,0,0,0,1583,302,168,
"Greenfaulds",337,3,10,163,10,21,413,89,58,219,160,201,0,5,0,0,0,3,0,0,3,1132,267,294,
"Seafar",28,16,10,98,62,16,729,240,92,105,170,89,1,4,0,0,0,1,0,0,0,957,492,210,
"Cumbernauld Central",55,17,16,76,88,37,742,378,158,109,315,144,0,5,4,0,1,0,0,0,0,980,805,361,
"Kildrum",152,10,7,127,42,20,668,152,73,266,244,211,0,2,0,1,0,0,0,0,0,1215,451,311,
"Abronhill South",31,5,1,131,45,20,806,149,87,154,174,184,0,0,0,0,1,0,0,0,0,1122,374,290,
"Abronhill North",145,4,1,261,40,40,725,128,83,157,114,132,1,0,0,0,0,0,0,0,0,1290,288,256,
"Village and Castlecary",179,3,14,138,38,22,481,97,63,190,372,95,11,2,0,5,0,0,0,0,0,1000,510,195,
"Carrickstone",1151,4,27,286,19,12,69,47,6,32,48,15,0,0,1,0,0,0,0,0,0,1541,118,64,
"Balloch West",752,3,17,269,7,19,102,37,13,55,18,77,1,0,2,0,0,0,0,0,1,1179,72,129,
"Balloch East",308,4,11,169,31,25,336,174,49,43,16,9,0,0,1,0,0,0,0,0,1,856,227,96,
"Klisyth East",544,25,13,240,42,17,127,47,21,303,382,171,14,4,3,12,7,7,0,0,0,1236,507,236,
"Croy, Dullatar and Banton",741,10,19,226,27,21,237,70,22,70,157,43,2,0,1,0,0,0,9,0,1,1284,262,107,
"Kilsyth Bogside",322,15,14,238,56,17,72,55,9,202,391,129,14,0,3,0,0,2,0,0,0,848,524,174,
"Balmalloch",177,4,10,256,83,26,412,173,55,172,220,70,0,0,2,0,0,1,0,0,0,1017,485,168,
"Stromness, Sandwick and Stenness",716,11,87,188,193,42,81,45,16,9,25,21,12,15,15,11,0,3,2,0,0,1018,291,181,
"West Mainland",1385,17,174,102,175,31,6,2,0,1,8,0,6,3,4,0,0,0,6,0,1,1506,205,210,
"East Mainland",1246,29,125,128,148,41,51,41,10,4,11,4,3,1,5,4,0,0,4,0,0,1440,231,181,
"West Kirkwall",526,26,56,405,220,113,160,79,65,48,161,70,8,24,33,5,2,15,0,0,0,1153,512,352,
"East Kirkwall",318,18,46,262,182,59,140,88,38,19,36,24,5,0,25,6,0,5,1,0,0,747,324,197,
"Isles",1400,12,205,139,174,37,17,29,13,4,16,10,2,1,4,3,0,2,12,0,1,1575,232,273,
"Powmill, Cleish and Scotlandwell",1213,1,78,212,38,24,97,12,5,29,36,14,1,0,6,1,0,1,17,0,4,1573,87,130,
"Kinross",875,11,41,564,68,76,223,81,63,106,118,47,13,7,6,7,2,4,0,0,0,1784,285,236,
"Milnathort and Crook of Devon",1021,7,68,201,53,33,115,48,22,40,51,21,15,1,7,7,0,6,42,0,1,1446,160,160,
"Muthill, Greenloaning and Gleneagles",711,8,146,287,70,37,131,49,17,22,30,16,33,1,12,8,0,3,1,0,0,1188,158,228,
"Auchterarder",1189,10,85,296,77,54,259,121,59,116,174,111,10,0,27,9,0,11,0,0,0,1874,382,346,
"Comrie, Gilmerton and St Fillans",831,8,208,190,86,90,97,61,23,19,12,15,19,8,12,8,1,2,2,0,0,1168,183,351,
"Crieff North",655,2,42,255,19,18,67,9,13,75,78,63,61,0,12,6,0,7,26,0,0,1145,105,154,
"Crieff South",490,11,39,245,106,41,245,78,46,182,289,153,38,1,27,19,0,28,9,0,1,1228,484,338,
"Almondbank and Pitcairngreen",876,7,181,244,65,82,158,54,27,48,17,16,10,1,7,2,0,2,9,0,0,1348,143,319,
"Glenfarg, Dunning and Rhynd",845,8,159,246,52,72,97,39,36,22,15,21,11,0,12,1,0,3,1,0,3,1224,114,305,
"Bridge of Earn and Abernethy",975,16,70,499,124,58,169,77,27,85,97,55,22,6,9,0,1,3,0,0,0,1751,321,225,
"Upper Craigie and Friarton",179,5,13,571,126,33,90,41,12,229,225,123,13,5,7,1,3,8,0,0,0,1083,404,196,
"Viewlands and Craigie",567,2,19,765,37,62,147,19,36,517,167,354,66,7,25,0,0,5,0,0,0,2062,234,501,
"Burghmuir, Oakbank and Cherrybank",1335,3,53,460,14,32,64,17,15,90,41,70,10,0,7,0,0,1,1,0,0,1960,76,177,
"Western Edge",916,4,38,586,35,57,219,81,29,162,275,71,4,2,4,2,0,2,0,0,0,1883,397,203,
"Letham",78,16,16,268,161,45,427,224,43,320,467,116,0,3,5,1,1,0,0,2,0,1097,871,223,
"Tulloch and Inveralmond",269,27,17,202,111,48,361,181,40,191,642,144,9,5,10,0,2,0,5,9,0,1036,978,257,
"North Muirton",43,15,3,89,86,21,593,247,49,92,181,71,5,0,4,5,0,0,1,0,0,825,527,149,
"Muirton",70,21,7,168,169,47,78,78,25,307,124,190,8,2,6,1,2,0,0,0,0,632,396,273,
"North Inch",91,3,21,161,15,24,39,28,14,295,349,504,45,18,17,5,0,6,0,0,0,636,407,586,
"Central and South Inch",84,4,19,84,18,31,38,17,23,571,785,1039,73,14,47,42,8,90,0,0,0,896,851,1253,
"Gannochy and Walnut Grove",532,39,127,265,47,60,90,31,41,122,167,86,48,2,11,6,0,7,2,0,0,1064,286,332,
"Scone",1017,21,52,558,123,84,189,127,39,120,129,71,20,1,7,5,0,0,0,0,1,1911,401,254,
"Guildtown, Balbeggie and St Madoes",795,5,165,245,47,73,110,36,58,12,33,19,11,0,9,1,0,3,0,0,5,1177,120,332,
"Errol and Inchture",844,4,86,368,46,64,152,49,28,53,45,30,12,0,4,1,0,0,14,0,1,1441,150,215,
"Invergowrie, Longforgan and Abernyte",660,5,64,365,37,41,122,26,26,134,61,77,13,0,14,3,0,6,0,0,0,1300,129,228,
"Coupar Angus and Meigle",867,14,173,389,139,87,199,91,42,85,125,73,34,0,21,7,0,5,2,0,0,1587,370,400,
"Alyth",540,12,73,208,74,46,136,81,41,47,115,40,20,4,18,12,0,5,0,1,0,969,291,225,
"Blair Atholl, Strathardle and Glenshee",864,6,338,171,62,126,45,18,31,4,8,14,2,0,9,2,0,1,43,0,5,1129,91,528,
"Blairgowrie South (Ardblair and Rosemout)",745,4,40,164,38,15,69,36,17,8,21,8,0,4,1,0,0,0,2,0,0,990,103,77,
"Rattray",375,15,30,201,134,22,113,157,22,75,209,62,18,7,9,3,0,1,0,0,0,786,522,140,
"Blairgowrie Central",666,14,43,285,23,42,110,22,23,192,160,122,19,1,21,21,1,20,0,0,0,1291,221,275,
"Bankfoot, Stanley and Murthly",851,10,165,336,90,66,218,88,38,85,61,71,29,5,12,3,0,3,2,0,1,1520,252,357,
"Luncarty and Bertha Park",486,6,36,173,72,29,56,37,8,67,51,12,2,1,3,1,1,0,1,1,0,794,174,90,
"Amulree and Dunkeld",669,5,130,231,74,84,99,84,28,51,75,44,16,0,15,8,1,12,1,0,0,1077,240,313,
"Pitlochry",674,7,113,294,88,82,44,36,28,114,158,40,19,6,22,8,2,9,3,2,1,1152,302,291,
"Rannoch and Aberfeldy",868,9,200,318,117,85,136,69,45,52,88,33,18,6,30,15,3,4,0,0,2,1407,292,394,
"Lochwinnoch",358,3,6,271,16,8,169,69,12,176,131,76,18,1,6,11,0,3,0,0,1,1005,217,112,
"Renfrewshire Rural South and Howwood",839,1,30,380,26,18,110,14,16,74,28,12,8,0,2,1,0,2,0,0,0,1414,73,78,
"Dargavel",1048,0,14,388,6,9,172,14,2,85,31,22,3,0,0,0,0,1,0,0,0,1696,50,48,
"Renfrewshire Rural North and Langbank",1049,3,54,327,31,74,201,16,31,87,85,27,28,0,7,2,1,0,0,0,1,1693,139,203,
"Kilbarchan",321,0,6,414,13,14,262,29,13,235,140,106,20,1,7,1,0,2,0,0,0,1254,181,147,
"Johnstone South West",286,25,7,398,95,27,700,204,61,199,384,79,5,2,3,0,0,2,1,0,0,1580,710,180,
"Johnstone North West",110,11,7,223,62,20,111,57,17,322,650,244,27,6,5,2,3,6,0,0,0,795,789,299,
"Johnstone North East",211,3,8,395,36,27,156,55,22,278,498,174,10,15,4,5,2,2,0,0,0,1049,605,236,
"Johnstone South East",81,6,16,371,176,22,520,180,81,122,272,89,10,0,1,1,1,4,0,0,0,1105,637,213,
"Elderslie and Phoenix",400,9,5,918,40,27,460,97,44,189,154,93,13,2,1,3,1,4,0,0,0,1983,299,174,
"Paisley Ferguslie",98,67,15,296,315,59,150,239,26,121,425,61,0,12,2,0,1,0,0,0,0,665,1062,166,
"Paisley North West",160,12,6,111,47,8,223,77,24,343,698,552,11,8,8,0,3,5,0,0,0,847,842,600,
"Paisley West",427,15,8,426,73,27,351,127,43,356,469,226,10,3,7,0,0,0,0,0,0,1568,686,309,
"Paisley Foxbar",138,13,4,432,112,38,691,259,88,104,519,51,3,4,2,1,0,1,0,1,0,1369,909,184,
"Paisley South West",723,1,11,608,1,18,294,18,17,166,51,76,30,0,7,0,0,0,0,0,0,1821,68,127,
