SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,"Two people",,,"Three people",,,"Four people",,,"Five or more people",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Data Zone (2022)",
"S01013700",72,85,5,89,45,5,36,20,2,29,20,0,5,5,0,
"S01013701",30,20,4,54,32,11,22,29,4,15,12,2,5,7,0,
"S01013702",56,29,2,83,41,4,35,26,4,37,24,5,8,14,1,
"S01013703",38,37,1,63,27,6,21,18,2,16,7,0,10,9,2,
"S01013704",57,44,5,85,35,6,40,16,0,28,7,3,7,5,4,
"S01013705",49,39,2,69,32,3,28,15,4,19,12,4,2,6,4,
"S01013706",60,36,2,66,15,3,37,10,0,23,10,3,2,3,2,
"S01013707",18,51,0,28,64,0,16,54,2,16,43,1,5,15,3,
"S01013708",41,36,2,54,32,0,24,14,2,29,14,2,8,4,0,
"S01013709",12,42,14,23,45,4,9,59,5,2,22,4,5,11,0,
"S01013710",22,155,10,25,88,4,10,75,3,5,36,0,5,28,2,
"S01013711",54,38,4,69,43,10,25,31,6,18,17,4,6,5,1,
"S01013712",31,112,6,26,70,14,16,51,8,10,42,0,3,42,1,
"S01013713",37,14,3,77,22,4,33,24,3,21,11,2,6,7,5,
"S01013714",38,71,9,41,30,2,23,10,1,19,4,1,3,5,0,
"S01013715",47,0,3,119,1,4,59,0,6,65,0,3,14,0,5,
"S01013716",71,4,6,99,2,0,23,2,2,28,2,0,6,0,2,
"S01013717",68,1,3,94,4,15,92,2,9,82,4,8,10,0,5,
"S01013718",61,6,5,138,3,12,46,0,5,41,3,1,4,0,1,
"S01013719",21,3,5,58,2,10,25,0,3,35,0,3,5,2,4,
"S01013720",66,28,35,84,32,21,40,8,7,28,7,0,6,5,1,
"S01013721",50,8,19,69,2,20,10,2,1,14,0,3,3,0,0,
"S01013722",72,1,13,93,1,13,59,0,7,75,1,6,11,1,2,
