SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01013779",15,34,0,95,31,0,97,4,0,28,0,0,4,0,0,
"S01013780",6,7,2,87,31,4,102,9,1,17,0,0,14,0,0,
"S01013781",6,5,0,86,30,0,132,4,0,11,0,0,1,0,0,
"S01013782",31,11,0,121,23,0,60,6,0,28,0,0,11,0,0,
"S01013783",81,20,0,207,21,0,91,1,0,22,0,1,11,0,0,
"S01013784",14,5,0,97,6,0,112,2,0,39,2,1,12,0,0,
"S01013785",14,0,0,135,3,1,109,0,0,32,0,0,17,0,0,
"S01013786",44,11,0,117,5,1,76,2,0,18,0,0,10,0,0,
"S01013787",46,2,0,132,3,0,74,0,0,22,0,0,4,0,0,
"S01013788",18,16,0,106,31,0,121,7,0,24,0,0,14,1,0,
"S01013789",16,1,0,98,3,0,131,1,0,21,0,0,12,0,0,
"S01013790",5,2,0,93,4,0,115,2,3,46,0,0,15,0,1,
"S01013791",3,0,0,68,2,1,118,1,1,43,1,0,19,1,0,
"S01013792",42,33,0,168,19,0,108,1,0,36,0,0,15,0,0,
"S01013793",5,1,0,81,2,1,166,0,2,52,0,1,27,0,1,
"S01013794",10,4,0,119,11,0,86,0,0,16,0,0,3,0,0,
"S01013795",8,3,0,89,18,0,96,3,0,10,0,0,0,0,0,
"S01013796",51,20,0,122,15,0,90,3,0,13,1,0,8,0,0,
"S01013797",15,4,0,91,4,0,101,0,0,15,0,0,5,0,0,
"S01013798",33,15,0,141,22,0,138,12,0,36,1,0,16,0,0,
"S01013799",36,9,0,109,10,0,118,0,0,35,0,1,13,0,0,
"S01013800",5,2,0,54,0,0,74,0,0,23,0,0,14,0,0,
"S01013801",25,0,0,160,3,0,197,2,0,49,0,0,31,0,0,
"S01013802",4,0,0,107,0,0,120,0,0,30,0,0,12,0,0,
"S01013803",40,1,0,159,3,1,94,0,0,17,0,1,2,0,0,
"S01013804",11,0,0,73,0,0,95,3,1,20,0,0,15,0,0,
"S01013805",39,9,0,154,20,0,112,7,0,35,0,0,20,1,0,
"S01013806",7,0,0,94,6,0,148,1,1,62,0,0,28,0,0,
"S01013807",22,1,0,69,5,0,91,1,0,24,0,0,12,0,0,
"S01013808",15,3,0,109,3,0,153,3,0,49,0,0,18,0,0,
"S01013809",48,4,0,121,27,0,113,12,0,29,1,0,12,2,0,
"S01013810",14,13,0,118,9,0,151,3,0,36,4,0,16,1,0,
"S01013811",39,37,0,89,45,0,57,12,0,21,2,0,4,0,0,
"S01013812",44,11,0,129,20,0,106,10,0,24,1,0,5,1,0,
"S01013813",10,1,0,79,1,0,81,1,0,33,0,0,11,0,0,
"S01013814",8,0,0,104,3,2,142,0,1,49,0,0,18,0,0,
"S01013815",12,1,0,79,3,2,146,1,1,61,0,0,32,1,0,
"S01013816",14,0,0,72,0,0,79,0,0,19,0,0,4,0,0,
"S01013817",10,0,0,51,3,2,105,0,1,33,0,0,17,0,0,
"S01013818",2,3,0,97,35,0,108,7,0,13,1,0,1,0,0,
"S01013819",8,2,0,82,4,0,120,1,0,13,0,1,6,0,0,
"S01013820",6,0,0,69,2,1,153,2,1,53,0,0,27,0,0,
"S01013821",11,20,0,96,47,0,100,6,0,21,2,0,4,0,0,
"S01013822",43,66,0,104,84,0,58,16,0,9,2,0,2,1,0,
"S01013823",46,14,0,195,4,0,148,4,0,29,0,0,3,0,0,
"S01013824",41,4,0,110,12,0,146,6,0,28,0,0,11,0,0,
"S01013825",71,49,0,148,44,0,63,11,0,21,0,0,4,0,0,
"S01013826",30,100,0,119,93,0,68,16,0,16,9,0,4,3,0,
"S01013827",2,1,0,50,1,0,75,0,0,12,0,0,4,0,0,
"S01013828",36,10,0,128,11,0,95,2,0,22,0,0,6,0,0,
"S01013829",22,0,0,112,1,0,71,0,0,9,0,0,3,0,0,
"S01013830",24,44,0,149,64,0,115,8,0,25,3,0,10,0,0,
"S01013831",15,4,0,63,11,0,74,3,0,16,0,0,6,0,0,
"S01013832",9,1,0,85,0,0,126,0,0,38,1,0,8,0,0,
"S01013833",36,142,0,103,122,0,51,22,0,6,3,0,2,0,0,
"S01013834",2,25,0,34,63,0,71,15,0,12,1,0,6,0,0,
"S01013835",22,6,0,97,10,0,69,0,0,19,1,0,4,0,0,
"S01013836",19,2,0,109,3,0,79,1,0,24,0,0,9,0,0,
"S01013837",47,10,0,187,5,0,121,0,0,22,0,0,5,0,0,
"S01013838",10,6,0,118,6,0,143,0,0,22,0,0,8,0,0,
"S01013839",9,0,0,76,4,0,117,0,0,28,0,0,10,0,0,
"S01013840",16,0,0,139,4,0,163,0,0,33,2,0,15,0,0,
"S01013841",24,2,0,133,3,2,107,1,0,27,0,0,4,0,0,
"S01013842",17,3,0,145,4,0,110,0,0,31,0,0,2,0,0,
"S01013843",27,22,0,112,40,0,84,7,0,24,3,0,1,0,0,
"S01013844",24,14,0,148,16,0,127,0,0,33,0,0,10,0,0,
"S01013845",29,6,0,103,13,0,67,4,0,16,2,0,5,0,0,
"S01013846",18,4,0,101,5,0,95,0,0,19,1,0,7,0,0,
"S01013847",11,2,3,76,1,29,97,2,9,15,1,3,4,0,0,
"S01013848",11,1,0,49,4,1,109,0,0,34,0,1,17,0,0,
"S01013849",7,5,2,46,18,0,82,3,0,17,0,0,4,0,0,
"S01013850",4,1,0,71,1,0,112,2,0,15,0,0,6,0,0,
"S01013851",10,2,0,67,11,0,100,3,0,15,0,0,6,0,0,
"S01013852",6,1,0,56,2,0,90,1,0,7,0,0,3,0,0,
"S01013853",40,1,0,187,1,1,116,0,0,16,0,0,2,0,0,
"S01013854",55,26,0,123,6,0,95,1,0,24,1,0,3,0,0,
"S01013855",11,0,0,88,0,0,102,0,0,24,0,0,5,0,0,
"S01013856",14,2,0,90,1,1,191,0,0,42,0,0,33,0,0,
"S01013857",36,0,0,176,3,0,176,0,0,31,0,0,15,0,0,
"S01013858",5,0,0,73,3,2,152,0,0,60,0,0,35,0,0,
"S01013859",9,3,0,84,1,0,134,1,0,44,0,0,16,1,0,
"S01013860",18,4,0,127,7,0,199,1,0,72,2,0,23,0,0,
"S01013861",6,0,0,52,0,1,133,0,0,36,0,0,26,0,0,
"S01013862",20,8,0,132,27,0,166,8,0,36,0,0,16,0,0,
"S01013863",49,27,0,106,7,0,33,3,0,8,0,0,2,0,0,
"S01013864",3,0,0,76,1,0,142,1,0,26,0,0,7,0,0,
"S01013865",23,22,0,156,17,0,100,5,0,16,2,0,2,0,0,
"S01013866",49,2,0,134,10,0,83,4,0,13,0,0,8,0,0,
"S01013867",19,14,0,104,35,0,129,6,0,23,0,0,4,0,0,
"S01013868",31,37,0,130,90,1,110,26,0,39,5,0,8,2,0,
"S01013869",8,1,0,84,4,0,88,0,0,23,0,0,9,0,0,
"S01013870",20,9,0,110,18,0,115,3,0,26,0,0,9,0,0,
"S01013871",59,2,2,150,9,0,175,1,0,46,2,0,20,0,0,
"S01013872",17,0,0,86,9,0,95,4,0,33,0,0,10,0,0,
"S01013873",17,2,0,102,6,0,108,6,0,42,1,0,20,0,0,
"S01013874",6,1,0,69,2,0,104,0,0,37,0,0,13,0,0,
"S01013875",39,6,0,156,27,0,169,10,0,49,3,0,21,0,0,
"S01013876",21,3,0,120,6,0,141,0,0,47,0,0,19,0,0,
"S01013877",40,3,0,132,17,0,107,0,0,26,1,0,12,0,0,
"S01013878",19,2,0,142,8,0,168,3,0,52,1,0,26,0,0,
"S01013879",9,0,0,125,3,0,224,1,0,64,0,0,30,0,2,
"S01013880",27,6,0,134,9,2,95,0,0,38,2,0,19,0,0,
"S01013881",6,1,0,96,3,0,102,0,1,46,0,0,14,0,0,
"S01013882",4,0,0,75,1,0,137,0,0,45,0,0,23,0,0,
"S01013883",4,0,0,74,0,1,102,1,0,35,0,0,20,0,0,
"S01013884",61,19,0,148,11,0,82,1,0,18,0,0,4,0,0,
"S01013885",13,3,0,104,13,0,83,0,0,22,2,0,7,2,0,
"S01013886",27,4,0,147,4,0,111,0,0,17,0,0,10,0,0,
"S01013887",19,4,0,128,5,1,194,3,0,58,0,0,21,0,0,
"S01013888",19,26,0,108,43,0,107,13,0,25,2,0,11,0,0,
"S01013889",6,0,0,57,0,0,110,0,0,27,0,0,11,0,0,
"S01013890",12,1,1,95,8,0,116,1,0,47,0,0,25,0,0,
"S01013891",61,0,0,184,2,0,77,3,0,10,0,0,8,0,0,
"S01013892",19,30,0,107,39,0,110,9,0,26,1,0,11,0,0,
"S01013893",31,8,0,149,23,0,168,8,0,41,1,0,11,0,0,
"S01013894",51,2,0,160,4,0,86,1,0,22,0,0,6,0,0,
"S01013895",28,2,0,97,1,0,72,1,0,21,0,0,7,0,0,
"S01013896",64,33,0,178,42,0,111,13,0,13,0,0,12,0,0,
"S01013897",28,27,0,62,105,0,36,36,0,6,0,0,4,0,0,
"S01013898",41,30,0,114,77,0,79,14,0,22,2,0,4,0,0,
"S01013899",27,7,0,122,26,0,85,6,0,20,1,0,5,0,0,
"S01013900",34,21,0,131,30,0,98,4,0,28,2,0,7,0,0,
"S01013901",19,5,0,90,4,0,96,0,0,21,0,0,7,0,0,
"S01013902",16,0,0,106,3,0,75,0,0,18,0,0,3,0,0,
"S01013903",43,37,0,100,22,0,56,9,0,11,0,0,3,0,0,
"S01013904",41,42,0,86,35,0,66,5,0,17,0,0,7,1,0,
"S01013905",52,43,0,130,59,0,83,11,0,13,0,0,5,0,0,
"S01013906",19,62,0,106,67,0,100,17,0,25,5,0,1,1,0,
"S01013907",41,37,0,112,25,0,67,7,0,18,0,0,6,0,0,
"S01013908",72,93,0,145,54,0,55,2,0,15,0,0,5,0,0,
"S01013909",24,96,0,74,130,0,46,28,0,9,2,0,2,4,0,
"S01013910",39,83,0,114,119,0,46,22,0,8,4,0,3,0,0,
"S01013911",5,1,0,62,0,0,93,0,0,32,0,0,19,0,0,
"S01013912",3,1,0,123,6,0,177,1,0,40,0,0,10,0,0,
"S01013913",12,18,0,140,14,0,211,3,0,14,0,0,8,0,0,
"S01013914",4,10,0,83,17,1,96,6,0,12,0,0,2,0,0,
"S01013915",7,14,0,76,9,2,121,1,0,18,0,0,6,0,0,
"S01013916",4,2,0,81,0,0,110,2,0,13,0,0,2,0,0,
"S01013917",4,8,0,85,9,0,132,4,0,9,0,0,4,0,0,
"S01013918",7,0,0,68,5,11,91,0,6,46,0,0,15,0,0,
"S01013919",7,1,0,63,2,0,101,0,2,31,0,0,22,0,0,
"S01013920",13,0,0,87,4,0,152,1,0,56,0,0,27,0,0,
"S01013921",7,0,0,93,3,0,135,0,0,53,0,0,22,0,0,
"S01013922",11,8,6,102,21,6,132,2,1,41,0,1,14,0,0,
"S01013923",6,1,1,81,4,0,193,0,0,26,0,0,14,0,0,
"S01013924",12,4,0,70,7,0,72,0,0,16,0,0,7,0,0,
"S01013925",13,1,0,89,15,0,60,1,0,14,0,0,5,0,0,
"S01013926",4,0,0,78,1,0,150,0,0,34,0,0,5,0,0,
"S01013927",5,1,1,59,1,3,128,0,1,30,0,0,20,0,0,
"S01013928",26,58,0,165,75,0,123,10,0,24,0,0,8,0,0,
"S01013929",10,2,0,96,2,0,157,1,1,46,2,1,23,0,0,
"S01013930",9,15,0,73,8,0,62,0,0,18,0,0,10,0,0,
"S01013931",9,0,0,77,0,0,120,0,0,38,0,0,17,0,0,
"S01013932",8,4,0,41,7,0,96,1,0,21,0,0,1,0,0,
"S01013933",4,2,0,39,5,0,109,3,0,20,0,0,5,0,0,
"S01013934",15,5,0,102,8,0,121,3,0,30,0,0,6,0,0,
"S01013935",11,0,0,39,9,1,67,2,0,22,0,0,10,0,0,
"S01013936",2,0,0,63,0,0,164,0,0,40,0,0,21,0,0,
"S01013937",18,1,0,122,6,0,167,3,0,33,0,0,9,0,0,
"S01013938",7,0,0,75,4,0,106,0,0,47,0,0,13,0,1,
"S01013939",9,0,0,61,2,0,148,2,0,36,0,0,15,0,0,
"S01013940",13,1,0,107,1,0,72,0,0,15,0,0,8,0,0,
"S01013941",16,8,0,117,36,0,135,17,0,17,2,0,6,0,0,
"S01013942",29,10,0,124,14,0,99,10,0,20,0,0,5,0,0,
"S01013943",18,15,0,111,21,0,82,8,0,15,2,0,6,0,0,
"S01013944",19,7,0,132,45,0,97,11,0,19,3,0,5,0,0,
"S01013945",17,24,0,97,25,0,48,11,0,9,0,0,0,0,0,
"S01013946",8,1,0,96,2,0,114,0,0,19,0,0,7,0,0,
"S01013947",28,15,0,140,31,0,121,10,0,33,2,0,9,3,0,
"S01013948",23,1,1,104,0,5,73,0,4,22,0,0,6,0,0,
"S01013949",23,0,0,131,18,0,161,1,0,26,0,0,13,0,0,
"S01013950",5,1,0,45,1,0,121,0,0,29,0,0,11,0,0,
"S01013951",19,3,0,104,6,0,116,2,0,23,0,0,10,0,0,
"S01013952",9,10,0,87,63,0,108,15,0,13,4,0,4,0,0,
"S01013953",8,6,0,67,19,0,81,2,0,16,0,0,2,0,0,
"S01013954",12,0,0,80,1,0,130,2,0,51,1,0,27,0,0,
"S01013955",20,3,0,108,14,0,179,3,0,38,0,0,13,0,0,
"S01013956",24,1,0,147,16,0,143,9,0,32,1,0,10,0,0,
"S01013957",11,0,0,91,2,2,210,1,3,56,0,0,21,0,0,
"S01013958",15,2,0,85,32,0,153,17,0,33,1,0,7,0,0,
"S01013959",37,13,0,120,9,0,89,2,1,19,2,0,2,0,0,
"S01013960",5,2,0,65,0,3,81,0,0,32,0,0,13,0,0,
"S01013961",8,1,0,78,19,0,140,1,0,41,1,0,12,0,0,
"S01013962",25,1,0,149,0,0,156,0,0,36,0,0,21,0,0,
"S01013963",5,2,0,47,9,0,73,4,0,12,0,0,10,0,0,
"S01013964",9,21,0,91,41,0,85,2,0,6,1,0,2,0,0,
"S01013965",21,0,0,149,3,0,174,0,0,29,0,0,16,0,0,
"S01013966",11,0,0,93,2,0,106,0,1,31,0,0,20,0,0,
"S01013967",44,10,0,166,8,0,87,4,0,23,0,0,5,0,0,
"S01013968",21,11,0,102,57,0,99,26,0,16,2,0,3,0,0,
"S01013969",32,64,0,85,79,0,59,18,0,13,3,0,5,0,0,
"S01013970",6,4,0,71,5,0,177,3,0,44,0,0,8,0,0,
"S01013971",8,2,0,105,6,0,154,2,0,38,0,0,7,0,0,
"S01013972",40,10,0,180,32,1,108,13,0,26,1,0,9,0,0,
"S01013973",16,4,0,110,26,0,88,8,0,25,4,0,5,0,0,
"S01013974",20,19,0,87,94,0,72,31,0,12,7,0,5,0,0,
"S01013975",17,15,0,67,21,0,65,6,0,18,0,0,7,0,0,
"S01013976",59,0,0,92,1,0,68,0,0,22,0,0,5,0,0,
"S01013977",23,2,0,95,8,0,105,0,0,23,1,0,2,0,0,
"S01013978",23,1,0,89,2,0,67,0,0,10,0,0,4,0,0,
"S01013979",52,26,0,147,30,0,108,10,0,19,0,0,4,1,0,
"S01013980",6,5,0,83,21,0,116,0,0,28,0,0,7,0,0,
"S01013981",25,37,0,91,38,0,57,3,0,11,0,0,3,0,0,
"S01013982",4,4,0,98,2,0,147,0,0,50,0,0,20,0,0,
"S01013983",20,0,0,119,4,0,164,0,0,23,0,0,5,0,0,
"S01013984",11,3,0,122,26,0,130,7,0,36,4,0,9,0,0,
"S01013985",14,0,0,142,5,0,153,3,0,76,0,0,38,1,0,
"S01013986",4,0,0,47,2,0,82,1,0,28,2,0,20,0,0,
"S01013987",7,4,0,100,1,0,131,0,0,50,0,0,16,0,0,
"S01013988",31,2,0,154,12,0,164,4,1,52,0,0,19,0,0,
"S01013989",40,12,0,188,4,0,165,0,0,33,0,0,18,0,0,
"S01013990",7,1,0,106,0,0,161,1,0,47,0,0,22,0,0,
"S01013991",24,1,0,94,8,0,137,3,0,47,0,0,16,0,0,
"S01013992",22,7,0,111,12,0,149,2,0,28,0,0,14,0,0,
"S01013993",21,0,0,90,1,0,90,0,0,29,0,0,8,0,0,
"S01013994",11,2,0,82,3,0,118,0,0,36,0,0,19,0,0,
"S01013995",26,4,0,100,19,0,107,9,0,24,0,0,9,0,0,
"S01013996",34,3,0,102,2,0,74,0,0,18,0,0,11,0,0,
"S01013997",21,2,0,87,6,0,101,6,0,21,0,0,4,0,0,
"S01013998",5,0,0,43,1,0,128,2,0,24,0,0,13,0,0,
"S01013999",39,6,0,125,14,0,95,4,0,17,1,0,5,0,0,
"S01014000",5,0,0,66,0,0,93,1,0,39,0,0,18,0,0,
"S01014001",14,0,0,73,1,0,144,0,0,45,0,0,20,0,0,
"S01014002",2,0,0,46,2,0,98,1,0,36,0,0,17,0,0,
"S01014003",26,11,0,99,17,0,54,1,0,13,0,0,3,0,0,
"S01014004",7,0,0,73,2,0,104,2,2,43,0,0,23,0,0,
"S01014005",3,0,0,61,2,1,90,0,0,35,0,0,17,0,0,
"S01014006",10,0,0,70,0,0,109,4,0,27,0,0,21,0,0,
"S01014007",14,0,0,111,6,4,144,4,0,46,0,0,33,0,0,
"S01014008",29,4,0,98,5,0,158,2,1,60,0,0,19,1,0,
"S01014009",49,21,0,149,28,0,121,10,0,20,1,0,3,0,0,
"S01014010",8,0,0,97,0,1,112,0,0,46,0,0,26,0,0,
"S01014011",12,1,0,103,3,1,151,1,5,56,0,0,25,0,0,
"S01014012",57,11,0,204,15,0,125,7,0,31,1,0,14,0,0,
"S01014013",12,7,0,116,10,0,121,2,0,24,0,0,11,0,0,
"S01014014",19,11,0,80,7,0,77,3,0,25,0,0,17,0,0,
"S01014015",10,0,0,64,1,1,81,0,0,37,0,1,18,0,0,
"S01014016",12,2,0,114,4,0,143,1,0,39,0,0,19,0,0,
"S01014017",10,0,0,117,4,0,196,0,0,63,0,0,47,0,0,
"S01014018",23,9,1,145,14,1,138,2,2,47,0,0,16,1,0,
"S01014019",20,0,0,124,2,4,135,0,0,41,0,0,32,0,0,
"S01014020",80,32,0,185,29,0,100,7,1,25,0,0,8,0,0,
"S01014021",72,49,0,169,78,0,92,15,0,28,4,0,8,0,0,
"S01014022",58,47,0,135,44,0,87,5,0,13,1,0,8,0,0,
"S01014023",81,103,0,135,80,0,40,14,0,11,0,0,6,0,0,
"S01014024",94,12,0,148,5,0,51,0,0,8,0,0,2,0,0,
"S01014025",7,1,2,54,0,0,87,0,0,37,0,0,18,0,0,
"S01014026",9,1,0,128,0,0,191,1,0,56,0,0,30,2,0,
"S01014027",7,0,0,82,2,0,103,0,0,46,0,1,16,0,0,
"S01014028",4,0,0,64,0,1,96,0,2,42,0,0,22,0,0,
"S01014029",74,74,0,178,47,0,90,15,0,15,3,0,7,3,0,
"S01014030",40,10,0,173,8,0,103,4,0,26,0,0,16,0,0,
"S01014031",49,4,0,132,10,0,70,1,0,16,0,0,5,0,0,
"S01014032",61,64,0,100,54,0,62,10,0,22,1,0,2,4,0,
"S01014033",64,6,0,170,20,0,95,4,0,19,2,0,9,0,0,
"S01014034",28,4,0,102,3,0,47,0,0,20,0,0,8,0,0,
"S01014035",12,2,0,87,0,0,81,0,1,28,0,0,8,0,0,
"S01014036",25,1,0,147,4,1,177,3,1,51,1,0,26,0,0,
"S01014037",74,19,0,195,22,0,79,6,0,19,0,0,3,0,0,
"S01014038",64,37,0,167,33,0,113,3,0,21,1,0,13,0,0,
"S01014039",75,15,0,245,22,0,124,2,0,22,0,0,9,0,0,
"S01014040",21,0,0,174,6,0,166,2,0,41,0,0,16,0,0,
"S01014041",16,0,0,102,0,1,112,1,2,46,0,1,31,0,0,
"S01014042",38,3,1,166,3,0,106,4,0,41,0,0,10,0,0,
"S01014043",27,9,0,91,6,0,36,1,0,18,0,0,5,0,0,
"S01014044",78,113,0,181,75,0,73,8,0,18,2,0,5,1,0,
"S01014045",41,10,0,130,17,0,84,3,0,16,0,0,4,0,0,
"S01014046",57,23,0,109,39,0,66,8,0,19,0,0,1,0,0,
"S01014047",85,22,0,167,33,0,74,3,0,22,1,0,3,0,0,
"S01014048",49,37,0,151,23,0,96,5,0,29,1,0,13,0,0,
"S01014049",80,19,0,181,18,0,100,5,0,19,2,0,12,0,0,
"S01014050",36,33,0,115,29,0,55,10,0,25,1,0,5,0,0,
"S01014051",74,25,0,169,24,0,120,2,0,29,0,0,11,0,0,
"S01014052",52,14,2,128,11,0,56,1,0,16,4,0,10,0,0,
"S01014053",42,29,0,127,21,0,79,8,0,26,2,0,9,0,0,
"S01014054",17,3,0,124,1,2,120,4,0,45,2,0,19,0,0,
"S01014055",19,0,0,124,0,0,161,2,2,47,2,0,30,0,1,
"S01014056",24,9,0,147,15,0,98,3,0,20,0,0,6,1,0,
"S01014057",14,1,2,116,2,1,124,0,2,43,0,0,23,0,0,
"S01014058",14,3,0,109,0,1,87,0,0,25,1,0,13,0,0,
"S01014059",8,0,0,63,1,4,75,0,3,28,0,0,14,0,0,
"S01014060",15,0,0,111,3,0,141,0,0,51,0,0,23,0,0,
"S01014061",78,12,0,212,11,0,136,1,0,34,0,0,11,0,0,
"S01014062",38,6,0,117,16,0,106,2,0,19,0,0,7,0,0,
"S01014063",24,13,0,144,17,0,121,3,0,39,9,0,11,0,0,
"S01014064",17,1,0,104,0,2,114,0,1,35,0,0,13,0,0,
"S01014065",4,1,0,52,1,0,64,0,2,26,0,4,16,0,0,
"S01014066",63,15,0,208,7,0,122,4,0,33,2,0,15,0,0,
"S01014067",7,0,0,61,0,3,108,2,0,26,0,0,29,0,0,
"S01014068",13,0,1,83,0,1,122,0,1,29,0,0,24,0,0,
"S01014069",39,3,0,125,2,0,112,0,0,16,0,1,12,0,0,
"S01014070",67,18,0,147,15,0,123,1,0,19,0,0,10,0,0,
"S01014071",62,25,0,179,2,0,161,0,0,32,0,0,22,0,0,
"S01014072",35,1,0,102,1,0,53,1,0,9,0,0,0,0,0,
"S01014073",16,0,0,83,1,1,162,1,1,61,0,3,38,0,0,
"S01014074",4,1,0,70,4,1,131,0,0,51,0,0,20,0,0,
"S01014075",26,11,0,133,12,0,143,1,0,36,0,0,19,0,0,
"S01014076",14,2,0,80,1,0,113,0,1,21,0,1,18,0,0,
"S01014077",15,2,0,113,7,1,163,2,0,61,0,0,23,0,0,
"S01014078",44,6,0,177,23,0,103,13,0,25,2,0,9,0,0,
"S01014079",41,12,0,138,8,0,124,1,0,25,0,0,10,0,0,
"S01014080",50,4,1,143,12,0,96,4,0,24,1,0,9,0,0,
"S01014081",41,6,0,122,15,0,48,0,0,12,0,0,3,0,0,
"S01014082",38,2,0,152,11,0,127,5,0,36,1,0,16,0,0,
"S01014083",18,1,1,89,2,0,76,0,0,23,0,0,7,0,0,
"S01014084",39,0,0,177,3,0,139,3,0,29,2,0,8,0,0,
"S01014085",53,25,0,109,30,0,38,5,0,11,0,0,0,1,0,
"S01014086",78,8,0,154,23,0,51,4,0,13,0,0,3,1,0,
"S01014087",41,4,0,152,3,0,80,0,0,8,0,0,5,0,0,
"S01014088",65,7,0,167,11,0,76,0,0,18,0,0,2,0,0,
"S01014089",57,51,0,121,38,0,62,12,0,14,3,0,2,0,0,
"S01014090",35,127,0,124,91,0,70,19,0,19,2,0,4,1,0,
"S01014091",53,64,1,113,66,0,58,13,0,17,1,0,0,0,0,
"S01014092",67,26,0,106,50,0,44,12,0,4,1,0,2,0,0,
"S01014093",41,37,0,100,44,0,49,8,0,7,3,0,1,0,0,
"S01014094",102,129,0,117,85,0,48,20,0,9,4,0,6,0,0,
"S01014095",26,46,0,99,38,0,44,8,0,8,0,0,1,0,0,
"S01014096",43,173,0,75,101,0,42,24,0,13,2,0,3,0,0,
"S01014097",47,268,0,71,161,0,26,22,0,8,2,0,0,0,0,
"S01014098",90,172,0,87,97,0,36,23,0,4,8,0,0,0,0,
"S01014099",34,102,0,36,69,0,11,13,0,1,3,0,0,2,0,
"S01014100",7,0,0,116,0,0,65,1,0,20,0,0,10,0,0,
"S01014101",27,13,0,116,9,0,57,2,0,19,0,0,0,0,0,
"S01014102",36,14,0,128,12,0,94,0,0,24,0,0,3,3,0,
"S01014103",46,33,0,149,14,0,55,3,0,13,0,0,0,0,0,
"S01014104",47,12,0,178,21,0,126,2,0,21,1,0,8,0,0,
"S01014105",41,0,0,154,2,2,119,2,0,35,1,0,4,0,0,
"S01014106",18,8,0,97,12,0,153,1,0,56,0,0,18,0,0,
"S01014107",2,0,0,92,0,0,137,0,0,15,0,0,1,0,0,
"S01014108",10,0,0,96,1,0,114,0,0,25,0,0,7,0,0,
"S01014109",20,8,0,134,27,0,81,10,0,10,3,0,1,0,0,
"S01014110",16,1,0,89,2,0,134,0,0,46,0,0,13,0,0,
"S01014111",7,0,0,57,2,0,116,0,0,30,0,0,9,0,0,
"S01014112",8,0,0,80,0,0,90,0,0,36,0,0,13,0,0,
"S01014113",19,6,0,123,5,1,133,1,0,46,0,0,23,0,0,
"S01014114",11,2,0,114,10,0,102,1,0,48,0,1,23,0,0,
"S01014115",56,9,0,148,8,0,98,2,0,17,0,0,9,0,0,
"S01014116",16,2,0,108,0,1,96,0,1,42,0,0,22,0,1,
"S01014117",11,0,0,81,2,0,89,0,1,37,0,0,20,0,0,
"S01014118",5,0,0,58,0,0,90,0,0,29,0,0,7,0,0,
"S01014119",64,10,0,156,16,0,95,5,0,17,3,0,4,0,0,
"S01014120",42,14,0,122,23,0,100,6,0,24,1,0,7,0,0,
"S01014121",37,10,0,89,5,0,63,4,0,14,0,0,5,0,0,
"S01014122",48,1,0,137,1,0,124,2,0,36,1,0,12,0,0,
"S01014123",20,0,0,75,0,1,102,0,0,31,0,0,23,0,0,
"S01014124",32,8,0,105,3,0,80,0,0,16,0,0,3,0,0,
"S01014125",39,2,0,140,2,0,89,0,0,28,0,0,6,0,0,
"S01014126",13,0,0,107,0,4,122,0,0,45,0,0,21,0,0,
"S01014127",18,4,0,108,7,0,73,0,0,11,0,0,7,0,0,
"S01014128",27,22,0,71,42,0,40,11,0,16,2,0,6,0,0,
"S01014129",55,1,0,187,4,0,101,0,0,30,0,0,6,0,0,
"S01014130",23,17,0,112,1,0,67,0,0,32,0,0,2,0,0,
"S01014131",13,0,0,114,4,0,137,0,0,41,2,0,16,0,0,
"S01014132",11,1,0,105,0,0,114,0,0,20,0,0,8,0,0,
"S01014133",63,6,0,143,10,0,45,3,0,14,0,0,2,0,0,
"S01014134",84,5,0,162,3,0,57,0,0,9,0,0,4,0,0,
"S01014135",109,53,0,192,41,0,84,7,0,11,1,0,2,0,0,
"S01014136",21,154,1,55,55,0,23,4,0,5,0,0,4,0,0,
"S01014137",22,71,0,80,53,0,42,15,0,9,1,0,2,0,0,
"S01014138",51,34,0,158,23,0,56,7,0,12,0,0,4,0,0,
"S01014139",73,3,0,196,7,0,79,3,0,19,0,0,5,0,0,
"S01014140",107,21,0,164,26,0,52,8,0,14,1,0,4,0,0,
"S01014141",102,94,0,110,74,0,38,8,0,7,0,0,1,0,0,
"S01014142",84,183,6,103,87,1,32,12,0,12,1,0,1,2,0,
"S01014143",80,66,0,154,46,0,47,6,0,6,0,0,5,0,0,
"S01014144",17,1,0,106,2,0,178,4,0,51,0,0,17,0,0,
