SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01013632",4,244,0,13,77,0,1,12,0,0,0,0,0,0,0,
"S01013633",5,172,0,13,104,0,2,33,0,0,4,0,0,0,0,
"S01013634",16,76,0,46,117,0,28,20,0,3,2,0,2,1,0,
"S01013635",17,189,1,22,192,0,1,34,0,2,2,0,0,0,0,
"S01013636",14,128,0,90,194,0,35,58,0,2,4,0,0,0,0,
"S01013637",9,226,0,25,184,0,9,37,0,1,1,0,0,0,0,
"S01013638",0,113,0,15,109,0,2,14,0,3,1,0,1,0,0,
"S01013639",3,167,0,6,136,0,3,22,0,0,3,0,0,0,0,
"S01013640",11,205,0,5,147,0,2,25,0,0,3,0,0,1,0,
"S01013641",32,120,0,52,91,0,6,19,0,1,3,0,0,0,0,
"S01013642",4,126,2,3,72,0,2,19,0,0,3,0,0,1,0,
"S01013643",21,71,0,69,44,0,28,13,0,2,0,0,0,0,0,
"S01013644",16,140,0,15,74,0,8,11,0,0,3,0,0,0,0,
"S01013645",21,88,0,52,56,0,9,10,0,0,3,0,0,2,0,
"S01013646",12,98,1,28,61,0,6,11,0,4,2,0,0,0,0,
"S01013647",23,183,0,21,92,0,13,22,0,9,0,0,0,3,0,
"S01013648",10,281,0,13,232,0,5,62,0,0,6,0,0,2,0,
"S01013649",3,252,0,5,148,0,2,19,0,0,3,0,0,0,0,
"S01013650",7,197,0,0,156,0,3,35,0,1,6,0,1,0,0,
"S01013651",35,313,0,39,167,0,16,14,0,2,2,0,0,1,0,
"S01013652",2,188,0,7,158,0,0,29,0,0,0,0,0,0,0,
"S01013653",17,53,0,20,88,0,16,21,0,2,0,0,1,0,0,
"S01013654",29,161,0,21,95,0,6,24,0,1,2,0,0,0,0,
"S01013655",14,229,0,31,174,0,11,27,0,4,2,0,1,1,0,
"S01013656",2,178,0,7,98,0,1,17,0,0,2,0,0,0,0,
"S01013657",11,166,0,14,98,0,8,41,0,0,4,0,0,0,0,
