SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 4 groups, collapsed and Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,,,,,"One family household: Couple family",,,,,,,"One family household: Lone parent",,,,,,,"Other household types",,,,,,,"Total",,,,,,,
"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",
"Intermediate Zone (2022)",
"Victoria Park",3,37,148,744,16,4,4,18,165,393,255,10,0,1,3,13,45,141,1,0,0,0,5,20,56,4,1,2,24,220,602,1196,31,3,7,
"Scotstoun North and East",14,18,147,519,2,2,0,26,58,506,307,11,3,2,7,13,59,115,2,3,0,6,6,24,37,4,1,3,50,95,733,974,17,9,3,
"Scotstoun South and West",9,18,84,1243,8,4,9,8,15,100,487,1,1,8,6,16,25,315,4,2,3,2,8,7,91,3,0,0,25,57,216,2136,13,8,19,
"Yoker South",7,48,74,1058,1,0,0,12,106,128,490,0,1,0,9,35,52,266,1,0,0,1,21,20,88,1,0,0,26,210,267,1901,8,4,0,
"Yoker North",7,55,204,65,1,0,0,35,126,338,49,2,0,1,8,34,97,27,0,0,0,3,21,51,10,0,0,0,54,236,692,155,4,0,1,
"Knightswood West",5,80,45,372,0,0,0,42,114,65,200,1,0,0,9,47,14,120,0,0,0,7,14,13,37,0,0,0,63,258,132,729,2,0,0,
"Knightswood East",7,159,91,738,7,2,0,24,260,139,355,4,1,1,5,63,41,198,0,1,0,2,28,18,57,2,0,0,37,510,293,1348,16,5,1,
"Knightswood Park West",6,119,55,710,5,2,0,6,153,95,241,1,1,0,2,34,16,154,2,1,1,0,13,8,38,1,0,0,16,323,174,1146,10,3,1,
"Knightswood Park East",15,127,43,539,1,1,1,74,220,61,314,5,2,1,3,50,11,112,3,0,0,5,23,2,53,2,0,1,100,422,120,1021,11,2,3,
"Anniesland East",36,73,142,802,5,5,0,128,112,162,373,5,2,0,15,14,34,71,1,2,0,13,13,14,103,1,0,0,195,209,356,1349,12,6,0,
"Anniesland West",12,173,184,1199,13,2,1,23,210,258,683,8,0,1,4,67,65,208,0,0,0,0,18,26,184,6,2,0,39,468,533,2271,27,2,2,
"Blairdardie East",10,250,147,791,5,0,1,18,350,173,450,7,0,1,5,110,57,220,0,0,0,1,43,22,56,1,0,0,30,753,396,1513,13,0,2,
"Blairdardie West",36,79,150,35,3,2,0,96,243,325,29,0,0,3,19,40,67,11,0,0,0,16,13,36,2,0,0,0,169,376,580,76,3,2,3,
"Drumchapel South",0,23,40,359,0,0,0,14,48,52,206,6,0,0,5,14,20,204,0,0,0,1,3,6,37,0,0,2,19,88,118,810,7,0,2,
"Drumchapel North",11,65,66,511,3,2,0,16,139,74,231,0,2,2,5,91,50,229,0,0,0,2,16,16,44,2,0,0,36,311,206,1015,6,4,2,
"Drumry East",13,102,54,457,4,3,0,19,153,59,151,0,3,0,22,164,68,172,2,2,1,4,41,19,21,1,0,0,55,463,208,798,6,7,1,
"Drumry West",14,80,63,366,0,0,0,74,175,115,183,0,0,0,15,80,54,190,0,0,0,6,31,11,30,0,0,0,111,366,242,768,0,0,0,
"Lochaber West",391,225,80,67,6,13,9,860,261,93,25,8,6,14,58,57,17,4,0,2,3,47,23,4,3,0,1,3,1356,569,194,99,17,25,30,
"Fort William North",112,229,275,86,5,0,3,301,327,364,24,5,0,2,25,85,125,16,0,1,0,20,24,31,4,1,1,0,458,666,795,133,11,6,3,
"Fort William South",131,224,219,558,17,20,2,310,317,262,190,14,8,0,38,89,113,98,3,1,0,41,24,17,51,4,4,0,519,654,611,898,38,31,2,
"Lochaber East and North",306,256,177,97,8,7,5,750,301,120,36,7,4,10,41,61,28,15,0,0,1,69,27,12,5,0,0,2,1166,652,337,153,19,10,19,
"Badenoch and Strathspey South",249,144,67,96,10,12,2,595,195,82,19,10,4,0,47,47,21,6,0,4,0,40,14,7,4,2,5,0,931,400,176,125,24,24,2,
"Badenoch and Strathspey Central",254,255,135,194,6,5,6,563,346,143,79,5,5,1,41,78,32,48,4,0,0,26,31,8,6,0,3,0,884,706,316,327,17,11,7,
"Badenoch and Strathspey North",306,179,89,84,19,12,10,734,253,97,51,12,16,3,37,53,26,13,1,1,0,46,19,5,10,3,1,0,1120,496,215,158,35,27,13,
"Nairn Rural",361,151,36,52,5,0,5,1051,302,32,27,1,0,11,63,56,8,4,3,0,0,54,20,4,1,0,0,0,1526,530,80,84,16,0,16,
"Nairn East",160,205,192,239,26,10,0,300,233,138,81,6,9,2,36,71,51,27,0,2,0,18,23,13,7,0,1,0,514,532,394,354,33,23,0,
"Nairn West",183,343,67,146,23,2,0,533,408,64,24,8,1,0,43,76,15,9,1,0,0,24,22,5,3,0,2,0,779,849,151,185,33,4,0,
"Inverness East Rural",304,174,93,56,7,0,3,1010,290,167,25,6,1,9,57,61,57,6,0,1,1,85,13,11,5,0,0,0,1456,538,332,92,13,4,13,
"Inverness Culloden and Balloch",199,185,102,148,1,1,1,531,176,165,50,2,1,0,51,32,48,16,0,0,0,26,13,23,10,1,0,0,807,406,340,223,5,1,1,
"Inverness Smithton",81,183,107,213,12,1,0,200,269,144,59,2,0,0,10,70,59,19,1,0,0,13,8,6,4,0,0,0,304,534,313,295,15,1,0,
"Inverness Westhill",276,239,73,233,0,0,0,984,391,115,98,2,2,0,83,80,46,60,0,0,0,43,16,8,18,0,0,0,1390,722,238,413,2,2,0,
"Inverness Inshes",171,191,86,342,11,1,2,800,398,88,134,3,2,0,62,118,48,54,1,0,0,46,25,7,20,2,1,0,1076,737,231,550,17,3,2,
"Inverness Slackbuie",107,138,25,178,0,0,2,548,258,40,81,4,2,4,42,74,20,29,1,1,0,34,13,3,17,0,0,0,727,489,88,303,5,5,4,
"Inverness Lochardil and Holm Mains",320,283,43,243,8,0,1,932,481,65,72,5,1,0,71,80,45,47,1,0,0,49,15,8,14,0,0,0,1374,859,158,374,14,1,1,
"Inverness Drummond",109,145,150,181,15,0,0,263,199,181,91,9,0,0,25,55,54,75,1,0,0,9,15,18,10,2,2,0,410,414,403,355,30,2,0,
"Inverness Hilton",62,209,305,265,1,4,2,122,163,336,49,0,0,2,27,63,108,36,1,0,0,6,17,37,10,2,0,0,222,452,782,355,3,6,3,
"Inverness Drakies",68,219,12,12,5,0,0,195,363,2,1,0,1,1,28,77,1,0,0,0,0,13,20,0,2,0,0,2,304,680,12,14,5,1,2,
"Inverness Central, Raigmore and Longman",73,136,193,658,57,33,2,138,176,239,205,7,9,0,12,42,61,82,0,5,0,13,15,8,52,3,3,0,237,369,501,997,67,48,2,
"Inverness Crown and Haugh",178,184,123,384,63,8,0,416,275,78,128,29,2,0,33,38,12,34,1,0,0,20,32,7,23,3,2,0,647,524,216,569,95,13,0,
"Inverness Ballifeary and Dalneigh",64,318,240,344,11,3,0,105,285,171,166,7,2,1,20,89,74,121,1,1,0,13,41,22,43,2,1,0,202,733,507,674,22,5,1,
"Inverness Muirtown",83,208,176,646,80,4,2,117,241,135,151,26,4,2,17,55,44,105,5,1,0,9,37,18,39,9,0,0,228,539,373,941,127,9,3,
"Inverness Merkinch",26,130,141,620,24,0,0,38,99,181,128,9,1,0,12,78,104,152,8,1,0,11,24,25,38,0,0,0,87,331,447,938,41,2,0,
"Inverness Scorguie",96,278,42,271,7,0,0,266,312,38,62,4,0,0,19,46,16,9,0,0,0,18,31,5,4,1,0,0,399,663,99,346,14,0,0,
"Inverness Kinmylies and South West",71,229,135,176,6,2,1,296,363,223,84,5,0,1,20,106,57,36,1,0,0,16,23,19,6,0,0,0,405,721,434,301,12,2,3,
"Inverness West Rural",206,161,76,86,19,6,10,611,173,73,33,10,4,5,53,49,25,9,3,1,0,41,16,5,2,0,1,0,911,397,179,130,32,15,15,
"Inverness West Strathglass",233,83,19,16,3,1,5,692,118,30,6,5,4,11,60,37,23,4,0,0,1,39,10,4,0,1,0,0,1020,243,72,26,11,5,17,
"Loch Ness",337,204,101,47,8,4,13,880,211,81,13,6,3,7,81,57,24,5,0,2,1,57,20,12,3,4,2,1,1358,489,216,68,15,12,21,
"Lochalsh",238,150,60,82,5,3,13,417,161,56,22,2,2,12,40,43,21,5,1,0,0,19,11,2,2,0,0,0,718,365,139,107,5,6,25,
"Skye South",439,151,47,74,2,11,14,727,107,25,16,1,4,9,66,40,16,7,0,4,2,57,8,5,1,1,0,0,1284,304,90,96,7,17,23,
"Skye North East",254,232,117,184,13,1,6,455,218,56,34,3,5,4,36,65,15,10,1,0,0,37,7,8,6,2,0,0,782,524,196,234,17,6,13,
"Skye North West",436,77,17,14,1,4,6,866,63,11,4,3,2,8,53,13,6,1,0,2,1,65,3,0,0,2,2,0,1420,153,38,20,7,9,17,
"Ross and Cromarty South West",402,147,43,19,4,9,8,624,132,18,9,3,2,0,39,26,4,2,0,0,0,51,9,1,0,2,0,0,1116,314,66,33,11,12,17,
"Ross and Cromarty North West",303,148,51,77,8,9,6,559,166,40,27,6,3,5,51,27,4,21,1,0,0,35,10,3,3,0,5,0,944,351,98,128,18,14,12,
"Ross and Cromarty Central",240,138,40,12,8,5,6,642,196,56,4,12,1,4,44,62,13,10,0,0,1,31,15,1,5,0,1,1,957,414,106,37,20,5,9,
"Ross and Cromarty East",207,96,54,24,4,2,2,580,151,60,9,5,1,5,37,36,18,2,0,0,0,46,15,3,2,0,0,0,870,297,135,36,9,2,5,
"Muir of Ord",182,211,56,64,13,1,0,507,285,54,27,4,0,1,48,93,23,14,0,0,0,28,13,2,5,1,0,0,761,601,133,112,16,2,1,
"Conon",221,236,61,37,4,2,0,599,255,93,19,3,1,1,45,95,42,6,0,0,1,28,8,6,2,0,2,0,893,594,200,66,7,5,2,
"Dingwall",206,257,214,356,15,12,3,478,288,238,114,11,10,1,49,78,61,55,2,1,1,27,24,20,12,1,2,0,762,647,534,538,28,24,6,
"Black Isle South",217,125,31,19,0,0,0,576,149,33,7,3,0,4,42,46,11,14,0,0,1,26,14,2,2,0,0,1,858,334,79,43,5,0,7,
"Black Isle Fortrose and Avoch",247,197,84,44,15,2,1,672,239,95,15,10,2,0,46,61,41,18,3,1,0,31,15,5,0,0,0,0,1004,511,221,77,31,5,0,
"Black Isle North",237,95,73,17,5,4,10,788,127,69,10,10,1,6,57,32,24,1,1,0,3,44,8,2,0,1,1,0,1126,262,168,31,17,7,20,
"Alness",185,413,287,146,10,10,0,436,444,305,41,5,4,0,51,167,150,23,3,0,0,36,44,23,7,1,0,0,708,1065,765,219,19,16,0,
"Invergordon",121,256,197,197,12,4,0,309,311,273,39,3,1,4,33,67,133,25,2,0,0,24,15,16,6,5,0,1,487,649,619,267,21,7,5,
"Seaboard",258,247,166,19,7,3,1,640,281,168,6,2,1,4,55,51,64,9,0,0,0,34,17,16,0,2,0,0,991,596,414,34,13,9,7,
"Tain",172,229,109,149,21,6,2,388,248,117,36,10,2,2,36,83,68,13,0,1,0,16,21,11,5,2,0,0,612,577,309,201,32,10,3,
"Sutherland South",559,395,78,57,6,7,14,1041,406,71,18,4,5,11,78,98,25,6,2,1,3,86,28,3,2,0,0,0,1761,923,171,84,12,13,28,
"Sutherland East",276,407,146,48,5,6,1,480,371,112,16,1,9,0,41,67,48,0,0,0,0,37,22,4,0,0,0,0,830,868,310,57,8,13,1,
"Caithness South",266,158,44,10,0,0,4,601,198,30,4,1,0,15,43,28,11,0,0,0,1,33,9,2,0,1,0,0,938,393,90,17,4,0,21,
"Wick South",89,174,231,281,29,0,0,164,211,257,62,3,3,0,18,64,81,34,1,1,0,7,12,12,2,0,0,1,278,461,581,382,33,4,1,
"Wick North",124,181,151,132,12,7,0,306,208,123,45,1,4,0,28,55,43,19,3,1,0,12,14,6,2,1,3,0,466,461,323,195,18,14,0,
"Caithness North East",355,183,25,11,7,2,9,741,181,33,5,0,1,9,48,37,18,1,0,0,0,42,7,5,1,0,0,0,1186,408,81,25,7,3,18,
"Caithness North West",361,281,91,41,14,0,5,947,314,54,17,1,0,0,71,48,14,4,2,0,0,28,15,6,2,0,1,0,1407,658,165,59,17,1,6,
"Thurso East",82,370,357,250,20,14,0,186,338,285,46,2,9,1,26,99,102,16,2,0,0,8,12,10,7,0,1,0,302,823,750,319,25,23,1,
"Thurso West",78,245,89,86,14,2,0,183,371,86,23,3,0,0,10,84,19,8,0,0,0,13,11,4,3,0,0,0,281,711,202,121,17,3,0,
"Sutherland North and West",423,185,58,28,8,1,6,621,135,33,15,0,4,11,43,33,10,3,0,2,1,37,18,1,1,0,0,0,1124,365,104,43,8,4,18,
"Kilmacolm Central",98,72,91,251,38,1,0,397,150,99,113,34,0,0,15,17,21,31,4,0,0,11,6,7,1,0,1,0,522,244,223,398,76,3,0,
"Kilmacolm, Quarriers, Greenock Upper East/Central",105,38,27,39,40,0,0,414,85,52,50,41,1,2,18,11,9,8,7,0,0,16,4,1,2,7,0,0,553,137,89,99,97,1,2,
"Inverkip and Wemyss Bay",171,91,77,190,17,2,2,1058,355,142,118,21,1,3,70,38,13,27,2,0,0,58,9,4,3,2,0,0,1357,493,241,342,42,3,4,
"West Braeside and West Gourock",113,54,7,128,5,0,8,410,140,36,102,11,0,2,15,18,2,5,1,0,2,11,4,1,2,1,0,0,549,218,42,239,21,0,11,
"Gourock Upper and West Central",42,117,77,496,68,4,0,163,286,116,360,83,2,0,13,49,23,88,15,1,0,3,23,4,20,2,0,0,218,472,223,964,168,10,0,
"Gourock Central and Upper East",37,126,82,712,17,5,0,133,238,117,307,8,0,0,12,27,23,122,5,1,0,8,15,7,16,1,0,0,190,407,229,1157,32,6,0,
"Braeside, Branchton, Ravenscraig",35,162,185,35,1,0,0,74,294,320,27,2,1,0,12,116,91,25,0,0,0,4,22,30,8,0,0,0,125,594,629,94,2,1,0,
"Larkfield",10,206,186,64,5,1,0,29,277,273,86,2,0,0,21,172,142,62,0,0,0,5,32,29,7,0,0,0,67,687,627,215,7,1,0,
"Bow Farm, Fancy Farm and Mallard Bowl",24,248,177,413,9,0,0,82,407,242,199,2,0,1,20,177,124,136,2,2,0,4,37,27,27,2,0,0,134,866,574,775,17,4,1,
"Gourock East, Greenock West and Lyle Road",81,123,52,346,98,0,0,328,416,100,223,202,0,0,34,24,15,16,19,1,0,14,15,6,8,12,1,0,463,578,177,593,331,3,0,
"Greenock West and Central",19,43,29,1298,80,9,0,46,128,45,702,103,4,0,5,17,7,291,13,0,0,1,13,1,57,3,0,0,73,201,80,2348,201,17,0,
"Gateside, Pennyfern, Cowdenknowes, Overton and upper Drumfrochar",30,166,73,310,6,0,0,208,323,213,175,6,1,0,21,57,45,69,1,0,0,12,15,6,13,0,0,0,276,561,339,568,14,1,0,
"Greenock Upper Central",13,47,39,1331,21,4,0,42,66,89,411,8,1,0,10,17,18,240,0,0,0,4,10,8,28,0,0,0,69,133,150,2011,29,5,0,
"Greenock Town Centre and East Central",21,114,102,1379,23,21,0,79,181,88,422,9,6,0,21,72,63,186,4,2,0,8,15,12,42,2,1,0,132,384,265,2029,37,31,0,
"Greenock Upper East",11,196,107,134,3,0,0,48,360,157,62,3,0,0,5,154,49,83,0,0,0,10,44,6,10,0,0,0,74,754,318,289,11,0,0,
"Greenock Lower East",23,133,127,419,12,0,0,89,267,188,164,6,1,0,24,98,53,131,1,0,0,2,22,11,15,0,0,0,138,520,383,725,21,1,0,
"Port Glasgow Upper, West and Central",18,93,194,742,30,9,0,136,254,418,274,38,3,0,16,43,78,141,5,4,0,2,25,36,34,5,0,0,174,413,726,1191,80,16,0,
"Port Glasgow Mid, East and Central",42,177,179,295,6,8,1,41,288,284,133,8,2,0,16,104,96,109,3,0,0,3,35,22,22,1,1,0,102,601,581,558,18,9,1,
"Port Glasgow Upper East",22,216,308,175,2,1,0,30,309,529,47,3,1,0,23,126,152,47,0,0,0,8,45,48,10,0,0,0,80,696,1041,279,5,2,0,
"Rural South Midlothian",115,96,125,57,4,0,0,599,216,183,31,2,0,0,26,23,43,21,0,0,0,45,18,13,5,0,0,0,786,356,364,112,4,0,0,
"Penicuik Southeast",99,106,122,374,17,6,1,292,262,164,140,26,4,2,17,35,60,43,3,1,1,12,17,16,24,3,0,0,420,422,362,581,49,11,4,
"Penicuik Southwest",56,164,94,125,0,0,0,236,426,179,79,2,0,0,14,65,40,48,1,0,0,8,20,16,11,5,0,0,313,674,329,263,6,0,0,
"Penicuik East",9,66,194,78,5,0,0,28,164,355,37,2,1,0,4,48,94,12,0,0,0,4,4,27,0,0,0,0,45,284,670,127,6,1,0,
"Penicuik North",49,146,117,38,2,0,1,196,400,224,25,1,2,0,11,59,62,15,0,0,0,7,19,21,1,4,0,0,263,625,428,81,5,2,1,
"Pentland",78,102,68,98,6,1,0,595,399,171,74,5,0,0,21,35,29,38,0,0,0,23,21,10,11,1,0,0,717,561,273,221,12,1,0,
"Roslin and Bilston",75,129,99,167,7,4,0,277,332,148,86,7,0,0,14,52,31,29,3,0,0,21,23,13,8,0,0,0,390,535,293,290,19,4,0,
"Straiton",41,81,62,91,3,0,166,136,195,117,72,3,0,88,11,31,25,35,0,0,16,6,19,9,10,0,0,3,192,323,213,208,6,0,273,
"Loanhead",46,202,103,231,18,6,3,168,310,184,197,10,6,0,20,53,34,75,3,1,0,22,18,7,22,1,1,0,256,583,328,525,28,14,3,
"Poltonhall",31,175,256,65,3,1,0,147,361,500,49,3,2,0,22,96,129,36,0,0,0,9,19,41,6,3,2,0,205,651,926,156,8,5,0,
"Bonnyrigg North",114,214,148,353,14,11,2,422,468,255,180,11,4,2,28,75,61,65,2,0,0,16,30,20,17,0,1,0,580,784,486,617,27,16,5,
"Hopefield",19,60,116,132,1,0,0,409,258,428,106,4,0,0,14,37,72,16,0,0,0,35,12,26,4,0,0,0,481,367,645,258,3,0,0,
"Dalhousie",106,64,41,38,0,4,0,783,217,111,44,2,4,0,42,26,13,27,0,0,0,33,15,4,7,0,0,0,964,318,171,114,2,6,0,
"Eskbank and Newbattle",173,115,64,170,26,7,0,682,434,154,137,24,6,0,36,31,15,25,0,0,0,38,17,10,16,3,1,0,929,590,243,348,51,17,0,
"Danderhall, Shawfair and Midlothian North",68,154,167,151,4,1,1,528,341,372,152,4,3,0,27,53,78,62,0,3,0,22,19,34,18,0,0,0,645,567,651,381,8,6,1,
"Woodburn",34,116,190,247,3,2,2,296,287,382,183,10,0,0,14,79,94,80,0,0,0,10,32,26,38,0,0,0,354,511,692,549,13,2,2,
"Dalkeith",8,77,92,442,11,13,0,36,91,159,245,8,6,0,3,42,46,104,1,0,0,4,13,12,44,3,2,0,55,223,309,839,23,21,0,
"Rural North East Midlothian",74,99,90,157,2,0,0,500,260,235,77,2,1,0,19,43,55,42,0,0,0,35,23,15,10,0,0,0,628,426,400,284,5,1,0,
"Pathhead and Rural South East Midlothian",80,83,78,35,2,0,0,511,279,165,29,9,0,0,20,34,21,12,0,0,0,31,16,9,5,1,0,0,643,416,273,81,12,0,0,
"Easthouses",23,160,99,72,0,2,2,81,284,232,56,3,0,0,14,60,65,33,0,2,0,10,34,24,12,0,0,0,128,541,420,169,3,4,2,
"Mayfield",21,129,315,188,1,2,0,85,229,507,98,0,1,0,22,66,141,79,1,2,0,5,28,52,7,0,3,0,134,451,1012,374,2,7,0,
"Newtongrange",93,146,228,188,7,5,1,130,286,336,148,2,5,2,21,51,101,62,1,0,0,12,18,36,21,1,1,0,258,502,701,422,10,9,2,
"North Gorebridge",38,118,105,237,4,1,0,158,223,187,179,4,0,0,18,64,35,95,2,0,0,7,33,14,23,0,0,0,221,431,341,534,10,1,0,
"Gorebridge and Birkenside",44,121,76,190,8,0,0,175,322,143,123,10,1,1,16,67,37,65,0,1,0,13,33,14,24,0,2,0,253,542,270,405,18,4,1,
"Aberlour, South Speyside and the Cabrach",270,247,137,89,9,11,0,647,350,132,27,8,7,0,44,59,28,14,0,3,0,34,15,12,3,0,1,1,995,665,313,132,14,18,1,
"Rothes and North Speyside",132,159,142,24,7,5,1,433,189,103,7,2,1,4,30,31,28,4,0,1,1,21,7,3,2,0,0,0,620,386,280,34,5,7,6,
"Rural Keith and Strathisla",243,99,26,2,3,0,3,626,126,20,4,0,0,9,47,25,3,2,0,0,0,35,9,0,2,0,0,4,951,259,49,8,3,0,14,
"Keith and Fife Keith",202,347,279,142,14,21,1,425,349,221,18,6,8,1,32,87,68,8,0,1,0,19,17,11,1,1,1,0,682,800,584,169,22,31,3,
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",237,268,84,43,9,3,0,695,384,73,15,6,6,1,52,81,19,5,0,0,0,35,14,4,1,0,0,0,1019,747,183,67,17,7,1,
"Buckie Central East",107,228,172,119,19,3,0,280,342,172,43,16,4,0,29,52,85,17,1,0,0,10,20,9,4,1,0,0,427,642,438,183,37,7,0,
"Buckie West, Buckpool and Mains of Buckie",198,389,120,186,19,8,0,597,499,142,39,11,4,0,44,85,26,23,1,1,0,29,31,2,7,1,0,0,868,1006,290,257,37,17,0,
"Mosstodloch, Portgordon, Urquhart and seaward",251,214,65,31,8,2,1,752,330,110,11,4,1,0,51,79,37,7,0,0,0,32,10,4,2,1,0,0,1086,633,214,50,13,0,1,
"Fochabers, Aultmore, Clochan and Ordiquish",159,113,73,54,4,1,1,391,147,57,10,1,5,2,24,52,29,1,0,1,0,21,4,4,2,1,2,0,595,319,163,67,6,6,4,
"Heldon West, Miltonduff and Fogwatt to Inchberry",147,56,9,3,0,0,5,602,110,15,3,1,0,12,27,12,6,0,3,0,1,29,2,0,0,0,0,0,803,181,34,6,3,0,16,
"Lhanbryde, Troves, Pitgavney and seaward",95,129,108,78,6,0,2,282,138,129,33,4,1,1,18,17,34,35,0,0,0,15,4,3,0,0,0,0,410,288,274,152,10,1,3,
"Elgin Central East, Kingsmills, Ashgrove and Pinefield",75,174,195,434,29,2,23,138,250,258,163,8,0,14,18,83,76,81,1,2,0,9,23,10,28,0,0,0,240,530,539,706,37,5,37,
"New Elgin East and The Wards",80,299,115,320,15,5,0,395,542,129,109,6,0,0,39,139,35,56,0,0,0,19,29,7,21,5,0,0,533,1007,281,509,24,5,0,
"New Elgin West",138,263,106,143,4,0,0,425,471,185,47,1,0,0,29,97,43,14,2,0,0,19,23,10,2,0,2,0,614,853,344,206,7,2,0,
"Elgin Central West",207,107,76,149,36,4,0,549,168,48,47,6,1,0,20,27,5,12,1,0,0,23,12,5,13,3,0,0,799,314,132,221,46,4,0,
"Elgin Bishopmill East, Ladyhill and High Street",76,198,169,315,21,17,0,181,279,236,81,14,7,1,23,73,58,11,1,1,0,8,9,18,17,3,2,0,289,559,482,422,39,27,1,
"Elgin Bishopmill West and Newfield",77,108,100,190,5,0,0,575,315,115,59,0,0,0,41,39,24,13,1,2,0,15,20,7,4,1,0,0,709,484,246,264,9,2,0,
"Lossiemouth East and Seatown",107,183,149,157,23,5,1,291,295,174,48,12,2,4,34,55,26,15,3,0,0,26,12,9,2,2,0,0,455,545,358,222,40,6,6,
"Lossiemouth West",58,171,145,90,7,0,0,209,348,200,31,7,0,0,15,59,75,13,0,0,0,14,17,13,2,0,0,0,300,595,432,136,14,3,0,
"Burghead, Roseisle and Laich",290,205,98,60,14,1,2,807,299,114,20,2,7,5,49,51,23,3,1,0,0,36,16,1,0,2,0,0,1182,571,237,83,19,10,7,
"Kinloss, Alves and Pluscarden Valley",83,91,77,18,4,0,12,257,236,128,9,3,0,2,25,27,46,5,0,2,0,17,10,6,3,1,1,0,384,363,257,33,6,3,17,
"Forres Central East",252,233,151,401,24,23,4,453,236,89,85,7,12,0,32,31,38,29,3,2,0,16,21,4,5,4,2,0,753,521,285,520,37,39,4,
"Forres South West, Pilmuir and Mannachie",173,272,268,194,8,1,2,565,500,333,90,4,0,0,34,134,110,22,0,0,0,18,20,33,20,0,0,0,790,931,745,324,12,1,2,
"Findhorn, Rafford, Dallas, Dyke to Dava",284,118,55,26,10,2,51,749,145,47,13,6,0,48,49,14,3,2,0,0,2,64,12,12,1,0,1,0,1146,288,118,39,16,4,99,
"Barra and South Uist",420,141,37,20,2,2,3,553,85,16,3,0,4,3,80,48,10,2,0,2,0,45,7,2,0,0,0,0,1098,281,67,25,2,7,5,
"Benbecula and North Uist",349,120,97,10,2,0,10,494,88,43,6,1,3,1,58,23,16,4,0,0,0,54,10,5,0,0,0,0,952,241,159,16,3,4,8,
"South Lewis",662,179,53,22,3,1,4,860,114,31,5,0,1,3,101,37,7,0,0,0,0,50,10,4,0,0,0,0,1677,339,97,27,3,6,7,
"Northwest Lewis",539,162,11,10,0,0,0,817,91,5,0,0,0,0,111,32,1,0,0,0,1,71,4,0,0,0,2,0,1538,289,17,10,0,2,3,
"Broadbay",365,105,11,6,1,2,0,723,108,11,0,0,0,0,80,64,5,1,0,0,0,50,4,0,1,0,0,0,1218,281,27,8,1,2,0,
"Stornoway West",178,173,151,322,15,14,0,278,128,100,45,4,1,2,33,57,37,16,0,1,0,15,13,6,3,0,2,0,508,375,294,387,15,19,2,
"Stornoway East",148,221,126,123,6,0,0,269,168,118,34,0,0,0,32,45,35,16,0,0,0,17,14,3,7,0,0,0,461,446,282,180,6,0,0,
"Point to Sandwick",286,152,25,4,0,0,0,588,83,16,0,1,1,0,73,56,1,0,0,0,0,26,4,0,0,0,0,0,978,294,46,4,1,1,0,
"Arran",436,250,102,48,9,4,13,756,264,98,24,14,9,7,50,41,29,5,0,0,0,72,21,7,1,3,4,1,1310,576,236,78,26,16,21,
"Springside and Rural",90,110,111,56,2,0,15,221,165,131,22,1,0,20,15,46,40,21,0,0,0,20,17,12,5,2,0,0,346,338,294,108,5,0,33,
"Irvine Tarryholme",115,150,46,154,2,0,0,326,317,62,65,1,0,0,20,41,26,33,1,0,0,24,10,5,7,0,0,0,483,514,139,258,6,0,0,
"Dreghorn",52,136,264,128,3,3,0,170,226,344,36,2,1,0,10,43,94,32,0,1,0,11,10,19,1,0,0,0,243,414,724,197,3,5,0,
"Irvine Broomlands",7,51,273,47,3,2,0,21,72,404,12,1,0,0,6,35,182,11,0,0,0,4,2,36,6,0,0,0,38,160,895,73,4,2,0,
"Irvine Bourtreehill",11,49,261,23,3,10,0,18,71,339,7,0,0,0,12,39,135,6,1,0,0,4,3,25,0,1,0,0,45,165,758,35,3,10,0,
"Irvine Girdle Toll and Staneca",53,192,339,120,2,0,0,148,293,388,61,4,0,0,13,71,116,33,0,0,0,8,13,25,3,0,0,0,226,569,868,217,5,0,0,
