SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 4 groups, collapsed and Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,,,,,"One family household: Couple family",,,,,,,"One family household: Lone parent",,,,,,,"Other household types",,,,,,,"Total",,,,,,,
"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",
"Intermediate Zone (2022)",
"Portsoy, Fordyce and Cornhill",206,212,41,70,26,1,1,486,281,45,22,3,2,2,34,36,11,7,0,0,0,31,9,0,3,0,0,0,757,533,97,99,32,2,3,
"Aberchirder and Whitehills",254,189,101,42,7,1,1,701,240,98,12,1,0,1,46,29,27,3,0,3,1,33,13,2,9,0,0,4,1033,471,228,63,8,5,6,
"Banff",123,266,160,265,31,12,0,341,314,164,57,17,7,0,29,87,57,25,0,2,0,14,15,4,6,0,0,0,507,685,383,353,44,21,0,
"Macduff",124,253,167,141,17,8,0,347,343,165,48,6,3,2,31,55,58,17,1,0,0,16,10,3,3,0,1,0,516,663,393,211,25,12,2,
"Gardenstown and King Edward",187,132,40,16,4,2,3,660,139,42,11,3,2,6,40,35,6,2,0,0,2,33,8,4,0,2,0,0,920,310,92,29,8,4,7,
"New Pitsligo",173,162,47,15,3,0,4,498,179,51,6,1,4,2,34,43,19,1,2,0,1,33,13,3,0,0,1,1,738,396,120,24,5,3,7,
"Deer and Mormond",226,231,99,58,20,0,6,871,277,94,7,10,3,8,57,56,27,3,1,0,0,59,11,8,2,4,0,0,1213,575,231,68,30,4,14,
"Mintlaw",138,255,44,55,0,0,0,416,286,35,6,2,0,1,29,92,12,6,0,0,0,7,15,3,0,0,0,0,589,644,93,65,3,0,1,
"Auchnagatt",156,74,30,19,1,0,3,696,143,26,1,4,0,4,40,26,6,7,0,0,0,29,7,1,0,0,0,0,921,246,63,28,4,0,9,
"Cruden",198,274,102,64,14,0,1,639,379,156,37,5,1,0,57,77,49,15,2,0,1,32,19,8,1,0,1,0,926,749,319,115,24,4,0,
"Peterhead Links",79,232,220,65,0,0,1,221,392,373,43,2,0,0,22,65,85,18,3,0,0,8,9,23,2,0,0,0,328,702,706,123,5,0,1,
"Peterhead Bay",54,148,48,284,29,2,1,147,224,46,99,8,1,0,8,35,11,48,1,0,0,7,13,7,14,2,0,0,211,424,112,445,42,3,1,
"Peterhead Harbour",82,330,149,969,77,20,0,133,345,165,375,55,6,0,34,117,82,159,15,7,0,16,32,18,58,10,0,0,269,824,416,1564,157,33,0,
"Peterhead Ugieside",140,330,65,87,10,1,0,454,484,66,18,4,4,2,29,79,31,9,1,0,0,17,21,1,3,1,1,0,641,914,159,117,16,4,2,
"Longside and Rattray South",149,130,27,40,2,0,0,898,244,27,19,4,0,0,38,52,12,5,1,0,0,29,7,0,1,0,0,0,1114,433,65,65,6,0,0,
"Longside and Rattray North",203,120,74,23,3,1,0,686,186,58,4,4,0,4,49,43,16,1,3,0,1,35,11,2,2,0,0,1,973,360,149,33,7,1,8,
"Rosehearty, Sandhaven and Tyrie",117,159,62,54,7,2,0,459,253,58,27,7,1,1,40,48,29,5,4,0,0,16,15,3,1,0,0,0,635,475,154,87,15,4,2,
"Cairnbulg/Inverallochy and Memsie",280,112,55,15,1,0,3,695,128,47,5,0,0,0,64,35,14,1,0,0,0,19,2,0,1,0,0,0,1050,279,116,22,1,0,3,
"Fraserburgh Smiddyhill",175,135,66,49,21,1,0,722,249,79,26,11,1,0,48,35,29,9,2,0,0,15,8,3,0,0,0,0,960,426,178,85,36,3,0,
"Fraserburgh Lochpots",30,136,163,72,7,0,0,65,184,199,26,0,0,0,12,71,90,15,0,0,0,1,16,10,5,2,0,0,108,407,462,120,11,0,0,
"Fraserburgh Central-Academy",32,143,111,292,34,3,1,70,274,130,49,15,4,0,11,68,41,22,3,1,0,6,24,9,14,0,0,0,117,505,291,374,49,11,1,
"Fraserburgh Harbour and Broadsea",52,219,176,398,20,13,7,71,214,156,103,13,1,0,20,86,76,58,3,0,0,8,25,15,23,2,0,0,152,543,425,584,39,11,7,
