SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation - 3 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation - 3 groups, collapsed","Whole house or bungalow",,,,,"Flat, maisonette or apartment",,,,,"Caravan or other mobile or temporary structure",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Data Zone (2022)",
"S01013769",84,111,31,21,2,15,9,6,2,1,1,0,0,0,0,
"S01013770",73,68,33,23,7,32,16,10,0,0,0,0,0,0,0,
"S01013771",49,79,31,17,7,32,3,4,3,2,0,0,0,0,0,
"S01013772",84,106,41,25,10,0,2,0,3,0,0,0,0,0,0,
"S01013773",73,115,40,38,12,71,27,7,5,0,0,0,0,0,0,
"S01013774",91,98,17,13,0,15,13,6,6,0,0,0,0,0,0,
"S01013775",59,85,23,24,6,55,20,5,1,1,0,0,0,0,0,
"S01013776",42,86,41,28,5,7,4,5,1,0,0,0,0,0,0,
"S01013777",52,127,51,43,12,36,4,2,0,2,0,0,0,0,0,
"S01013778",86,117,35,25,12,0,3,0,2,0,0,0,0,0,0,
"S01013779",42,73,50,58,17,57,10,0,0,0,0,0,0,0,0,
"S01013780",37,79,50,48,14,25,16,7,4,1,5,2,0,0,0,
"S01013781",32,74,57,58,13,27,8,1,3,3,0,0,0,0,0,
"S01013782",83,115,30,17,4,29,10,0,2,0,0,0,0,0,0,
"S01013783",181,157,41,22,9,29,13,0,2,0,0,0,1,0,0,
"S01013784",87,117,30,32,10,11,0,1,2,0,0,1,0,0,0,
"S01013785",90,134,47,27,12,1,2,0,0,0,0,1,0,0,0,
"S01013786",96,110,22,32,10,17,3,1,3,0,0,1,0,0,0,
"S01013787",114,102,25,23,11,4,2,1,0,0,0,0,0,0,0,
"S01013788",63,116,34,53,11,47,5,0,0,1,0,0,0,0,0,
"S01013789",45,101,56,55,21,2,2,1,0,0,0,0,0,0,0,
"S01013790",56,129,40,28,15,4,2,0,0,0,0,3,1,0,0,
"S01013791",47,120,36,37,10,1,2,2,1,0,1,1,0,0,0,
"S01013792",128,135,46,41,17,47,6,1,0,0,0,0,0,0,0,
"S01013793",56,151,49,53,22,2,0,1,0,0,2,2,0,1,0,
"S01013794",50,103,38,36,10,11,3,0,0,1,0,0,0,0,0,
"S01013795",29,70,45,51,13,14,9,1,2,1,0,0,0,0,0,
"S01013796",106,111,26,25,16,26,2,4,3,0,0,0,0,0,0,
"S01013797",49,88,42,40,8,3,2,0,1,0,0,0,0,0,0,
"S01013798",87,130,68,52,27,33,7,5,3,1,0,0,0,0,0,
"S01013799",86,113,32,52,28,19,3,1,0,0,0,0,1,0,0,
"S01013800",28,80,17,28,15,2,3,0,0,0,0,0,0,0,0,
"S01013801",107,204,65,71,22,2,2,0,0,0,0,0,0,0,0,
"S01013802",65,106,33,44,23,0,0,0,0,0,0,0,0,0,0,
"S01013803",99,125,43,27,23,1,0,0,0,0,1,1,0,0,0,
"S01013804",43,76,40,39,17,0,3,0,0,0,0,1,0,0,0,
"S01013805",99,147,54,45,19,29,7,1,0,2,0,0,0,0,0,
"S01013806",66,137,60,50,26,4,1,0,2,0,0,0,0,0,1,
"S01013807",49,73,43,37,13,2,2,0,0,0,0,0,0,0,0,
"S01013808",77,131,47,73,18,3,2,1,0,0,0,0,0,0,0,
"S01013809",95,108,50,50,20,21,14,3,1,3,0,0,0,0,0,
"S01013810",68,143,48,59,19,16,10,3,1,0,0,0,0,0,0,
"S01013811",75,69,29,27,8,61,18,12,3,2,0,0,0,0,0,
"S01013812",105,106,43,37,18,21,13,7,0,0,0,0,0,0,0,
"S01013813",55,71,37,28,22,0,1,0,0,0,0,0,0,0,0,
"S01013814",61,139,44,62,13,3,0,0,0,0,1,0,0,0,0,
"S01013815",69,128,57,56,14,2,4,0,0,0,1,2,0,0,0,
"S01013816",57,75,26,30,2,0,0,0,0,0,0,0,0,0,0,
"S01013817",51,79,37,39,7,1,1,0,0,0,2,1,0,0,0,
"S01013818",36,82,56,40,6,31,11,5,0,0,0,0,0,0,0,
"S01013819",30,60,55,60,23,1,3,0,1,0,1,0,0,0,0,
"S01013820",47,130,66,49,15,2,1,1,0,0,1,1,0,0,0,
"S01013821",61,106,34,27,7,60,9,9,0,0,0,0,0,0,0,
"S01013822",54,71,40,36,18,87,43,22,9,5,0,0,0,0,0,
"S01013823",100,162,76,63,19,17,4,0,0,0,0,0,0,0,0,
"S01013824",76,131,69,46,11,13,7,2,0,0,0,0,0,0,0,
"S01013825",113,91,58,33,9,83,15,4,0,1,0,0,0,0,0,
