SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household composition - 4 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,"One family household: Couple family",,,"One family household: Lone parent",,,"Other household types",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013653",44,47,5,8,42,26,10,11,2,8,8,5,70,108,40,
"S01013654",112,61,0,35,42,17,21,8,6,19,9,6,190,116,38,
"S01013655",161,93,4,35,78,26,21,22,3,21,15,6,241,205,39,
"S01013656",147,51,5,16,34,13,9,16,1,7,5,4,176,105,21,
"S01013657",80,35,4,36,46,31,48,21,12,13,8,5,177,112,52,
"S01013658",110,47,2,27,35,26,25,15,7,11,6,5,173,108,42,
"S01013659",164,91,7,52,76,28,31,38,6,29,15,9,272,220,49,
"S01013660",90,55,4,27,55,48,45,22,4,9,14,8,171,145,63,
"S01013661",83,54,4,26,63,45,21,29,5,4,10,8,130,156,62,
"S01013662",43,72,10,17,77,58,10,8,1,3,5,0,76,162,72,
"S01013663",128,72,7,33,61,45,45,20,7,9,4,9,215,157,68,
"S01013664",131,146,9,21,57,54,14,6,4,3,10,3,169,219,69,
"S01013665",96,51,2,34,63,29,27,37,3,22,13,4,179,164,33,
"S01013666",88,38,4,24,74,31,42,26,11,5,14,6,163,152,49,
"S01013667",154,82,5,19,45,29,14,13,2,9,12,6,196,152,42,
"S01013668",107,91,3,21,42,29,15,11,5,3,10,3,147,151,40,
"S01013669",64,59,4,22,42,31,18,13,4,0,7,2,102,120,41,
"S01013670",100,84,1,30,65,49,26,27,5,4,6,3,160,181,60,
"S01013671",160,104,5,14,98,81,11,12,0,1,4,4,185,220,92,
"S01013672",49,161,13,21,112,100,5,9,6,20,18,24,95,299,141,
"S01013673",58,77,3,21,56,35,11,17,3,3,5,15,93,150,56,
"S01013674",56,93,3,23,72,48,8,5,2,11,8,9,98,178,62,
"S01013675",61,78,4,14,81,60,3,13,3,5,12,8,83,181,75,
"S01013676",113,148,11,35,86,65,22,27,7,14,8,6,188,271,89,
"S01013677",207,99,5,32,77,37,29,21,8,4,3,8,272,198,58,
"S01013678",60,54,6,21,77,56,11,8,7,2,7,11,95,146,80,
"S01013679",106,54,3,21,81,40,15,23,8,5,6,4,147,164,53,
"S01013680",99,71,3,30,73,45,27,30,3,5,6,3,161,182,56,
"S01013681",173,70,4,24,54,16,19,13,3,9,7,4,223,145,27,
"S01013682",36,39,1,11,45,35,9,8,2,2,4,1,58,93,41,
"S01013683",103,86,3,16,80,50,17,11,3,9,10,8,145,187,61,
"S01013684",60,61,7,23,41,49,29,27,6,3,5,4,113,132,66,
"S01013685",59,44,3,19,75,78,10,24,5,0,6,5,88,149,91,
"S01013686",61,46,1,16,55,47,21,21,0,0,3,3,100,125,55,
"S01013687",72,56,3,20,41,36,23,23,1,0,1,2,112,121,42,
"S01013688",101,67,5,20,71,69,34,29,7,3,5,3,152,170,82,
"S01013689",51,47,6,15,63,50,14,17,4,0,0,5,81,130,65,
"S01013690",35,34,3,13,40,41,16,22,4,0,5,3,66,104,47,
"S01013691",95,48,4,18,81,78,19,21,2,2,3,3,134,153,87,
"S01013692",106,77,8,19,74,62,21,39,11,0,8,6,142,206,87,
"S01013693",84,69,0,15,112,81,16,16,6,1,9,4,117,204,92,
"S01013694",133,77,7,11,102,76,7,19,3,5,1,1,158,199,88,
"S01013695",50,37,0,10,59,57,10,15,6,0,4,2,74,111,67,
"S01013696",99,69,6,25,86,74,32,38,6,3,2,8,159,192,93,
"S01013697",79,46,2,17,81,43,7,10,5,2,6,7,105,147,57,
"S01013698",17,21,0,16,39,45,24,31,4,3,4,7,63,94,55,
"S01013699",36,29,5,19,55,44,17,13,4,3,2,5,75,101,58,
"S01013700",82,74,3,25,89,84,22,21,10,4,8,2,133,192,101,
"S01013701",26,28,0,21,65,52,14,24,5,0,7,0,61,121,62,
"S01013702",50,35,2,20,88,97,27,28,13,2,3,8,98,154,120,
"S01013703",41,35,2,8,59,56,17,22,6,3,4,3,65,120,69,
"S01013704",59,46,4,14,69,86,12,24,8,4,8,4,86,146,106,
"S01013705",49,38,3,15,60,71,17,17,9,3,11,4,80,126,85,
"S01013706",42,52,5,9,63,58,13,16,5,1,5,4,67,136,72,
"S01013707",45,22,3,28,49,52,51,34,15,3,5,7,127,110,77,
"S01013708",44,31,3,13,69,57,8,21,3,5,9,5,70,131,71,
"S01013709",40,26,3,25,39,22,39,24,8,12,11,9,121,100,44,
"S01013710",124,64,4,55,70,34,54,30,15,7,8,8,240,172,61,
