SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans",,,,,"Number of cars or vans in household: One car or van",,,,,"Number of cars or vans in household: Two or more cars or vans",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01014588",106,0,0,0,0,0,140,0,0,0,0,0,45,6,0,106,140,45,6,0,
"S01014589",164,0,0,0,0,0,156,0,0,0,0,0,58,7,3,164,156,58,7,3,
"S01014590",101,0,0,0,0,0,132,0,0,0,0,0,42,8,3,101,132,42,8,3,
"S01014591",88,0,0,0,0,0,164,0,0,0,0,0,51,10,3,88,164,51,10,3,
"S01014592",84,0,0,0,0,0,122,0,0,0,0,0,60,7,3,84,122,60,7,3,
"S01014593",259,0,0,0,0,0,172,0,0,0,0,0,57,8,2,259,172,57,8,2,
"S01014594",160,0,0,0,0,0,180,0,0,0,0,0,41,12,4,160,180,41,12,4,
"S01014595",112,0,0,0,0,0,143,0,0,0,0,0,45,5,3,112,143,45,5,3,
"S01014596",201,0,0,0,0,0,198,0,0,0,0,0,52,21,0,201,198,52,21,0,
"S01014597",87,0,0,0,0,0,138,0,0,0,0,0,51,6,4,87,138,51,6,4,
"S01014598",91,0,0,0,0,0,134,0,0,0,0,0,47,12,2,91,134,47,12,2,
"S01014599",96,0,0,0,0,0,196,0,0,0,0,0,50,8,8,96,196,50,8,8,
"S01014600",281,0,0,0,0,0,94,0,0,0,0,0,5,3,0,281,94,5,3,0,
"S01014601",192,0,0,0,0,0,161,0,0,0,0,0,32,11,4,192,161,32,11,4,
"S01014602",117,0,0,0,0,0,156,0,0,0,0,0,57,9,1,117,156,57,9,1,
"S01014603",90,0,0,0,0,0,157,0,0,0,0,0,64,9,1,90,157,64,9,1,
"S01014604",49,0,0,0,0,0,143,0,0,0,0,0,82,9,3,49,143,82,9,3,
"S01014605",30,0,0,0,0,0,164,0,0,0,0,0,83,10,2,30,164,83,10,2,
"S01014606",35,0,0,0,0,0,175,0,0,0,0,0,92,13,9,35,175,92,13,9,
"S01014607",96,0,0,0,0,0,221,0,0,0,0,0,66,13,2,96,221,66,13,2,
"S01014608",100,0,0,0,0,0,233,0,0,0,0,0,79,18,1,100,233,79,18,1,
"S01014609",26,0,0,0,0,0,150,0,0,0,0,0,110,12,1,26,150,110,12,1,
"S01014610",23,0,0,0,0,0,150,0,0,0,0,0,95,10,1,23,150,95,10,1,
"S01014611",35,0,0,0,0,0,148,0,0,0,0,0,58,6,0,35,148,58,6,0,
"S01014612",100,0,0,0,0,0,115,0,0,0,0,0,39,6,1,100,115,39,6,1,
"S01014613",243,0,0,0,0,0,199,0,0,0,0,0,32,6,1,243,199,32,6,1,
"S01014614",202,0,0,0,0,0,199,0,0,0,0,0,60,10,3,202,199,60,10,3,
"S01014615",153,0,0,0,0,0,161,0,0,0,0,0,33,5,3,153,161,33,5,3,
"S01014616",141,0,0,0,0,0,171,0,0,0,0,0,49,9,3,141,171,49,9,3,
"S01014617",101,0,0,0,0,0,107,0,0,0,0,0,21,7,4,101,107,21,7,4,
"S01014618",161,0,0,0,0,0,195,0,0,0,0,0,44,8,3,161,195,44,8,3,
"S01014619",98,0,0,0,0,0,233,0,0,0,0,0,88,19,2,98,233,88,19,2,
"S01014620",82,0,0,0,0,0,197,0,0,0,0,0,54,4,1,82,197,54,4,1,
"S01014621",43,0,0,0,0,0,87,0,0,0,0,0,36,4,2,43,87,36,4,2,
"S01014622",171,0,0,0,0,0,197,0,0,0,0,0,43,0,3,171,197,43,0,3,
"S01014623",71,0,0,0,0,0,180,0,0,0,0,0,46,13,2,71,180,46,13,2,
"S01014624",135,0,0,0,0,0,163,0,0,0,0,0,55,6,0,135,163,55,6,0,
"S01014625",39,0,0,0,0,0,163,0,0,0,0,0,88,17,8,39,163,88,17,8,
"S01014626",117,0,0,0,0,0,218,0,0,0,0,0,74,19,3,117,218,74,19,3,
"S01014627",285,0,0,0,0,0,199,0,0,0,0,0,37,1,1,285,199,37,1,1,
"S01014628",248,0,0,0,0,0,162,0,0,0,0,0,31,5,0,248,162,31,5,0,
"S01014629",108,0,0,0,0,0,229,0,0,0,0,0,72,10,5,108,229,72,10,5,
"S01014630",145,0,0,0,0,0,130,0,0,0,0,0,43,8,2,145,130,43,8,2,
"S01014631",115,0,0,0,0,0,166,0,0,0,0,0,72,10,6,115,166,72,10,6,
"S01014632",70,0,0,0,0,0,149,0,0,0,0,0,70,10,3,70,149,70,10,3,
"S01014633",163,0,0,0,0,0,129,0,0,0,0,0,30,3,3,163,129,30,3,3,
"S01014634",178,0,0,0,0,0,124,0,0,0,0,0,16,1,0,178,124,16,1,0,
"S01014635",338,0,0,0,0,0,157,0,0,0,0,0,23,3,0,338,157,23,3,0,
"S01014636",196,0,0,0,0,0,211,0,0,0,0,0,58,7,1,196,211,58,7,1,
"S01014637",140,0,0,0,0,0,138,0,0,0,0,0,29,5,1,140,138,29,5,1,
"S01014638",72,0,0,0,0,0,176,0,0,0,0,0,62,12,1,72,176,62,12,1,
"S01014639",50,0,0,0,0,0,127,0,0,0,0,0,71,10,4,50,127,71,10,4,
"S01014640",57,0,0,0,0,0,186,0,0,0,0,0,60,6,0,57,186,60,6,0,
"S01014641",80,0,0,0,0,0,227,0,0,0,0,0,74,16,1,80,227,74,16,1,
"S01014642",165,0,0,0,0,0,198,0,0,0,0,0,87,15,7,165,198,87,15,7,
"S01014643",252,0,0,0,0,0,176,0,0,0,0,0,25,6,1,252,176,25,6,1,
"S01014644",203,0,0,0,0,0,117,0,0,0,0,0,27,4,0,203,117,27,4,0,
"S01014645",148,0,0,0,0,0,147,0,0,0,0,0,39,7,1,148,147,39,7,1,
"S01014646",172,0,0,0,0,0,100,0,0,0,0,0,18,4,0,172,100,18,4,0,
"S01014647",136,0,0,0,0,0,150,0,0,0,0,0,27,6,0,136,150,27,6,0,
"S01014648",113,0,0,0,0,0,112,0,0,0,0,0,30,1,2,113,112,30,1,2,
"S01014649",104,0,0,0,0,0,169,0,0,0,0,0,46,2,3,104,169,46,2,3,
"S01014650",133,0,0,0,0,0,93,0,0,0,0,0,19,1,0,133,93,19,1,0,
"S01014651",56,0,0,0,0,0,105,0,0,0,0,0,29,2,0,56,105,29,2,0,
"S01014652",111,0,0,0,0,0,128,0,0,0,0,0,30,3,0,111,128,30,3,0,
"S01014653",121,0,0,0,0,0,100,0,0,0,0,0,34,1,0,121,100,34,1,0,
"S01014654",74,0,0,0,0,0,94,0,0,0,0,0,23,3,3,74,94,23,3,3,
"S01014655",118,0,0,0,0,0,173,0,0,0,0,0,45,4,2,118,173,45,4,2,
"S01014656",44,0,0,0,0,0,103,0,0,0,0,0,44,7,2,44,103,44,7,2,
"S01014657",31,0,0,0,0,0,119,0,0,0,0,0,76,9,4,31,119,76,9,4,
"S01014658",78,0,0,0,0,0,178,0,0,0,0,0,106,14,6,78,178,106,14,6,
"S01014659",32,0,0,0,0,0,123,0,0,0,0,0,80,14,5,32,123,80,14,5,
"S01014660",79,0,0,0,0,0,151,0,0,0,0,0,33,11,0,79,151,33,11,0,
"S01014661",100,0,0,0,0,0,168,0,0,0,0,0,24,3,0,100,168,24,3,0,
"S01014662",150,0,0,0,0,0,140,0,0,0,0,0,24,0,0,150,140,24,0,0,
"S01014663",202,0,0,0,0,0,234,0,0,0,0,0,28,2,0,202,234,28,2,0,
"S01014664",173,0,0,0,0,0,165,0,0,0,0,0,34,2,0,173,165,34,2,0,
"S01014665",89,0,0,0,0,0,218,0,0,0,0,0,87,20,2,89,218,87,20,2,
"S01014666",49,0,0,0,0,0,152,0,0,0,0,0,74,10,1,49,152,74,10,1,
"S01014667",107,0,0,0,0,0,224,0,0,0,0,0,61,8,5,107,224,61,8,5,
"S01014668",110,0,0,0,0,0,147,0,0,0,0,0,48,7,3,110,147,48,7,3,
"S01014669",103,0,0,0,0,0,210,0,0,0,0,0,59,17,6,103,210,59,17,6,
"S01014670",176,0,0,0,0,0,128,0,0,0,0,0,23,3,1,176,128,23,3,1,
"S01014671",215,0,0,0,0,0,197,0,0,0,0,0,33,2,1,215,197,33,2,1,
"S01014672",172,0,0,0,0,0,194,0,0,0,0,0,23,3,3,172,194,23,3,3,
"S01014673",162,0,0,0,0,0,164,0,0,0,0,0,35,2,0,162,164,35,2,0,
"S01014674",162,0,0,0,0,0,192,0,0,0,0,0,43,4,4,162,192,43,4,4,
"S01014675",122,0,0,0,0,0,165,0,0,0,0,0,37,6,2,122,165,37,6,2,
"S01014676",177,0,0,0,0,0,167,0,0,0,0,0,40,6,0,177,167,40,6,0,
"S01014677",184,0,0,0,0,0,198,0,0,0,0,0,28,4,1,184,198,28,4,1,
"S01014678",240,0,0,0,0,0,218,0,0,0,0,0,35,2,0,240,218,35,2,0,
"S01014679",190,0,0,0,0,0,143,0,0,0,0,0,34,2,1,190,143,34,2,1,
"S01014680",222,0,0,0,0,0,127,0,0,0,0,0,25,2,0,222,127,25,2,0,
"S01014681",336,0,0,0,0,0,182,0,0,0,0,0,21,0,0,336,182,21,0,0,
"S01014682",230,0,0,0,0,0,115,0,0,0,0,0,20,2,0,230,115,20,2,0,
"S01014683",229,0,0,0,0,0,84,0,0,0,0,0,4,2,0,229,84,4,2,0,
"S01014684",409,0,0,0,0,0,169,0,0,0,0,0,18,0,0,409,169,18,0,0,
"S01014685",277,0,0,0,0,0,151,0,0,0,0,0,28,3,0,277,151,28,3,0,
"S01014686",320,0,0,0,0,0,146,0,0,0,0,0,19,3,0,320,146,19,3,0,
"S01014687",173,0,0,0,0,0,109,0,0,0,0,0,17,0,0,173,109,17,0,0,
"S01014688",423,0,0,0,0,0,133,0,0,0,0,0,15,1,0,423,133,15,1,0,
"S01014689",325,0,0,0,0,0,106,0,0,0,0,0,9,0,0,325,106,9,0,0,
"S01014690",372,0,0,0,0,0,171,0,0,0,0,0,18,4,0,372,171,18,4,0,
"S01014691",215,0,0,0,0,0,127,0,0,0,0,0,15,2,0,215,127,15,2,0,
"S01014692",215,0,0,0,0,0,82,0,0,0,0,0,9,2,0,215,82,9,2,0,
"S01014693",321,0,0,0,0,0,163,0,0,0,0,0,45,4,6,321,163,45,4,6,
"S01014694",253,0,0,0,0,0,94,0,0,0,0,0,16,1,0,253,94,16,1,0,
"S01014695",234,0,0,0,0,0,95,0,0,0,0,0,15,4,0,234,95,15,4,0,
"S01014696",298,0,0,0,0,0,115,0,0,0,0,0,18,5,0,298,115,18,5,0,
"S01014697",258,0,0,0,0,0,119,0,0,0,0,0,13,2,0,258,119,13,2,0,
"S01014698",213,0,0,0,0,0,89,0,0,0,0,0,5,7,2,213,89,5,7,2,
"S01014699",202,0,0,0,0,0,118,0,0,0,0,0,11,0,0,202,118,11,0,0,
"S01014700",246,0,0,0,0,0,101,0,0,0,0,0,10,2,0,246,101,10,2,0,
"S01014701",76,0,0,0,0,0,44,0,0,0,0,0,9,0,2,76,44,9,0,2,
"S01014702",150,0,0,0,0,0,79,0,0,0,0,0,16,8,0,150,79,16,8,0,
"S01014703",220,0,0,0,0,0,87,0,0,0,0,0,15,1,0,220,87,15,1,0,
"S01014704",221,0,0,0,0,0,102,0,0,0,0,0,10,0,1,221,102,10,0,1,
"S01014705",199,0,0,0,0,0,106,0,0,0,0,0,21,4,0,199,106,21,4,0,
"S01014706",300,0,0,0,0,0,180,0,0,0,0,0,26,3,0,300,180,26,3,0,
"S01014707",269,0,0,0,0,0,75,0,0,0,0,0,13,2,0,269,75,13,2,0,
"S01014708",251,0,0,0,0,0,83,0,0,0,0,0,8,1,0,251,83,8,1,0,
"S01014709",313,0,0,0,0,0,76,0,0,0,0,0,6,2,0,313,76,6,2,0,
"S01014710",294,0,0,0,0,0,68,0,0,0,0,0,15,2,0,294,68,15,2,0,
"S01014711",335,0,0,0,0,0,90,0,0,0,0,0,7,0,0,335,90,7,0,0,
"S01014712",149,0,0,0,0,0,116,0,0,0,0,0,25,4,1,149,116,25,4,1,
"S01014713",285,0,0,0,0,0,96,0,0,0,0,0,14,0,1,285,96,14,0,1,
"S01014714",308,0,0,0,0,0,72,0,0,0,0,0,9,2,0,308,72,9,2,0,
"S01014715",400,0,0,0,0,0,103,0,0,0,0,0,20,2,0,400,103,20,2,0,
"S01014716",268,0,0,0,0,0,69,0,0,0,0,0,12,0,0,268,69,12,0,0,
"S01014717",397,0,0,0,0,0,113,0,0,0,0,0,11,2,0,397,113,11,2,0,
"S01014718",274,0,0,0,0,0,118,0,0,0,0,0,19,1,2,274,118,19,1,2,
"S01014719",418,0,0,0,0,0,148,0,0,0,0,0,26,1,0,418,148,26,1,0,
"S01014720",412,0,0,0,0,0,153,0,0,0,0,0,22,1,2,412,153,22,1,2,
"S01014721",320,0,0,0,0,0,132,0,0,0,0,0,15,1,3,320,132,15,1,3,
"S01014722",408,0,0,0,0,0,191,0,0,0,0,0,33,2,0,408,191,33,2,0,
"S01014723",248,0,0,0,0,0,134,0,0,0,0,0,17,0,0,248,134,17,0,0,
"S01014724",269,0,0,0,0,0,199,0,0,0,0,0,28,4,2,269,199,28,4,2,
"S01014725",326,0,0,0,0,0,156,0,0,0,0,0,10,4,0,326,156,10,4,0,
"S01014726",211,0,0,0,0,0,220,0,0,0,0,0,30,0,0,211,220,30,0,0,
"S01014727",178,0,0,0,0,0,122,0,0,0,0,0,24,1,1,178,122,24,1,1,
"S01014728",436,0,0,0,0,0,246,0,0,0,0,0,32,2,0,436,246,32,2,0,
"S01014729",170,0,0,0,0,0,131,0,0,0,0,0,19,4,0,170,131,19,4,0,
"S01014730",150,0,0,0,0,0,177,0,0,0,0,0,31,2,0,150,177,31,2,0,
"S01014731",110,0,0,0,0,0,131,0,0,0,0,0,45,7,4,110,131,45,7,4,
"S01014732",245,0,0,0,0,0,227,0,0,0,0,0,41,5,0,245,227,41,5,0,
"S01014733",122,0,0,0,0,0,180,0,0,0,0,0,30,5,5,122,180,30,5,5,
"S01014734",70,0,0,0,0,0,158,0,0,0,0,0,43,5,0,70,158,43,5,0,
"S01014735",93,0,0,0,0,0,252,0,0,0,0,0,83,9,2,93,252,83,9,2,
"S01014736",39,0,0,0,0,0,100,0,0,0,0,0,47,9,1,39,100,47,9,1,
"S01014737",183,0,0,0,0,0,209,0,0,0,0,0,65,15,1,183,209,65,15,1,
"S01014738",33,0,0,0,0,0,135,0,0,0,0,0,73,11,4,33,135,73,11,4,
"S01014739",34,0,0,0,0,0,198,0,0,0,0,0,69,4,1,34,198,69,4,1,
"S01014740",43,0,0,0,0,0,164,0,0,0,0,0,98,15,4,43,164,98,15,4,
"S01014741",72,0,0,0,0,0,146,0,0,0,0,0,31,3,0,72,146,31,3,0,
"S01014742",133,0,0,0,0,0,179,0,0,0,0,0,52,1,0,133,179,52,1,0,
"S01014743",126,0,0,0,0,0,136,0,0,0,0,0,38,3,0,126,136,38,3,0,
"S01014744",143,0,0,0,0,0,146,0,0,0,0,0,50,2,1,143,146,50,2,1,
"S01014745",100,0,0,0,0,0,130,0,0,0,0,0,29,0,0,100,130,29,0,0,
"S01014746",186,0,0,0,0,0,184,0,0,0,0,0,25,5,0,186,184,25,5,0,
"S01014747",267,0,0,0,0,0,151,0,0,0,0,0,53,10,2,267,151,53,10,2,
"S01014748",179,0,0,0,0,0,153,0,0,0,0,0,34,2,0,179,153,34,2,0,
"S01014749",124,0,0,0,0,0,150,0,0,0,0,0,35,8,0,124,150,35,8,0,
"S01014750",213,0,0,0,0,0,122,0,0,0,0,0,41,10,6,213,122,41,10,6,
"S01014751",283,0,0,0,0,0,145,0,0,0,0,0,24,13,2,283,145,24,13,2,
"S01014752",112,0,0,0,0,0,115,0,0,0,0,0,35,8,2,112,115,35,8,2,
"S01014753",97,0,0,0,0,0,99,0,0,0,0,0,25,7,0,97,99,25,7,0,
"S01014754",220,0,0,0,0,0,134,0,0,0,0,0,31,7,0,220,134,31,7,0,
"S01014755",303,0,0,0,0,0,176,0,0,0,0,0,46,7,6,303,176,46,7,6,
"S01014756",118,0,0,0,0,0,106,0,0,0,0,0,21,7,0,118,106,21,7,0,
"S01014757",120,0,0,0,0,0,103,0,0,0,0,0,26,3,4,120,103,26,3,4,
"S01014758",160,0,0,0,0,0,137,0,0,0,0,0,39,12,5,160,137,39,12,5,
"S01014759",127,0,0,0,0,0,129,0,0,0,0,0,33,2,2,127,129,33,2,2,
"S01014760",41,0,0,0,0,0,114,0,0,0,0,0,39,7,5,41,114,39,7,5,
"S01014761",80,0,0,0,0,0,205,0,0,0,0,0,68,18,1,80,205,68,18,1,
"S01014762",116,0,0,0,0,0,208,0,0,0,0,0,103,16,8,116,208,103,16,8,
"S01014763",40,0,0,0,0,0,119,0,0,0,0,0,36,3,1,40,119,36,3,1,
"S01014764",56,0,0,0,0,0,151,0,0,0,0,0,91,4,4,56,151,91,4,4,
"S01014765",18,0,0,0,0,0,154,0,0,0,0,0,75,7,2,18,154,75,7,2,
"S01014766",34,0,0,0,0,0,171,0,0,0,0,0,94,22,6,34,171,94,22,6,
"S01014767",138,0,0,0,0,0,248,0,0,0,0,0,102,22,8,138,248,102,22,8,
"S01014768",50,0,0,0,0,0,176,0,0,0,0,0,67,11,4,50,176,67,11,4,
"S01014769",85,0,0,0,0,0,218,0,0,0,0,0,107,19,1,85,218,107,19,1,
"S01014770",70,0,0,0,0,0,163,0,0,0,0,0,59,12,0,70,163,59,12,0,
"S01014771",40,0,0,0,0,0,116,0,0,0,0,0,72,7,3,40,116,72,7,3,
"S01014772",118,0,0,0,0,0,244,0,0,0,0,0,73,11,6,118,244,73,11,6,
"S01014773",109,0,0,0,0,0,134,0,0,0,0,0,28,3,1,109,134,28,3,1,
"S01014774",74,0,0,0,0,0,145,0,0,0,0,0,48,9,1,74,145,48,9,1,
"S01014775",144,0,0,0,0,0,195,0,0,0,0,0,36,4,3,144,195,36,4,3,
"S01014776",84,0,0,0,0,0,135,0,0,0,0,0,25,7,3,84,135,25,7,3,
"S01014777",158,0,0,0,0,0,149,0,0,0,0,0,23,4,2,158,149,23,4,2,
"S01014778",158,0,0,0,0,0,223,0,0,0,0,0,37,5,0,158,223,37,5,0,
"S01014779",181,0,0,0,0,0,195,0,0,0,0,0,34,4,0,181,195,34,4,0,
"S01014780",88,0,0,0,0,0,164,0,0,0,0,0,50,10,2,88,164,50,10,2,
"S01014781",46,0,0,0,0,0,194,0,0,0,0,0,116,16,13,46,194,116,16,13,
"S01014782",54,0,0,0,0,0,136,0,0,0,0,0,94,20,5,54,136,94,20,5,
"S01014783",35,0,0,0,0,0,150,0,0,0,0,0,75,19,6,35,150,75,19,6,
"S01014784",35,0,0,0,0,0,148,0,0,0,0,0,92,23,10,35,148,92,23,10,
"S01014785",82,0,0,0,0,0,153,0,0,0,0,0,40,13,0,82,153,40,13,0,
"S01014786",36,0,0,0,0,0,118,0,0,0,0,0,27,10,2,36,118,27,10,2,
"S01014787",87,0,0,0,0,0,192,0,0,0,0,0,100,30,4,87,192,100,30,4,
"S01014788",116,0,0,0,0,0,131,0,0,0,0,0,29,3,1,116,131,29,3,1,
"S01014789",170,0,0,0,0,0,238,0,0,0,0,0,39,4,0,170,238,39,4,0,
"S01014790",183,0,0,0,0,0,242,0,0,0,0,0,52,15,3,183,242,52,15,3,
"S01014791",72,0,0,0,0,0,131,0,0,0,0,0,27,7,0,72,131,27,7,0,
"S01014792",291,0,0,0,0,0,192,0,0,0,0,0,49,2,1,291,192,49,2,1,
"S01014793",55,0,0,0,0,0,99,0,0,0,0,0,39,8,5,55,99,39,8,5,
"S01014794",51,0,0,0,0,0,142,0,0,0,0,0,73,13,4,51,142,73,13,4,
"S01014795",81,0,0,0,0,0,208,0,0,0,0,0,119,22,9,81,208,119,22,9,
"S01014796",63,0,0,0,0,0,148,0,0,0,0,0,70,14,6,63,148,70,14,6,
"S01014797",102,0,0,0,0,0,123,0,0,0,0,0,38,10,1,102,123,38,10,1,
"S01014798",196,0,0,0,0,0,120,0,0,0,0,0,29,2,0,196,120,29,2,0,
"S01014799",164,0,0,0,0,0,108,0,0,0,0,0,23,0,3,164,108,23,0,3,
"S01014800",170,0,0,0,0,0,123,0,0,0,0,0,25,1,0,170,123,25,1,0,
"S01014801",334,0,0,0,0,0,238,0,0,0,0,0,40,6,0,334,238,40,6,0,
"S01014802",206,0,0,0,0,0,144,0,0,0,0,0,24,1,1,206,144,24,1,1,
"S01014803",201,0,0,0,0,0,98,0,0,0,0,0,20,3,0,201,98,20,3,0,
"S01014804",182,0,0,0,0,0,159,0,0,0,0,0,29,6,0,182,159,29,6,0,
"S01014805",148,0,0,0,0,0,131,0,0,0,0,0,24,2,0,148,131,24,2,0,
"S01014806",258,0,0,0,0,0,160,0,0,0,0,0,39,2,1,258,160,39,2,1,
"S01014807",93,0,0,0,0,0,109,0,0,0,0,0,38,5,3,93,109,38,5,3,
"S01014808",96,0,0,0,0,0,146,0,0,0,0,0,42,9,3,96,146,42,9,3,
"S01014809",137,0,0,0,0,0,241,0,0,0,0,0,43,7,0,137,241,43,7,0,
"S01014810",85,0,0,0,0,0,164,0,0,0,0,0,48,4,0,85,164,48,4,0,
"S01014811",140,0,0,0,0,0,203,0,0,0,0,0,50,7,3,140,203,50,7,3,
"S01014812",87,0,0,0,0,0,221,0,0,0,0,0,93,10,4,87,221,93,10,4,
"S01014813",89,0,0,0,0,0,121,0,0,0,0,0,33,6,1,89,121,33,6,1,
"S01014814",151,0,0,0,0,0,138,0,0,0,0,0,32,3,0,151,138,32,3,0,
"S01014815",83,0,0,0,0,0,156,0,0,0,0,0,37,1,1,83,156,37,1,1,
"S01014816",107,0,0,0,0,0,143,0,0,0,0,0,24,4,0,107,143,24,4,0,
"S01014817",105,0,0,0,0,0,144,0,0,0,0,0,22,2,0,105,144,22,2,0,
"S01014818",154,0,0,0,0,0,182,0,0,0,0,0,32,1,0,154,182,32,1,0,
"S01014819",81,0,0,0,0,0,127,0,0,0,0,0,39,4,2,81,127,39,4,2,
"S01014820",94,0,0,0,0,0,250,0,0,0,0,0,62,5,3,94,250,62,5,3,
"S01014821",116,0,0,0,0,0,139,0,0,0,0,0,14,0,0,116,139,14,0,0,
"S01014822",56,0,0,0,0,0,187,0,0,0,0,0,55,10,0,56,187,55,10,0,
"S01014823",155,0,0,0,0,0,183,0,0,0,0,0,47,4,0,155,183,47,4,0,
"S01014824",300,0,0,0,0,0,243,0,0,0,0,0,40,0,3,300,243,40,0,3,
"S01014825",282,0,0,0,0,0,245,0,0,0,0,0,31,4,0,282,245,31,4,0,
"S01014826",91,0,0,0,0,0,144,0,0,0,0,0,27,3,0,91,144,27,3,0,
"S01014827",243,0,0,0,0,0,146,0,0,0,0,0,16,1,0,243,146,16,1,0,
"S01014828",371,0,0,0,0,0,187,0,0,0,0,0,32,0,3,371,187,32,0,3,
"S01014829",295,0,0,0,0,0,298,0,0,0,0,0,56,5,3,295,298,56,5,3,
"S01014830",145,0,0,0,0,0,278,0,0,0,0,0,37,4,0,145,278,37,4,0,
"S01014831",336,0,0,0,0,0,262,0,0,0,0,0,47,5,3,336,262,47,5,3,
"S01014832",131,0,0,0,0,0,145,0,0,0,0,0,22,0,0,131,145,22,0,0,
"S01014833",177,0,0,0,0,0,127,0,0,0,0,0,34,5,1,177,127,34,5,1,
"S01014834",112,0,0,0,0,0,116,0,0,0,0,0,27,2,2,112,116,27,2,2,
"S01014835",112,0,0,0,0,0,111,0,0,0,0,0,17,1,0,112,111,17,1,0,
"S01014836",255,0,0,0,0,0,130,0,0,0,0,0,14,3,0,255,130,14,3,0,
"S01014837",323,0,0,0,0,0,209,0,0,0,0,0,28,1,0,323,209,28,1,0,
"S01014838",314,0,0,0,0,0,235,0,0,0,0,0,24,1,0,314,235,24,1,0,
"S01014839",184,0,0,0,0,0,93,0,0,0,0,0,16,2,0,184,93,16,2,0,
"S01014840",210,0,0,0,0,0,111,0,0,0,0,0,19,0,0,210,111,19,0,0,
"S01014841",201,0,0,0,0,0,228,0,0,0,0,0,39,1,3,201,228,39,1,3,
"S01014842",203,0,0,0,0,0,70,0,0,0,0,0,12,0,1,203,70,12,0,1,
"S01014843",307,0,0,0,0,0,179,0,0,0,0,0,45,2,0,307,179,45,2,0,
"S01014844",298,0,0,0,0,0,200,0,0,0,0,0,33,4,0,298,200,33,4,0,
"S01014845",360,0,0,0,0,0,203,0,0,0,0,0,20,4,3,360,203,20,4,3,
"S01014846",313,0,0,0,0,0,153,0,0,0,0,0,13,1,2,313,153,13,1,2,
"S01014847",338,0,0,0,0,0,167,0,0,0,0,0,28,2,1,338,167,28,2,1,
"S01014848",136,0,0,0,0,0,141,0,0,0,0,0,45,5,0,136,141,45,5,0,
"S01014849",382,0,0,0,0,0,236,0,0,0,0,0,34,3,1,382,236,34,3,1,
"S01014850",326,0,0,0,0,0,181,0,0,0,0,0,22,0,0,326,181,22,0,0,
"S01014851",392,0,0,0,0,0,186,0,0,0,0,0,22,2,0,392,186,22,2,0,
"S01014852",326,0,0,0,0,0,156,0,0,0,0,0,27,2,2,326,156,27,2,2,
"S01014853",226,0,0,0,0,0,82,0,0,0,0,0,6,0,0,226,82,6,0,0,
"S01014854",169,0,0,0,0,0,120,0,0,0,0,0,21,5,0,169,120,21,5,0,
"S01014855",222,0,0,0,0,0,216,0,0,0,0,0,45,7,1,222,216,45,7,1,
"S01014856",262,0,0,0,0,0,137,0,0,0,0,0,12,0,0,262,137,12,0,0,
"S01014857",277,0,0,0,0,0,154,0,0,0,0,0,19,8,0,277,154,19,8,0,
"S01014858",186,0,0,0,0,0,174,0,0,0,0,0,38,8,2,186,174,38,8,2,
"S01014859",170,0,0,0,0,0,189,0,0,0,0,0,30,3,2,170,189,30,3,2,
"S01014860",166,0,0,0,0,0,132,0,0,0,0,0,30,9,3,166,132,30,9,3,
"S01014861",269,0,0,0,0,0,149,0,0,0,0,0,16,0,0,269,149,16,0,0,
"S01014862",219,0,0,0,0,0,209,0,0,0,0,0,41,4,1,219,209,41,4,1,
"S01014863",339,0,0,0,0,0,187,0,0,0,0,0,28,6,1,339,187,28,6,1,
"S01014864",191,0,0,0,0,0,180,0,0,0,0,0,26,4,1,191,180,26,4,1,
"S01014865",282,0,0,0,0,0,108,0,0,0,0,0,13,2,2,282,108,13,2,2,
"S01014866",168,0,0,0,0,0,139,0,0,0,0,0,11,0,2,168,139,11,0,2,
"S01014867",195,0,0,0,0,0,147,0,0,0,0,0,23,2,0,195,147,23,2,0,
"S01014868",287,0,0,0,0,0,272,0,0,0,0,0,58,3,2,287,272,58,3,2,
"S01014869",184,0,0,0,0,0,283,0,0,0,0,0,42,6,3,184,283,42,6,3,
"S01014870",135,0,0,0,0,0,193,0,0,0,0,0,35,6,0,135,193,35,6,0,
"S01014871",337,0,0,0,0,0,216,0,0,0,0,0,36,2,3,337,216,36,2,3,
"S01014872",53,0,0,0,0,0,155,0,0,0,0,0,56,7,0,53,155,56,7,0,
