SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Total",
"Data Zone (2022)",
"S01015828",72,111,53,13,2,251,
"S01015829",101,91,50,5,4,242,
"S01015830",38,138,105,26,5,312,
"S01015831",24,125,122,18,8,293,
"S01015832",106,201,113,25,8,451,
"S01015833",20,126,140,24,4,315,
"S01015834",11,123,147,15,1,299,
"S01015835",6,57,101,13,8,185,
"S01015836",6,88,102,16,5,217,
"S01015837",9,54,73,5,6,147,
"S01015838",85,206,118,20,6,434,
"S01015839",67,126,96,21,13,315,
"S01015840",91,152,69,17,5,332,
"S01015841",85,121,97,25,5,333,
"S01015842",61,143,83,22,3,312,
"S01015843",135,208,48,21,9,417,
"S01015844",80,133,58,13,3,287,
"S01015845",133,223,79,20,1,453,
"S01015846",16,114,115,27,11,284,
"S01015847",65,189,128,28,9,423,
"S01015848",29,129,97,17,5,277,
"S01015849",76,137,82,31,9,335,
"S01015850",56,164,126,32,12,387,
"S01015851",21,118,103,30,11,286,
"S01015852",167,192,66,10,8,443,
"S01015853",95,169,86,28,8,386,
"S01015854",26,184,151,50,21,433,
"S01015855",19,99,70,23,11,223,
"S01015856",50,94,47,17,9,210,
"S01015857",25,119,91,33,5,276,
"S01015858",57,92,44,30,2,231,
"S01015859",81,139,69,14,5,304,
"S01015860",99,164,68,6,2,349,
"S01015861",83,196,82,10,7,378,
"S01015862",89,140,89,26,8,352,
"S01015863",63,187,95,17,7,366,
"S01015864",44,171,100,14,5,336,
"S01015865",4,112,128,19,2,260,
"S01015866",18,126,75,14,6,237,
"S01015867",116,196,77,7,3,399,
"S01015868",63,140,49,6,1,259,
"S01015869",43,124,71,22,2,262,
"S01015870",49,118,48,6,5,226,
"S01015871",104,202,55,7,1,369,
"S01015872",109,171,90,17,7,400,
"S01015873",135,161,58,14,4,371,
"S01015874",61,132,70,12,2,278,
"S01015875",7,84,61,11,5,172,
"S01015876",10,69,66,20,5,169,
"S01015877",37,141,71,21,0,273,
"S01015878",219,273,56,2,0,550,
"S01015879",90,130,56,8,2,289,
"S01015880",208,227,42,5,4,486,
"S01015881",230,245,54,6,2,537,
"S01015882",148,167,48,7,1,370,
"S01015883",123,156,59,6,3,348,
"S01015884",204,190,52,8,1,454,
"S01015885",52,110,41,9,1,210,
"S01015886",102,167,75,12,9,363,
"S01015887",72,186,78,20,3,362,
"S01015888",178,211,68,9,2,468,
"S01015889",64,169,97,11,3,344,
"S01015890",54,133,74,8,4,275,
"S01015891",98,152,69,12,4,334,
"S01015892",112,167,71,15,7,376,
"S01015893",16,117,127,15,7,282,
"S01015894",34,141,114,16,2,306,
"S01015895",66,133,73,26,9,302,
"S01015896",72,144,71,11,5,305,
"S01015897",110,133,45,13,4,303,
"S01015898",135,144,58,13,8,354,
"S01015899",62,129,49,9,8,254,
"S01015900",114,151,39,7,0,314,
"S01015901",151,221,74,14,6,468,
"S01015902",64,133,77,13,6,293,
"S01015903",79,136,62,17,8,302,
"S01015904",61,108,54,7,14,248,
"S01015905",40,154,89,18,8,300,
"S01015906",14,102,89,16,10,226,
"S01015907",78,139,75,14,5,313,
"S01015908",101,256,126,26,9,521,
"S01015909",16,83,82,21,8,212,
"S01015910",41,171,111,33,16,372,
"S01015911",87,167,80,12,3,349,
"S01015912",50,171,81,17,4,321,
"S01015913",24,121,84,35,8,273,
"S01015914",61,96,58,12,0,230,
"S01015915",122,169,50,16,1,362,
"S01015916",103,110,48,21,6,284,
"S01015917",88,114,50,9,7,270,
"S01015918",61,190,115,25,13,402,
"S01015919",59,131,78,14,3,285,
"S01015920",27,109,144,15,3,298,
"S01015921",19,102,112,18,4,254,
"S01015922",15,101,118,26,16,279,
"S01015923",95,208,71,30,8,415,
"S01015924",150,169,55,15,3,392,
"S01015925",106,176,79,17,11,393,
"S01015926",39,162,105,40,6,352,
"S01015927",90,137,61,10,2,303,
"S01015928",16,129,118,26,10,298,
"S01015929",10,71,109,34,18,242,
"S01015930",36,143,97,31,3,311,
"S01015931",15,107,121,24,8,278,
"S01015932",61,170,114,30,11,383,
"S01015933",60,182,95,32,15,385,
"S01015934",20,86,76,12,4,194,
"S01015935",50,92,76,12,7,237,
"S01015936",69,179,95,15,9,367,
"S01015937",23,124,118,27,17,305,
"S01015938",28,82,97,28,6,233,
"S01015939",26,132,85,14,8,265,
"S01015940",82,154,102,29,7,370,
"S01015941",34,116,103,14,6,277,
"S01015942",22,116,93,18,10,259,
"S01015943",23,146,114,27,8,318,
"S01015944",14,93,84,24,7,225,
"S01015945",30,125,96,27,8,281,
"S01015946",11,112,128,14,6,273,
"S01015947",20,170,163,11,6,371,
"S01015948",20,109,118,17,6,269,
"S01015949",16,108,102,41,16,279,
"S01015950",34,79,64,16,4,195,
"S01015951",33,156,193,33,19,430,
"S01015952",6,45,88,18,15,172,
"S01015953",21,95,157,30,22,325,
"S01015954",19,132,178,49,22,400,
"S01015955",33,129,148,34,9,357,
"S01015956",24,171,188,44,23,455,
"S01015957",5,90,118,21,8,242,
"S01015958",6,81,93,12,5,196,
"S01015959",33,151,104,30,1,317,
"S01015960",76,166,91,25,4,364,
"S01015961",91,226,94,22,13,440,
"S01015962",34,138,79,17,2,272,
"S01015963",142,189,76,12,6,423,
"S01015964",143,177,54,5,2,381,
"S01015965",57,225,92,23,5,405,
"S01015966",131,200,87,24,3,445,
"S01015967",73,167,74,23,6,340,
"S01015968",74,169,78,24,6,355,
"S01015969",18,106,128,35,18,305,
"S01015970",33,128,65,16,2,249,
"S01015971",37,142,114,24,8,327,
"S01015972",42,216,144,24,6,434,
"S01015973",20,146,120,20,4,312,
"S01015974",33,144,166,35,26,400,
"S01015975",25,128,144,26,1,325,
"S01015976",74,223,92,25,1,419,
"S01015977",73,201,71,22,7,374,
"S01015978",144,168,64,5,6,381,
"S01015979",19,92,115,24,7,257,
"S01015980",2,70,90,9,0,170,
"S01015981",22,114,72,10,3,220,
"S01015982",60,190,137,30,9,427,
"S01015983",46,166,113,22,5,352,
"S01015984",76,157,58,20,8,321,
"S01015985",41,114,63,20,6,241,
"S01015986",29,112,66,21,3,231,
"S01015987",8,124,122,39,12,301,
"S01015988",16,175,180,36,13,420,
"S01015989",45,141,107,20,3,318,
"S01015990",56,199,145,38,11,446,
"S01015991",20,132,133,30,10,327,
"S01015992",18,106,100,38,17,286,
"S01015993",10,118,94,20,4,246,
"S01015994",5,84,84,19,7,198,
"S01015995",18,103,81,14,4,220,
"S01015996",9,106,91,25,4,235,
"S01015997",24,133,120,12,2,292,
"S01015998",50,164,85,18,5,325,
"S01015999",94,168,67,9,2,339,
"S01016000",70,136,87,20,4,317,
"S01016001",61,164,76,19,6,329,
"S01016002",104,199,94,23,6,427,
"S01016003",93,148,45,5,2,291,
"S01016004",97,213,68,16,3,397,
"S01016005",93,205,80,13,5,395,
"S01016006",67,141,83,15,3,311,
"S01016007",10,83,81,14,11,203,
"S01016008",33,133,114,31,8,320,
"S01016009",91,113,71,14,14,299,
"S01016010",49,125,114,25,20,331,
"S01016011",126,153,52,19,3,353,
"S01016012",90,155,75,25,8,351,
"S01016013",37,168,123,26,11,365,
"S01016014",32,180,138,35,8,393,
"S01016015",30,160,100,31,10,335,
"S01016016",22,142,172,41,16,390,
"S01016017",104,113,61,12,7,293,
"S01016018",12,80,62,12,8,175,
"S01016019",41,135,97,24,6,297,
"S01016020",17,120,76,18,5,236,
"S01016021",29,126,138,25,4,320,
"S01016022",19,110,84,16,9,241,
"S01016023",175,176,54,7,3,413,
"S01016024",140,198,63,21,3,428,
"S01016025",67,79,42,8,7,204,
"S01016026",71,122,68,10,7,278,
"S01016027",152,212,62,9,2,437,
"S01016028",163,117,29,3,1,315,
"S01016029",216,187,36,9,2,450,
"S01016030",104,139,50,12,2,307,
"S01016031",28,95,84,16,7,227,
"S01016032",37,152,150,44,14,398,
"S01016033",15,58,107,12,4,195,
"S01016034",109,190,71,15,6,392,
"S01016035",71,154,79,13,10,326,
"S01016036",11,54,69,15,10,161,
"S01016037",125,238,89,22,7,481,
"S01016038",87,122,53,14,4,280,
"S01016039",70,141,109,24,14,359,
"S01016040",62,127,87,9,6,289,
"S01016041",123,208,91,9,3,433,
"S01016042",108,181,75,19,4,387,
"S01016043",23,102,134,15,4,278,
"S01016044",24,83,110,23,6,244,
"S01016045",46,171,145,31,18,411,
"S01016046",88,243,130,29,13,505,
"S01016047",33,156,122,18,4,333,
"S01016048",33,89,84,28,3,239,
"S01016049",3,37,107,12,4,163,
"S01016050",12,78,103,14,1,205,
"S01016051",17,111,136,24,12,297,
"S01016052",14,120,113,31,8,286,
"S01016053",23,112,75,17,2,233,
"S01016054",96,144,84,15,3,346,
"S01016055",141,144,52,14,1,348,
"S01016056",16,85,103,17,8,235,
"S01016057",5,69,113,39,11,240,
"S01016058",9,96,75,23,5,219,
"S01016059",22,138,118,20,7,308,
"S01016060",2,55,96,34,10,200,
"S01016061",47,122,133,24,11,337,
"S01016062",20,125,142,34,14,332,
"S01016063",18,129,133,56,26,369,
"S01016064",21,124,171,50,32,401,
"S01016065",19,82,183,50,27,357,
"S01016066",80,222,143,28,12,489,
"S01016067",27,146,114,20,2,310,
"S01016068",8,93,110,18,5,240,
"S01016069",28,150,143,27,10,361,
"S01016070",15,79,119,30,8,252,
"S01016071",11,95,138,43,21,308,
"S01016072",21,100,128,41,12,302,
"S01016073",9,82,99,5,1,196,
"S01016074",8,45,78,9,4,144,
"S01016075",14,62,60,23,12,169,
"S01016076",20,70,81,15,3,186,
"S01016077",20,90,117,21,6,254,
"S01016078",66,127,101,18,6,315,
"S01016079",28,141,146,25,15,355,
"S01016080",33,117,101,28,9,288,
"S01016081",62,159,104,14,6,345,
"S01016082",15,114,90,30,9,258,
"S01016083",18,112,170,36,12,348,
"S01016084",14,86,99,20,9,228,
"S01016085",5,67,136,22,4,234,
"S01016086",31,166,84,14,0,288,
"S01016087",25,135,114,22,6,301,
"S01016088",26,120,106,21,6,279,
"S01016089",16,115,115,19,8,277,
"S01016090",93,194,85,14,4,390,
"S01016091",109,181,58,10,2,359,
"S01016092",37,179,83,7,2,308,
"S01016093",39,110,80,25,2,252,
"S01016094",49,147,75,23,4,298,
"S01016095",22,115,121,25,10,293,
"S01016096",26,131,93,25,5,280,
"S01016097",17,95,126,21,6,263,
"S01016098",27,122,106,19,7,281,
"S01016099",12,101,126,29,5,274,
"S01016100",18,92,72,15,5,206,
"S01016101",36,148,94,13,4,292,
"S01016102",84,157,127,14,9,395,
"S01016103",15,85,80,15,4,199,
"S01016104",11,94,108,19,1,235,
"S01016105",11,102,108,12,1,230,
"S01016106",24,152,119,20,5,320,
"S01016107",14,63,74,14,5,174,
"S01016108",46,171,138,13,11,379,
"S01016109",18,97,99,24,6,244,
"S01016110",58,184,89,15,4,346,
"S01016111",33,112,68,19,1,233,
"S01016112",28,129,69,9,4,239,
"S01016113",58,152,85,8,4,308,
"S01016114",21,103,95,18,4,243,
"S01016115",80,145,105,14,6,346,
"S01016116",27,141,140,17,4,329,
"S01016117",66,179,78,19,4,350,
"S01016118",17,104,127,23,9,280,
"S01016119",11,93,56,13,10,184,
"S01016120",48,164,79,24,3,318,
"S01016121",12,117,151,25,6,313,
"S01016122",39,89,102,17,3,250,
"S01016123",35,126,57,17,4,240,
"S01016124",26,126,83,20,8,263,
"S01016125",61,186,103,21,3,377,
"S01016126",12,67,87,19,13,199,
"S01016127",19,79,102,31,12,239,
"S01016128",25,57,100,26,7,210,
"S01016129",45,127,125,32,13,342,
"S01016130",12,89,128,22,15,267,
"S01016131",165,187,93,14,8,467,
"S01016132",80,150,54,9,2,295,
"S01016133",37,112,90,8,4,252,
"S01016134",115,187,81,19,3,404,
"S01016135",110,126,72,10,5,323,
"S01016136",15,131,70,14,4,237,
"S01016137",48,109,91,19,14,284,
"S01016138",39,88,54,17,4,199,
"S01016139",25,77,64,19,7,191,
"S01016140",60,162,100,14,6,342,
"S01016141",154,181,71,13,7,425,
"S01016142",72,151,144,29,17,412,
"S01016143",49,104,86,28,20,287,
"S01016144",53,152,75,16,7,303,
"S01016145",147,116,61,10,6,340,
"S01016146",49,124,51,14,5,239,
"S01016147",23,91,91,30,20,251,
"S01016148",26,129,110,20,4,289,
"S01016149",54,85,61,9,6,216,
"S01016150",102,111,40,8,2,262,
"S01016151",138,156,81,24,6,405,
"S01016152",51,104,119,28,21,323,
"S01016153",20,81,93,26,12,234,
"S01016154",2,86,196,26,6,312,
"S01016155",71,131,85,37,10,328,
"S01016156",97,128,55,23,3,307,
"S01016157",43,119,106,28,12,301,
"S01016158",73,116,55,12,3,260,
"S01016159",96,134,50,16,7,299,
"S01016160",84,160,71,10,3,329,
"S01016161",12,95,146,55,19,327,
"S01016162",54,173,107,32,15,380,
"S01016163",15,83,104,44,8,250,
"S01016164",32,105,85,16,13,253,
"S01016165",36,83,70,19,7,214,
"S01016166",19,76,71,19,10,198,
"S01016167",59,127,88,18,3,297,
"S01016168",64,131,71,23,5,290,
"S01016169",54,97,61,19,12,239,
"S01016170",38,174,142,34,15,403,
"S01016171",38,106,78,24,7,256,
"S01016172",8,72,132,40,14,269,
"S01016173",123,157,72,29,5,385,
"S01016174",137,193,98,24,5,458,
"S01016175",49,137,73,18,2,281,
"S01016176",37,119,73,18,7,254,
"S01016177",58,110,54,20,7,248,
"S01016178",60,154,95,17,11,341,
"S01016179",16,99,138,38,17,312,
"S01016180",12,81,150,40,11,291,
"S01016181",67,117,90,17,12,300,
"S01016182",61,104,58,15,7,248,
"S01016183",15,96,142,33,19,302,
"S01016184",6,74,140,38,13,271,
"S01016185",50,249,101,8,4,412,
"S01016186",19,84,96,17,6,226,
"S01016187",13,69,128,44,14,262,
"S01016188",8,103,219,22,8,359,
"S01016189",7,97,202,29,10,345,
"S01016190",36,144,155,48,19,405,
"S01016191",47,137,74,13,4,273,
"S01016192",53,119,84,16,9,281,
"S01016193",88,164,71,17,6,342,
"S01016194",22,120,110,25,8,290,
"S01016195",83,178,145,33,11,446,
"S01016196",64,152,138,30,6,390,
"S01016197",31,140,132,29,12,344,
"S01016198",8,77,81,17,7,191,
"S01016199",112,146,68,22,6,360,
"S01016200",156,181,54,21,4,420,
"S01016201",100,151,91,26,7,374,
"S01016202",78,153,67,17,8,323,
"S01016203",21,120,72,27,3,243,
"S01016204",87,163,78,26,0,357,
"S01016205",74,132,103,22,6,340,
"S01016206",49,135,69,9,4,266,
"S01016207",34,138,123,29,11,335,
"S01016208",32,147,111,22,4,315,
"S01016209",11,109,118,29,3,267,
"S01016210",51,133,75,6,2,273,
"S01016211",48,183,121,22,8,378,
"S01016212",17,100,90,24,8,239,
"S01016213",41,190,103,27,15,375,
"S01016214",51,149,100,29,10,339,
"S01016215",44,118,73,21,4,261,
"S01016216",15,91,61,19,4,190,
"S01016217",68,163,97,16,12,353,
"S01016218",13,71,95,33,7,219,
"S01016219",58,143,70,24,4,299,
"S01016220",45,112,59,17,4,237,
"S01016221",42,168,140,39,17,408,
"S01016222",17,78,94,29,8,223,
"S01016223",21,98,70,19,4,212,
"S01016224",64,137,68,12,10,287,
"S01016225",138,110,32,9,3,292,
"S01016226",102,127,50,9,2,291,
"S01016227",223,165,42,6,3,439,
"S01016228",52,84,23,6,3,170,
"S01016229",66,101,70,21,6,264,
"S01016230",92,145,48,6,0,288,
"S01016231",47,143,107,33,4,334,
"S01016232",109,154,65,8,1,337,
"S01016233",82,204,90,15,4,399,
"S01016234",38,124,77,25,7,271,
"S01016235",38,116,88,26,8,277,
"S01016236",6,73,152,35,19,289,
"S01016237",74,213,92,14,4,397,
"S01016238",129,101,24,7,1,262,
"S01016239",143,157,49,7,3,357,
"S01016240",182,211,70,10,2,473,
"S01016241",216,201,45,6,4,468,
"S01016242",126,197,70,11,1,409,
"S01016243",111,126,46,12,2,291,
"S01016244",49,116,64,14,6,250,
"S01016245",152,131,23,7,1,308,
"S01016246",42,217,150,18,6,432,
"S01016247",137,237,88,16,3,478,
"S01016248",77,185,82,24,5,376,
"S01016249",351,220,13,3,1,589,
"S01016250",164,216,73,17,3,468,
"S01016251",221,203,33,3,1,459,
"S01016252",94,121,39,10,0,267,
"S01016253",100,184,131,29,10,454,
"S01016254",42,100,64,19,3,231,
"S01016255",32,122,85,22,6,267,
"S01016256",77,207,91,13,7,402,
"S01016257",55,116,54,9,2,238,
"S01016258",86,94,26,4,1,215,
"S01016259",133,138,46,11,2,331,
"S01016260",154,136,37,9,1,337,
"S01016261",204,192,43,5,0,445,
"S01016262",92,108,43,11,12,256,
"S01016263",82,159,84,16,4,345,
"S01016264",108,129,62,14,5,316,
"S01016265",141,148,43,9,2,341,
"S01016266",44,94,53,11,2,204,
"S01016267",52,158,82,14,4,310,
"S01016268",194,177,59,7,2,440,
"S01016269",97,129,64,16,1,306,
"S01016270",88,120,74,16,7,302,
"S01016271",28,137,97,17,10,284,
"S01016272",32,137,98,33,10,310,
"S01016273",3,31,101,18,8,161,
"S01016274",11,109,132,43,17,308,
"S01016275",30,140,188,52,14,427,
"S01016276",85,176,73,23,4,361,
"S01016277",111,153,55,13,4,336,
"S01016278",68,105,59,15,5,255,
"S01016279",132,210,100,24,6,469,
"S01016280",77,129,90,22,11,332,
"S01016281",58,169,156,29,12,420,
"S01016282",12,89,116,28,11,257,
"S01016283",88,147,107,32,7,381,
"S01016284",65,145,105,34,14,365,
"S01016285",36,127,93,36,17,307,
"S01016286",17,81,81,41,19,237,
"S01016287",39,158,127,38,14,376,
"S01016288",65,160,86,17,6,334,
"S01016289",23,79,120,29,7,258,
"S01016290",4,76,156,22,4,265,
"S01016291",7,67,111,40,14,239,
"S01016292",34,108,96,18,4,261,
"S01016293",19,136,203,22,4,381,
"S01016294",7,115,215,29,6,373,
"S01016295",27,110,134,33,12,319,
"S01016296",38,168,112,24,2,346,
"S01016297",57,140,81,12,6,289,
"S01016298",5,73,97,28,5,208,
"S01016299",27,108,75,16,1,228,
"S01016300",30,138,104,18,8,298,
"S01016301",22,110,80,25,6,243,
"S01016302",4,74,170,23,3,270,
"S01016303",39,140,141,18,13,351,
"S01016304",40,119,72,22,5,258,
"S01016305",10,58,91,18,10,187,
"S01016306",80,155,98,25,6,362,
"S01016307",46,159,118,27,7,352,
"S01016308",27,166,154,19,6,371,
"S01016309",20,165,116,27,8,340,
"S01016310",45,197,94,25,4,369,
"S01016311",36,162,90,14,4,303,
"S01016312",47,171,100,16,3,343,
"S01016313",25,74,71,22,4,197,
"S01016314",32,97,68,19,5,218,
"S01016315",99,156,85,17,0,359,
"S01016316",77,132,75,24,10,318,
"S01016317",52,188,131,29,12,412,
"S01016318",121,164,99,17,5,406,
"S01016319",91,231,101,22,4,449,
"S01016320",91,130,47,21,3,288,
"S01016321",63,191,94,22,4,374,
"S01016322",81,129,62,18,8,296,
"S01016323",68,125,52,11,6,262,
"S01016324",64,100,60,9,2,237,
"S01016325",65,91,40,13,7,211,
"S01016326",83,122,62,10,5,281,
"S01016327",67,141,66,19,6,299,
"S01016328",71,119,55,9,3,261,
"S01016329",166,234,81,10,6,497,
"S01016330",82,164,92,21,4,364,
"S01016331",126,148,45,7,3,328,
"S01016332",117,110,45,8,2,283,
"S01016333",132,242,96,24,8,501,
"S01016334",76,240,104,33,15,468,
"S01016335",141,115,28,7,2,292,
"S01016336",65,113,65,6,1,254,
"S01016337",146,209,69,20,4,448,
"S01016338",147,203,75,16,5,449,
"S01016339",36,115,66,12,1,235,
"S01016340",42,187,108,32,11,378,
"S01016341",94,153,68,14,3,333,
"S01016342",146,198,66,13,2,428,
"S01016343",152,126,39,7,2,321,
"S01016344",172,184,61,11,1,430,
"S01016345",73,151,75,26,7,330,
"S01016346",76,163,114,24,12,393,
"S01016347",36,147,129,37,18,363,
"S01016348",39,159,130,23,9,352,
"S01016349",98,164,92,27,8,387,
"S01016350",71,208,116,29,6,433,
"S01016351",49,128,91,22,10,300,
"S01016352",117,195,79,10,5,411,
"S01016353",67,125,60,18,3,274,
"S01016354",39,104,57,25,0,226,
"S01016355",13,88,175,32,10,317,
"S01016356",65,111,52,8,0,237,
"S01016357",115,179,66,15,0,375,
"S01016358",124,179,55,16,4,378,
"S01016359",34,92,69,19,5,217,
"S01016360",76,178,76,18,7,355,
"S01016361",27,111,102,38,14,292,
"S01016362",37,153,144,26,14,374,
"S01016363",68,225,134,27,11,464,
"S01016364",134,150,55,11,4,354,
"S01016365",104,123,41,5,3,276,
"S01016366",27,224,182,26,13,472,
"S01016367",28,102,94,35,12,272,
"S01016368",93,220,126,25,10,478,
"S01016369",80,187,95,17,14,393,
"S01016370",77,184,95,14,7,375,
"S01016371",107,168,64,24,4,367,
"S01016372",104,153,56,7,4,324,
"S01016373",22,128,140,45,16,351,
"S01016374",62,134,67,19,5,283,
"S01016375",57,128,63,12,2,262,
"S01016376",19,78,86,20,7,208,
"S01016377",17,73,91,26,7,218,
"S01016378",47,162,137,31,15,392,
"S01016379",21,91,96,38,13,259,
"S01016380",38,184,198,43,12,474,
"S01016381",34,108,96,18,8,263,
"S01016382",35,161,129,30,12,368,
"S01016383",140,167,80,10,8,405,
"S01016384",107,162,78,14,8,369,
"S01016385",47,141,115,36,14,353,
"S01016386",33,122,89,23,8,271,
"S01016387",14,141,110,38,12,315,
"S01016388",37,158,120,26,14,353,
"S01016389",41,181,95,33,10,361,
"S01016390",27,134,140,28,8,337,
"S01016391",54,196,131,39,16,436,
"S01016392",35,168,130,38,13,377,
"S01016393",31,108,113,21,5,281,
"S01016394",40,188,148,22,9,410,
"S01016395",9,70,90,5,1,172,
"S01016396",62,111,49,15,4,241,
"S01016397",57,133,88,19,6,303,
"S01016398",18,122,114,29,12,295,
"S01016399",28,131,77,21,6,263,
"S01016400",20,71,79,12,4,187,
"S01016401",32,135,146,22,4,336,
"S01016402",237,238,55,5,6,542,
"S01016403",166,264,108,23,3,566,
"S01016404",125,148,48,6,1,326,
"S01016405",274,280,75,19,1,646,
"S01016406",208,161,46,13,3,431,
"S01016407",73,173,97,19,4,367,
"S01016408",96,189,117,30,3,435,
"S01016409",120,203,62,15,7,407,
"S01016410",191,298,109,13,4,613,
"S01016411",209,310,90,10,8,630,
"S01016412",130,147,42,3,4,326,
"S01016413",138,201,69,10,5,426,
"S01016414",54,184,115,33,7,392,
"S01016415",67,133,61,9,8,278,
"S01016416",133,188,67,13,1,402,
"S01016417",113,120,44,4,3,284,
"S01016418",27,108,73,23,6,233,
"S01016419",87,143,36,15,3,284,
"S01016420",36,155,97,26,5,319,
"S01016421",29,133,129,31,7,326,
"S01016422",18,88,102,20,7,236,
"S01016423",61,193,116,35,5,413,
"S01016424",14,79,92,38,15,233,
"S01016425",49,175,123,31,10,388,
"S01016426",74,157,81,17,3,330,
"S01016427",54,134,53,12,2,255,
"S01016428",108,169,74,24,2,377,
"S01016429",33,143,87,23,13,292,
"S01016430",13,121,63,12,5,218,
"S01016431",24,102,73,3,6,211,
"S01016432",53,145,97,18,6,315,
"S01016433",10,137,195,22,5,371,
"S01016434",25,156,101,8,4,292,
"S01016435",35,78,76,9,2,201,
"S01016436",37,171,123,20,4,355,
"S01016437",9,74,99,9,4,195,
"S01016438",10,86,79,13,2,187,
"S01016439",7,60,93,21,6,187,
"S01016440",6,72,98,15,2,192,
"S01016441",34,187,167,35,3,429,
"S01016442",102,152,82,17,5,357,
"S01016443",125,216,86,22,5,450,
"S01016444",139,131,37,10,2,318,
"S01016445",120,179,74,11,8,395,
"S01016446",144,127,38,9,3,319,
"S01016447",94,146,59,12,5,316,
"S01016448",181,203,96,19,8,507,
"S01016449",183,176,67,9,4,432,
"S01016450",93,143,47,6,7,300,
"S01016451",73,125,61,13,4,273,
"S01016452",99,137,72,11,4,330,
"S01016453",44,126,56,14,4,247,
"S01016454",89,131,66,15,3,309,
"S01016455",67,180,104,17,5,373,
"S01016456",12,74,120,26,4,229,
"S01016457",2,46,133,27,11,222,
"S01016458",3,57,79,23,3,169,
"S01016459",16,103,143,20,5,287,
"S01016460",27,120,68,14,7,240,
"S01016461",25,85,76,22,3,211,
"S01016462",13,108,137,21,6,285,
"S01016463",10,101,113,10,3,237,
"S01016464",6,120,110,17,4,254,
"S01016465",14,143,132,14,3,306,
"S01016466",16,78,99,3,2,200,
"S01016467",4,81,154,24,6,269,
"S01016468",38,186,104,22,10,356,
"S01016469",53,202,125,28,6,414,
"S01016470",12,68,70,21,11,183,
"S01016471",9,83,136,21,8,257,
"S01016472",18,106,130,28,3,281,
"S01016473",62,187,95,23,8,372,
"S01016474",73,155,87,21,5,340,
"S01016475",43,208,131,28,8,417,
"S01016476",86,193,73,14,4,371,
"S01016477",40,178,111,17,5,348,
"S01016478",65,134,66,6,2,277,
"S01016479",88,140,57,15,11,308,
"S01016480",77,151,69,9,6,310,
"S01016481",45,98,54,8,4,210,
"S01016482",70,118,64,16,7,280,
"S01016483",96,189,89,8,5,384,
"S01016484",59,120,52,9,4,238,
"S01016485",62,93,55,8,4,217,
"S01016486",151,238,76,23,9,493,
"S01016487",158,214,77,9,6,464,
