SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01014028",197,27,2,0,0,0,2,228,
"S01014029",55,173,145,117,11,13,0,513,
"S01014030",201,113,45,18,3,2,0,382,
"S01014031",108,74,89,11,4,0,0,287,
"S01014032",119,85,44,105,11,15,0,380,
"S01014033",107,188,60,23,3,0,0,381,
"S01014034",96,100,6,6,3,0,0,210,
"S01014035",126,76,10,2,1,0,1,216,
"S01014036",320,94,20,4,1,2,2,440,
"S01014037",78,254,39,45,5,0,0,417,
"S01014038",237,111,30,48,21,1,0,451,
"S01014039",222,191,59,34,2,0,0,512,
"S01014040",291,111,19,7,1,0,0,427,
"S01014041",276,23,9,1,0,0,5,313,
"S01014042",173,76,109,8,3,4,1,373,
"S01014043",71,71,36,12,3,2,0,197,
"S01014044",97,147,111,159,16,18,0,552,
"S01014045",72,125,81,26,3,1,0,308,
"S01014046",88,100,65,61,8,0,0,322,
"S01014047",39,237,75,56,3,0,0,410,
"S01014048",211,76,51,51,11,1,0,401,
"S01014049",97,188,106,40,4,0,0,435,
"S01014050",81,92,64,61,7,2,0,307,
"S01014051",129,191,79,42,0,1,0,446,
"S01014052",92,93,77,25,3,0,2,291,
"S01014053",117,99,68,40,11,8,0,339,
"S01014054",194,104,24,10,0,1,2,332,
"S01014055",314,57,10,0,4,0,4,389,
"S01014056",129,115,51,19,4,3,0,321,
"S01014057",283,34,7,3,0,0,5,336,
"S01014058",151,89,14,3,1,0,1,256,
"S01014059",182,7,2,1,0,0,6,198,
"S01014060",276,55,10,2,0,1,0,344,
"S01014061",136,245,94,18,4,4,0,495,
"S01014062",137,100,53,17,6,1,0,314,
"S01014063",172,138,37,26,15,2,0,385,
"S01014064",187,83,12,5,0,0,3,289,
"S01014065",154,5,3,1,1,0,4,169,
"S01014066",119,202,121,18,11,2,0,469,
"S01014067",200,29,2,2,0,0,4,237,
"S01014068",244,22,1,0,0,0,3,271,
"S01014069",201,88,15,3,2,0,1,309,
"S01014070",171,160,34,34,0,0,0,399,
"S01014071",192,243,25,25,0,0,0,482,
"S01014072",25,153,22,4,0,0,0,204,
"S01014073",315,42,3,2,1,0,4,367,
"S01014074",239,33,4,2,3,0,1,282,
"S01014075",195,123,32,21,0,0,0,372,
"S01014076",171,51,24,5,0,0,1,251,
"S01014077",311,54,11,6,5,0,1,385,
"S01014078",109,186,68,40,3,1,0,404,
"S01014079",163,108,69,16,5,0,0,361,
"S01014080",109,121,94,18,4,1,1,346,
"S01014081",64,107,55,17,4,0,0,244,
"S01014082",172,173,21,17,4,0,0,393,
"S01014083",78,99,34,2,0,0,1,214,
"S01014084",125,199,69,5,4,0,0,401,
"S01014085",16,61,133,56,1,0,0,271,
"S01014086",28,83,188,36,0,0,0,335,
"S01014087",30,81,178,4,2,0,0,292,
"S01014088",54,175,102,19,0,0,0,347,
"S01014089",66,129,61,97,6,0,0,360,
"S01014090",89,126,38,219,20,2,0,493,
"S01014091",60,167,15,126,12,1,1,383,
"S01014092",19,115,83,83,6,0,0,309,
"S01014093",47,119,32,85,7,0,0,291,
"S01014094",41,159,90,227,11,0,0,522,
"S01014095",48,113,17,81,9,1,0,270,
"S01014096",31,99,46,243,46,10,0,475,
"S01014097",24,68,57,419,21,15,0,604,
"S01014098",50,98,72,258,36,7,0,517,
"S01014099",9,52,23,168,20,0,0,272,
"S01014100",141,77,3,0,1,0,0,220,
"S01014101",47,151,21,20,4,1,0,243,
"S01014102",95,178,14,27,2,1,0,315,
"S01014103",33,146,84,40,4,1,0,304,
"S01014104",165,190,18,27,5,1,0,410,
"S01014105",160,170,23,5,1,0,2,360,
"S01014106",265,67,10,18,3,0,0,363,
"S01014107",154,91,5,0,0,0,0,251,
"S01014108",173,75,1,1,0,0,0,250,
"S01014109",74,134,42,47,1,0,0,296,
"S01014110",260,33,3,1,2,0,0,306,
"S01014111",184,33,2,2,0,0,0,221,
"S01014112",193,24,10,0,0,0,0,227,
"S01014113",240,80,27,11,1,0,1,360,
"S01014114",208,62,23,4,4,1,1,305,
"S01014115",84,161,80,14,4,0,0,342,
"S01014116",249,31,8,2,0,0,4,295,
"S01014117",209,21,2,0,2,0,1,238,
"S01014118",131,54,4,0,0,0,0,189,
"S01014119",98,189,49,28,10,4,0,375,
"S01014120",129,104,62,43,3,0,0,343,
"S01014121",65,107,39,14,3,0,0,225,
"S01014122",248,63,46,2,0,0,0,366,
"S01014123",205,38,5,0,0,0,1,253,
"S01014124",169,41,22,10,1,0,0,243,
"S01014125",168,95,37,7,0,0,0,307,
"S01014126",263,42,3,0,0,0,4,310,
"S01014127",171,36,7,10,0,0,0,227,
"S01014128",55,66,34,48,32,3,0,241,
"S01014129",109,144,126,2,0,0,0,385,
"S01014130",151,78,3,17,1,0,0,251,
"S01014131",266,45,5,3,2,0,0,321,
"S01014132",205,54,3,1,0,0,0,264,
"S01014133",24,73,168,18,1,0,0,284,
"S01014134",17,185,112,6,2,0,0,322,
"S01014135",67,149,182,94,11,0,0,500,
"S01014136",15,41,50,184,23,7,1,320,
"S01014137",49,84,21,121,19,0,0,295,
"S01014138",21,162,95,60,3,1,0,345,
"S01014139",33,215,125,11,4,0,0,385,
"S01014140",63,217,58,43,8,2,0,394,
"S01014141",30,111,120,168,5,2,0,437,
"S01014142",31,67,133,254,24,7,7,523,
"S01014143",28,148,114,113,0,0,0,405,
"S01014144",263,66,40,3,4,0,0,372,
"S01014145",97,86,42,48,3,1,0,279,
"S01014146",193,104,14,39,0,0,0,344,
"S01014147",147,110,20,22,2,0,0,299,
"S01014148",149,61,37,11,3,2,0,263,
"S01014149",174,82,12,20,4,0,0,293,
"S01014150",156,36,4,7,6,0,0,209,
"S01014151",187,19,2,2,4,0,0,217,
"S01014152",215,10,11,5,8,0,0,248,
"S01014153",157,47,28,12,4,0,1,249,
"S01014154",162,88,45,3,3,0,0,299,
"S01014155",146,54,12,1,2,0,0,217,
"S01014156",193,42,6,2,0,0,0,243,
"S01014157",160,71,9,4,1,0,1,246,
"S01014158",109,80,7,3,1,0,2,202,
"S01014159",263,69,8,2,0,2,0,344,
"S01014160",168,35,2,1,0,0,0,209,
"S01014161",204,83,21,4,3,1,145,465,
"S01014162",181,132,61,85,5,2,0,469,
"S01014163",62,187,37,31,6,2,0,327,
"S01014164",202,48,34,24,0,0,0,308,
"S01014165",140,40,22,0,2,0,0,206,
"S01014166",141,91,1,3,0,1,0,236,
"S01014167",153,100,8,101,10,0,0,376,
"S01014168",178,83,11,7,3,0,0,278,
"S01014169",142,21,19,32,4,0,0,214,
"S01014170",93,79,15,37,4,0,0,232,
"S01014171",97,85,105,15,0,0,1,302,
"S01014172",61,87,9,283,14,4,1,460,
"S01014173",51,147,60,50,6,1,0,315,
"S01014174",137,94,85,8,0,0,0,322,
"S01014175",28,117,122,15,2,0,0,283,
"S01014176",135,150,74,18,0,1,0,378,
"S01014177",18,115,70,108,5,4,0,317,
"S01014178",42,94,20,113,1,0,0,269,
"S01014179",56,176,123,41,4,2,0,402,
"S01014180",70,126,92,51,3,0,0,344,
"S01014181",20,54,29,162,7,2,0,274,
"S01014182",119,216,55,19,2,0,0,412,
"S01014183",67,108,61,34,10,4,0,287,
"S01014184",110,111,39,44,19,10,0,336,
"S01014185",72,151,50,28,12,0,0,318,
"S01014186",197,113,16,5,4,0,0,332,
"S01014187",218,163,0,4,1,0,0,395,
"S01014188",185,74,16,42,4,0,1,321,
"S01014189",243,50,1,6,0,0,2,302,
"S01014190",145,43,24,5,3,0,10,234,
"S01014191",157,74,43,38,0,0,1,315,
"S01014192",291,43,23,6,3,0,85,452,
"S01014193",178,90,51,15,0,0,0,334,
"S01014194",165,121,89,14,2,0,0,391,
"S01014195",93,153,55,3,0,0,0,307,
"S01014196",64,102,63,59,0,0,0,289,
"S01014197",15,49,116,105,1,0,0,286,
"S01014198",25,87,165,117,11,4,0,406,
"S01014199",245,123,4,9,0,0,0,381,
"S01014200",217,80,15,59,3,0,0,374,
"S01014201",130,84,32,23,19,2,1,291,
"S01014202",74,133,67,196,26,2,0,500,
"S01014203",88,71,179,219,15,2,0,573,
"S01014204",25,51,157,324,32,10,0,597,
"S01014205",25,31,85,268,17,13,0,441,
"S01014206",16,27,58,207,14,8,0,333,
"S01014207",12,41,58,290,19,30,0,448,
"S01014208",12,22,74,203,18,3,0,336,
"S01014209",65,76,71,241,19,1,0,474,
"S01014210",106,198,46,17,2,0,0,372,
"S01014211",19,80,96,12,4,0,0,211,
"S01014212",19,46,87,93,1,0,0,246,
"S01014213",104,96,59,27,0,1,0,288,
"S01014214",16,97,142,12,0,0,0,270,
"S01014215",9,60,69,84,3,1,0,226,
"S01014216",29,99,70,67,1,0,0,266,
"S01014217",74,118,80,115,0,0,0,387,
"S01014218",18,83,41,140,0,2,0,274,
"S01014219",12,67,22,123,2,0,0,232,
"S01014220",17,63,64,141,0,0,0,287,
"S01014221",11,48,254,96,2,0,0,417,
"S01014222",56,123,87,76,2,1,0,346,
"S01014223",43,75,157,66,8,0,1,347,
"S01014224",9,65,122,3,1,0,0,197,
"S01014225",213,108,91,15,8,2,0,440,
"S01014226",205,105,85,57,21,0,0,473,
"S01014227",92,190,64,73,3,1,1,424,
"S01014228",22,52,59,410,47,8,0,593,
"S01014229",24,46,59,187,39,23,0,378,
"S01014230",19,35,58,207,30,2,0,356,
"S01014231",27,73,124,248,28,4,0,501,
"S01014232",50,41,36,71,0,0,0,204,
"S01014233",80,112,62,111,27,0,0,401,
"S01014234",12,41,41,300,23,23,1,443,
"S01014235",56,52,44,156,20,8,0,336,
"S01014236",148,119,40,44,10,3,0,362,
"S01014237",41,118,201,89,2,1,0,451,
"S01014238",227,44,73,5,1,3,0,353,
"S01014239",60,45,164,72,0,0,0,341,
"S01014240",25,58,194,85,0,1,0,363,
"S01014241",227,93,25,5,0,0,50,405,
"S01014242",94,105,81,17,4,1,0,299,
"S01014243",184,34,7,0,0,0,0,227,
"S01014244",122,65,58,23,2,1,0,271,
"S01014245",246,67,47,0,3,0,0,365,
"S01014246",286,72,29,5,1,1,4,398,
"S01014247",149,155,96,25,8,2,0,434,
"S01014248",145,54,8,2,1,0,1,210,
"S01014249",167,48,18,1,7,0,0,237,
"S01014250",177,58,4,2,4,0,0,245,
"S01014251",23,89,44,181,5,2,1,344,
"S01014252",16,88,64,179,13,0,0,360,
"S01014253",42,62,85,208,14,7,0,420,
"S01014254",72,51,95,80,9,1,1,309,
"S01014255",29,144,43,21,12,1,0,254,
"S01014256",70,61,69,195,48,15,0,458,
"S01014257",37,114,53,71,23,8,0,304,
"S01014258",130,138,6,31,7,1,0,311,
"S01014259",83,122,132,68,5,0,0,413,
"S01014260",275,92,11,10,14,0,0,406,
"S01014261",210,56,12,1,0,0,0,281,
"S01014262",210,41,14,0,1,2,1,268,
"S01014263",281,84,54,29,0,0,0,448,
"S01014264",201,53,19,3,1,1,0,280,
"S01014265",265,50,20,2,0,2,1,337,
"S01014266",171,84,51,17,2,0,0,324,
"S01014267",206,117,39,18,1,0,0,377,
"S01014268",156,84,58,8,3,1,0,310,
"S01014269",236,63,9,10,1,0,0,314,
"S01014270",78,43,11,31,5,4,0,169,
"S01014271",68,100,75,189,10,6,0,450,
"S01014272",39,79,58,73,4,2,0,252,
"S01014273",94,113,48,59,4,1,0,323,
"S01014274",154,88,34,24,6,0,0,308,
"S01014275",209,55,10,4,0,0,0,278,
"S01014276",55,105,56,141,10,2,1,367,
"S01014277",10,56,116,208,6,2,0,398,
"S01014278",50,72,81,189,13,24,0,429,
"S01014279",19,36,41,156,9,16,0,277,
"S01014280",105,83,88,139,18,4,1,437,
"S01014281",21,95,135,102,8,7,0,368,
"S01014282",14,100,201,100,0,0,0,415,
"S01014283",208,90,61,21,3,0,0,382,
"S01014284",24,117,132,61,1,0,0,339,
"S01014285",50,94,181,27,2,0,0,353,
"S01014286",85,113,88,45,0,2,0,333,
"S01014287",61,76,143,177,13,7,0,476,
"S01014288",74,97,81,39,5,2,1,300,
"S01014289",183,52,11,1,0,0,1,250,
"S01014290",188,58,23,1,0,1,4,277,
"S01014291",120,46,17,1,0,0,0,180,
"S01014292",157,61,20,4,0,0,0,243,
"S01014293",129,130,117,76,7,1,0,463,
"S01014294",42,98,69,232,4,0,0,445,
"S01014295",100,105,19,62,4,0,0,290,
"S01014296",89,88,90,177,14,26,0,481,
"S01014297",108,65,48,24,2,0,0,250,
"S01014298",183,100,63,66,2,2,0,416,
"S01014299",235,80,11,5,1,0,0,332,
"S01014300",162,56,5,5,0,0,0,232,
"S01014301",225,24,6,2,0,0,0,257,
"S01014302",178,52,10,3,4,0,0,247,
"S01014303",252,100,8,2,5,0,1,371,
"S01014304",191,46,6,2,0,0,0,245,
"S01014305",248,112,83,18,4,3,0,468,
"S01014306",306,91,10,6,4,1,5,423,
"S01014307",280,110,22,6,8,5,8,435,
"S01014308",196,92,54,131,8,11,0,496,
"S01014309",206,63,12,19,3,5,3,307,
"S01014310",212,46,18,16,2,2,5,303,
"S01014311",207,75,32,32,4,0,1,352,
"S01014312",60,192,51,125,8,0,0,436,
"S01014313",67,96,33,127,6,2,0,330,
"S01014314",83,172,13,35,0,2,0,305,
"S01014315",21,30,69,178,1,1,0,300,
"S01014316",95,56,4,219,1,0,0,375,
"S01014317",12,32,7,187,8,0,0,248,
"S01014318",25,12,7,323,8,7,0,382,
"S01014319",125,75,25,167,27,26,0,442,
"S01014320",71,45,48,82,1,0,0,251,
"S01014321",66,71,48,173,11,7,0,375,
"S01014322",72,40,64,114,4,1,0,298,
"S01014323",293,104,10,28,4,0,4,441,
"S01014324",232,74,27,3,3,2,5,345,
"S01014325",219,74,35,13,1,0,1,342,
"S01014326",207,59,22,35,4,1,4,332,
"S01014327",28,208,129,57,0,2,2,432,
"S01014328",186,120,27,20,9,1,4,366,
"S01014329",308,56,7,10,3,0,9,396,
"S01014330",206,120,41,3,3,2,6,380,
"S01014331",237,66,25,5,2,3,6,344,
"S01014332",233,88,93,4,0,2,0,424,
"S01014333",97,110,60,59,12,5,0,343,
"S01014334",202,116,47,16,4,2,4,392,
"S01014335",332,95,36,6,7,4,17,503,
"S01014336",113,83,42,4,2,1,1,247,
"S01014337",154,155,76,49,1,5,0,440,
"S01014338",79,102,104,153,13,10,0,461,
"S01014339",53,91,141,68,2,0,0,355,
"S01014340",50,126,47,9,14,1,0,245,
"S01014341",100,74,53,140,14,6,1,388,
"S01014342",279,81,7,9,4,2,2,384,
"S01014343",218,61,14,7,11,0,3,313,
"S01014344",103,84,18,139,27,3,2,375,
"S01014345",62,44,38,71,20,2,0,241,
"S01014346",102,65,8,6,0,0,2,183,
"S01014347",170,133,74,9,4,2,6,398,
"S01014348",186,118,31,14,4,2,3,362,
"S01014349",79,137,121,59,2,0,0,400,
"S01014350",74,102,178,44,9,2,0,409,
"S01014351",234,95,29,6,0,3,1,372,
"S01014352",236,101,40,4,1,2,0,385,
"S01014353",188,163,119,8,1,0,0,481,
"S01014354",157,58,11,2,6,0,0,231,
"S01014355",149,25,32,110,22,0,0,338,
"S01014356",18,63,65,152,9,0,0,308,
"S01014357",18,159,82,158,2,0,0,418,
"S01014358",17,13,20,222,11,13,0,296,
"S01014359",39,55,77,200,9,0,0,378,
"S01014360",10,174,77,13,0,0,0,272,
"S01014361",144,63,19,74,13,0,0,316,
"S01014362",34,36,31,160,25,0,1,288,
"S01014363",82,70,8,155,59,2,0,374,
"S01014364",150,86,7,62,54,0,0,362,
"S01014365",173,84,11,33,11,1,2,323,
"S01014366",14,17,16,152,35,2,0,236,
"S01014367",12,35,12,140,6,0,2,207,
"S01014368",12,17,37,253,8,13,0,341,
"S01014369",21,77,96,201,14,1,0,410,
"S01014370",16,97,65,81,4,2,0,264,
"S01014371",28,53,22,64,19,0,0,186,
"S01014372",12,23,28,237,21,5,0,323,
"S01014373",216,79,26,49,23,5,3,405,
"S01014374",201,55,10,3,5,1,4,279,
"S01014375",164,29,4,4,16,0,0,219,
"S01014376",173,100,37,83,104,2,0,500,
"S01014377",320,118,41,29,11,1,4,528,
"S01014378",165,76,37,27,24,1,0,335,
"S01014379",226,99,26,10,11,1,1,372,
"S01014380",77,85,83,50,34,2,0,333,
"S01014381",144,69,6,44,16,0,6,292,
"S01014382",214,84,26,163,51,3,12,552,
"S01014383",92,53,11,165,30,0,0,353,
"S01014384",146,67,33,67,29,0,0,346,
"S01014385",41,142,102,117,15,0,0,417,
"S01014386",91,44,19,58,12,0,0,220,
"S01014387",53,54,56,89,23,0,0,278,
"S01014388",73,39,36,96,38,0,2,282,
"S01014389",52,64,92,18,16,2,0,244,
"S01014390",94,80,31,114,41,1,0,367,
"S01014391",59,60,16,156,49,14,0,358,
"S01014392",113,38,19,94,48,1,1,311,
"S01014393",177,101,18,69,41,1,1,407,
"S01014394",188,15,14,21,5,6,7,257,
"S01014395",81,51,23,22,24,0,1,206,
"S01014396",106,30,13,16,20,2,16,202,
"S01014397",51,51,198,61,7,0,0,366,
"S01014398",187,27,29,9,10,1,2,262,
"S01014399",28,80,121,36,2,1,0,269,
"S01014400",116,61,123,34,22,5,0,356,
"S01014401",173,18,1,8,14,1,0,217,
"S01014402",133,65,18,26,43,1,0,282,
"S01014403",125,49,49,106,17,0,0,346,
"S01014404",153,89,80,93,13,0,0,428,
"S01014405",157,63,58,119,10,0,0,409,
"S01014406",245,23,4,43,20,0,0,336,
"S01014407",240,20,7,16,26,0,0,312,
"S01014408",208,35,5,1,0,0,0,250,
"S01014409",32,18,132,7,2,0,0,189,
"S01014410",17,26,132,6,4,0,0,189,
"S01014411",176,27,7,4,7,0,0,222,
"S01014412",99,44,3,35,28,0,0,209,
"S01014413",118,24,45,79,44,0,2,311,
"S01014414",80,56,21,142,53,7,0,348,
"S01014415",19,13,11,494,35,12,0,588,
"S01014416",18,19,7,355,32,2,0,429,
"S01014417",154,36,10,220,66,1,0,487,
"S01014418",12,83,60,120,2,0,0,279,
"S01014419",24,39,37,154,2,0,0,255,
"S01014420",72,68,25,176,36,1,0,382,
"S01014421",55,126,34,96,15,0,0,326,
"S01014422",73,142,40,5,0,0,0,260,
"S01014423",40,123,2,33,1,0,0,199,
"S01014424",76,84,18,9,2,0,0,189,
"S01014425",152,106,71,30,6,1,2,364,
"S01014426",157,52,22,5,15,2,3,254,
"S01014427",104,48,24,3,18,1,0,201,
"S01014428",146,72,6,24,10,2,0,255,
"S01014429",229,44,33,86,5,0,0,397,
"S01014430",40,75,34,94,3,3,0,248,
"S01014431",151,84,11,67,4,0,0,315,
"S01014432",99,88,3,103,3,0,0,299,
"S01014433",92,37,8,48,2,0,0,186,
"S01014434",64,75,17,30,0,0,0,186,
"S01014435",36,85,168,111,5,5,0,408,
"S01014436",151,39,23,20,0,0,0,229,
"S01014437",232,20,9,14,0,0,1,280,
"S01014438",124,27,7,21,2,0,0,180,
"S01014439",307,13,10,5,1,0,0,337,
"S01014440",144,17,16,103,1,0,0,280,
"S01014441",74,86,46,14,3,0,0,223,
"S01014442",17,161,43,3,0,0,0,224,
"S01014443",7,110,138,11,1,0,0,267,
"S01014444",98,220,68,7,1,0,0,394,
"S01014445",51,113,74,114,0,2,0,353,
"S01014446",132,179,49,36,3,4,0,400,
"S01014447",131,115,62,83,2,2,0,395,
"S01014448",126,175,4,46,0,0,0,351,
"S01014449",135,115,9,34,2,0,0,297,
"S01014450",55,218,55,21,0,0,0,343,
"S01014451",79,201,29,6,0,0,0,319,
"S01014452",104,176,15,2,0,0,0,300,
"S01014453",107,109,49,149,8,0,0,426,
"S01014454",83,51,62,152,18,2,0,369,
"S01014455",111,41,36,57,5,0,0,247,
"S01014456",253,63,77,34,2,0,0,425,
"S01014457",275,72,38,36,18,0,0,439,
"S01014458",92,62,30,4,0,0,0,188,
"S01014459",74,55,48,121,14,2,0,321,
"S01014460",169,41,16,28,7,0,0,263,
"S01014461",81,75,29,53,3,0,0,235,
"S01014462",57,143,22,171,25,0,0,414,
"S01014463",178,144,17,24,3,0,0,362,
"S01014464",137,90,16,41,4,0,0,288,
"S01014465",209,62,1,52,0,0,0,321,
"S01014466",11,50,40,231,5,2,0,338,
"S01014467",7,19,3,194,3,0,0,224,
"S01014468",3,24,26,219,2,0,0,271,
"S01014469",8,9,17,203,0,0,0,237,
"S01014470",4,15,48,307,3,1,1,379,
"S01014471",11,81,93,193,4,0,0,382,
"S01014472",10,16,7,445,6,0,0,485,
"S01014473",4,8,4,441,7,1,0,462,
"S01014474",4,10,8,332,3,1,0,357,
"S01014475",13,97,86,217,4,1,0,418,
"S01014476",7,14,25,311,6,1,0,368,
"S01014477",5,18,24,315,2,0,2,365,
"S01014478",5,14,34,418,0,0,0,468,
"S01014479",7,23,32,255,0,0,0,315,
"S01014480",4,10,7,264,0,2,1,288,
"S01014481",10,31,30,326,4,0,0,400,
"S01014482",2,27,33,276,8,0,0,346,
"S01014483",7,21,33,231,7,0,0,300,
"S01014484",6,27,36,239,5,0,0,310,
"S01014485",6,39,134,258,2,0,0,441,
"S01014486",40,106,89,72,4,0,0,315,
"S01014487",10,37,80,156,7,0,0,289,
"S01014488",7,25,26,263,2,0,0,330,
"S01014489",16,75,53,122,0,0,0,266,
"S01014490",5,66,42,142,0,0,0,255,
"S01014491",4,46,31,353,0,0,0,436,
"S01014492",3,14,28,271,4,2,0,322,
"S01014493",0,4,13,373,5,0,1,398,
"S01014494",7,8,8,416,3,0,0,440,
"S01014495",6,18,8,530,12,13,1,588,
"S01014496",7,18,22,338,8,5,1,396,
"S01014497",8,50,20,192,4,0,0,274,
"S01014498",11,52,58,154,0,1,0,277,
"S01014499",4,65,132,20,3,0,0,222,
"S01014500",7,55,93,122,1,1,0,283,
"S01014501",16,33,58,197,0,0,0,306,
"S01014502",33,98,31,133,2,0,0,303,
"S01014503",12,150,88,207,2,1,0,463,
"S01014504",13,87,97,258,0,1,0,460,
"S01014505",14,26,56,432,1,1,0,530,
"S01014506",0,6,10,420,4,4,0,443,
"S01014507",21,34,42,238,4,0,0,340,
"S01014508",5,6,30,435,12,1,0,486,
"S01014509",4,3,14,462,9,2,0,494,
"S01014510",2,8,5,342,6,1,0,363,
"S01014511",0,3,6,315,3,2,0,330,
"S01014512",3,46,13,234,3,1,0,308,
"S01014513",6,9,2,302,6,5,2,330,
"S01014514",5,4,8,569,2,1,2,587,
"S01014515",3,0,10,593,2,6,0,615,
"S01014516",2,1,3,607,2,3,0,618,
"S01014517",1,2,26,540,0,0,0,570,
"S01014518",4,3,16,492,6,0,0,523,
"S01014519",3,5,5,536,6,0,0,554,
"S01014520",2,1,1,225,0,0,0,228,
"S01014521",0,1,2,307,2,0,0,312,
"S01014522",0,1,13,375,2,0,1,393,
"S01014523",2,4,38,382,2,4,0,430,
"S01014524",9,7,96,407,7,6,0,538,
"S01014525",0,2,99,222,5,1,0,329,
"S01014526",16,23,23,373,57,0,0,495,
"S01014527",7,13,60,368,14,0,0,459,
"S01014528",59,56,113,85,12,2,0,326,
"S01014529",33,58,110,308,24,0,0,533,
"S01014530",163,74,61,87,5,1,0,391,
"S01014531",231,58,15,40,9,0,0,354,
"S01014532",119,61,9,20,1,1,0,205,
"S01014533",185,45,9,6,0,0,0,249,
"S01014534",50,31,124,211,10,0,0,429,
"S01014535",5,67,109,142,11,0,0,334,
"S01014536",2,12,13,602,3,2,0,631,
"S01014537",5,18,17,367,8,0,0,414,
"S01014538",10,17,148,203,1,0,0,381,
"S01014539",29,12,145,129,12,0,0,330,
"S01014540",210,51,82,63,23,0,0,425,
"S01014541",247,70,10,14,1,0,0,343,
"S01014542",88,16,45,97,10,0,0,254,
"S01014543",61,26,93,271,4,2,0,455,
"S01014544",9,48,41,365,3,0,0,466,
"S01014545",8,63,90,239,5,0,0,407,
"S01014546",6,33,63,341,2,0,0,445,
"S01014547",5,35,17,269,4,0,0,330,
"S01014548",4,29,22,241,5,1,0,302,
"S01014549",11,77,129,154,0,0,0,371,
"S01014550",4,15,21,340,3,0,0,386,
"S01014551",12,49,37,295,0,0,0,393,
"S01014552",4,34,103,63,0,4,1,210,
"S01014553",22,87,38,16,2,0,0,162,
"S01014554",100,95,47,25,0,0,0,267,
"S01014555",199,77,4,3,0,0,0,283,
"S01014556",118,77,16,51,0,0,0,262,
"S01014557",197,73,0,6,1,0,0,280,
"S01014558",219,17,4,1,0,0,0,239,
"S01014559",178,62,23,75,3,1,0,346,
"S01014560",201,127,28,20,1,0,0,374,
"S01014561",119,137,62,13,2,0,0,327,
"S01014562",67,74,45,8,0,1,0,196,
"S01014563",140,18,20,18,0,0,0,195,
"S01014564",86,20,34,75,0,0,0,215,
"S01014565",87,118,42,8,0,1,0,256,
"S01014566",127,43,35,7,0,0,0,212,
"S01014567",247,22,23,34,4,0,0,333,
"S01014568",254,74,5,4,1,0,0,338,
"S01014569",172,184,80,23,0,0,0,455,
"S01014570",191,41,41,16,0,0,0,286,
"S01014571",37,101,70,85,0,1,0,291,
"S01014572",126,46,27,35,0,0,0,232,
"S01014573",86,42,68,51,1,0,0,248,
"S01014574",70,62,70,110,7,0,0,321,
"S01014575",124,15,98,5,1,0,0,243,
"S01014576",72,21,78,82,0,0,0,254,
"S01014577",124,51,53,90,0,0,0,318,
"S01014578",150,73,30,17,1,0,0,264,
"S01014579",43,154,74,39,3,0,0,313,
"S01014580",124,99,66,35,14,0,0,342,
"S01014581",59,115,154,169,3,0,0,504,
"S01014582",174,73,87,46,1,0,0,381,
"S01014583",80,130,36,87,0,0,0,329,
"S01014584",41,188,50,74,5,0,2,364,
"S01014585",21,64,58,304,3,0,2,451,
"S01014586",17,63,106,174,0,0,0,365,
"S01014587",24,67,104,151,2,2,0,351,
"S01014588",17,61,59,160,0,0,0,297,
"S01014589",14,63,129,173,5,1,0,381,
"S01014590",5,119,104,55,3,1,0,286,
"S01014591",20,141,79,71,2,0,0,316,
"S01014592",12,85,145,31,4,0,0,275,
"S01014593",17,141,73,258,7,1,0,498,
"S01014594",34,54,45,241,14,6,0,399,
"S01014595",17,41,165,70,10,4,0,307,
"S01014596",43,83,180,164,4,1,0,473,
"S01014597",17,92,127,45,2,0,0,283,
"S01014598",19,184,51,29,1,5,0,286,
"S01014599",30,165,126,31,4,1,0,357,
"S01014600",7,8,6,356,4,1,2,383,
"S01014601",43,127,64,163,2,1,0,396,
"S01014602",51,128,83,74,2,1,0,334,
"S01014603",46,76,113,80,2,0,0,319,
"S01014604",149,86,5,46,0,0,0,286,
"S01014605",100,76,64,45,4,0,0,289,
"S01014606",158,51,34,76,2,0,0,325,
"S01014607",74,73,106,138,5,0,0,395,
"S01014608",100,162,14,140,12,1,0,429,
"S01014609",71,162,27,22,5,4,0,292,
"S01014610",132,105,10,29,1,0,0,281,
"S01014611",73,13,57,88,5,0,0,243,
"S01014612",55,46,101,56,2,1,0,258,
"S01014613",12,69,167,227,5,0,1,481,
"S01014614",29,80,163,184,11,3,1,473,
"S01014615",8,44,123,175,2,0,0,352,
"S01014616",12,48,107,195,8,0,0,373,
"S01014617",9,61,67,96,1,4,0,238,
"S01014618",12,111,160,120,7,0,0,410,
"S01014619",174,61,34,154,20,2,0,441,
"S01014620",26,37,77,201,2,0,0,343,
"S01014621",9,31,55,66,12,0,0,173,
"S01014622",8,33,54,315,7,0,0,415,
"S01014623",13,63,72,152,10,1,0,312,
"S01014624",12,73,97,174,7,0,0,363,
"S01014625",26,100,79,23,95,0,0,319,
