SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01013900",117,165,12,60,0,0,0,357,
"S01013901",115,117,1,6,1,0,0,240,
"S01013902",104,90,20,1,1,0,0,221,
"S01013903",36,135,44,62,0,1,0,277,
"S01013904",68,140,9,81,2,0,0,297,
"S01013905",58,146,75,107,6,0,0,396,
"S01013906",114,85,55,142,13,2,0,406,
"S01013907",94,131,26,62,4,5,0,317,
"S01013908",27,118,143,143,2,4,0,437,
"S01013909",75,38,44,232,13,16,0,417,
"S01013910",74,77,58,203,15,8,0,435,
"S01013911",166,35,12,1,0,0,0,220,
"S01013912",294,48,10,5,1,0,0,361,
"S01013913",272,88,24,34,1,0,0,419,
"S01013914",128,62,7,32,1,0,1,231,
"S01013915",181,39,16,24,0,0,2,261,
"S01013916",135,42,33,3,0,0,0,213,
"S01013917",137,55,44,16,0,0,0,254,
"S01013918",201,22,7,5,2,0,17,246,
"S01013919",176,38,9,2,0,0,2,225,
"S01013920",262,63,7,4,1,0,0,341,
"S01013921",252,42,16,3,1,0,0,313,
"S01013922",211,85,6,32,0,0,12,348,
"S01013923",285,30,4,3,0,0,1,324,
"S01013924",117,53,7,7,1,2,0,188,
"S01013925",96,48,36,17,2,1,0,200,
"S01013926",215,57,1,1,0,0,0,274,
"S01013927",209,24,9,3,0,0,9,251,
"S01013928",202,96,52,125,11,4,0,488,
"S01013929",257,65,13,4,3,0,2,346,
"S01013930",96,74,4,21,0,0,0,200,
"S01013931",188,69,2,0,0,0,0,261,
"S01013932",135,32,4,11,1,0,0,181,
"S01013933",151,24,2,10,0,0,0,188,
"S01013934",116,108,49,15,2,0,0,290,
"S01013935",113,33,3,4,7,0,1,159,
"S01013936",274,13,0,0,0,0,0,289,
"S01013937",268,74,3,12,0,0,0,361,
"S01013938",188,35,24,3,0,1,1,258,
"S01013939",239,27,5,3,0,0,0,274,
"S01013940",61,156,0,2,0,0,0,220,
"S01013941",138,108,49,54,3,0,0,350,
"S01013942",81,176,14,33,0,2,0,307,
"S01013943",22,191,21,38,4,0,0,273,
"S01013944",120,89,63,66,3,0,0,341,
"S01013945",22,130,20,56,1,0,0,232,
"S01013946",132,98,5,2,1,0,0,238,
"S01013947",230,87,14,59,1,1,0,392,
"S01013948",57,84,90,1,0,0,9,241,
"S01013949",179,167,8,21,0,0,0,375,
"S01013950",195,14,3,2,0,0,0,210,
"S01013951",161,76,36,13,2,0,0,283,
"S01013952",162,57,0,90,0,2,0,314,
"S01013953",131,42,4,27,0,0,0,201,
"S01013954",236,53,11,4,3,0,0,307,
"S01013955",196,150,14,18,3,0,0,380,
"S01013956",210,133,17,27,0,0,0,389,
"S01013957",291,73,23,1,0,2,5,394,
"S01013958",172,106,14,48,5,0,0,342,
"S01013959",71,168,28,21,3,0,1,290,
"S01013960",175,25,2,2,0,0,4,206,
"S01013961",215,34,31,16,4,0,0,300,
"S01013962",272,108,4,1,0,0,0,385,
"S01013963",70,56,21,14,1,0,0,162,
"S01013964",14,136,44,66,2,0,0,261,
"S01013965",194,145,47,4,0,0,0,394,
"S01013966",210,41,7,2,0,0,1,262,
"S01013967",203,119,1,15,4,3,0,345,
"S01013968",105,57,76,90,4,0,0,334,
"S01013969",66,111,16,138,23,5,0,363,
"S01013970",270,33,8,14,0,1,0,326,
"S01013971",265,40,10,9,0,0,0,324,
"S01013972",123,238,2,56,0,0,1,420,
"S01013973",151,89,5,34,2,0,0,285,
"S01013974",85,84,27,147,3,0,0,346,
"S01013975",105,60,7,43,1,0,0,216,
"S01013976",27,168,46,1,0,0,0,245,
"S01013977",57,187,7,10,1,0,0,262,
"S01013978",26,159,2,2,0,0,0,189,
"S01013979",67,253,10,61,11,0,0,402,
"S01013980",215,23,5,26,1,0,0,269,
"S01013981",49,105,33,69,6,0,0,264,
"S01013982",233,69,21,8,0,0,0,326,
"S01013983",225,88,21,3,2,0,0,336,
